symbol,variant,development_return_pct,development_pf,validation_return_pct,validation_pf,holdout_return_pct,holdout_pf,holdout_win_rate_pct,holdout_equity_dd_pct,holdout_trades,decision
ETHUSD,trend-h4-both-r07,-2.7796,0.85,0.6369,1.1,-1.0092,0.92,51.52,6.77,33,REJECT
BTCUSD,trend-h4-both-r10,1.3396000000000001,1.06,1.1791,1.19,-1.4398,0.89,48.28,6.33,29,REJECT
