symbol,trades,wins,losses,win_rate_pct,profit_factor,net_r,ending_balance,return_pct,max_drawdown_pct,london_trades,new_york_trades,new_york_limit_trades,new_york_stop_trades,new_york_limit_win_rate_pct,new_york_limit_profit_factor_r,new_york_limit_net_r,new_york_stop_win_rate_pct,new_york_stop_profit_factor_r,new_york_stop_net_r,both_filled_days,limit_only_days,stop_only_days,max_concurrent_trades,max_planned_exposure_pct,locked_stop_exits,month
2025-07,1,0,0,0.0,inf,0.0,1000.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,1,2025-07
2025-08,10,1,4,10.0,0.7372268064890862,-1.0,989.4138903,-1.0586109699999957,2.9700999999999995,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,5,2025-08
2025-09,11,1,2,9.090909090909092,1.463628823730302,1.0,1009.503,0.9503000000000039,1.989999999999996,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,8,2025-09
2025-10,11,2,2,18.181818181818183,2.9411665121725132,4.0,1039.78809,3.9788090000000054,1.989999999999996,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,7,2025-10
2025-11,6,0,0,0.0,inf,0.0,1000.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,6,2025-11
2025-12,9,1,3,11.11111111111111,0.9804559153018136,0.0,999.4079700000001,-0.05920299999998546,1.9899999999999956,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,5,2025-12
2026-01,7,2,2,28.57142857142857,2.9411665121725132,4.0,1039.78809,3.9788090000000054,1.989999999999996,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,3,2026-01
2026-02,3,0,1,0.0,0.0,-1.0,990.0,-1.0000000000000009,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,2,2026-02
2026-03,7,1,2,14.285714285714285,1.4775376884422111,1.0,1009.503,0.9503000000000039,1.9899999999999978,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,4,2026-03
2026-04,9,0,0,0.0,inf,0.0,1000.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,9,2026-04
2026-05,11,3,2,27.27272727272727,4.362165370163098,7.0,1070.9817327000003,7.098173270000019,1.9899999999999858,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,6,2026-05
2026-06,10,0,3,0.0,0.0,-3.0,970.299,-2.9700999999999977,2.970100000000002,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,7,2026-06
2026-07,12,2,7,16.666666666666664,0.8409993958974775,-1.000000000000091,988.8281275945249,-1.1171872405475125,3.9403989999999953,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,3,2026-07
