params,train_trades,train_wr,train_pf,train_net_r,train_dd,valid_trades,valid_wr,valid_pf,valid_net_r,valid_dd,score
"{""breakout_fraction"": 0.06, ""distribution_rr"": 2.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 2.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.06, ""stop_buffer_fraction"": 0.07, ""sweep_max_fraction"": 0.5, ""sweep_min_fraction"": 0.03, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 1.0}",43,11.627906976744185,0.7624188989378807,-3.0,6.793465209301,16,25.0,2.648677265807012,5.0,1.0,13.345571275057365
"{""breakout_fraction"": 0.06, ""distribution_rr"": 2.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 2.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.06, ""stop_buffer_fraction"": 0.07, ""sweep_max_fraction"": 0.5, ""sweep_min_fraction"": 0.0, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 1.0}",43,11.627906976744185,0.7624188989378807,-3.0,6.793465209301,16,25.0,2.648677265807012,5.0,1.0,13.345571275057365
"{""breakout_fraction"": 0.06, ""distribution_rr"": 3.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 3.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.06, ""stop_buffer_fraction"": 0.07, ""sweep_max_fraction"": 0.5, ""sweep_min_fraction"": 0.0, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 1.0}",43,2.3255813953488373,0.23418171095194773,-10.0,10.466174574128354,16,18.75,2.97,6.0,1.0000000000000018,13.277380274592828
"{""breakout_fraction"": 0.06, ""distribution_rr"": 3.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 3.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.06, ""stop_buffer_fraction"": 0.07, ""sweep_max_fraction"": 0.5, ""sweep_min_fraction"": 0.03, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 1.0}",43,2.3255813953488373,0.23418171095194773,-10.0,10.466174574128354,16,18.75,2.97,6.0,1.0000000000000018,13.277380274592828
"{""breakout_fraction"": 0.03, ""distribution_rr"": 3.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 3.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.06, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.5, ""sweep_min_fraction"": 0.03, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 0.0}",67,13.432835820895523,1.919290264355428,13.0,4.900995009999995,21,14.285714285714285,1.7852837446260759,4.0,2.970099999999999,12.162602451811107
"{""breakout_fraction"": 0.03, ""distribution_rr"": 3.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 3.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.06, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.5, ""sweep_min_fraction"": 0.0, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 0.0}",67,13.432835820895523,1.919290264355428,13.0,4.900995009999995,21,14.285714285714285,1.7852837446260759,4.0,2.970099999999999,12.162602451811107
"{""breakout_fraction"": 0.0, ""distribution_rr"": 2.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 2.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.03, ""stop_buffer_fraction"": 0.07, ""sweep_max_fraction"": 0.5, ""sweep_min_fraction"": 0.0, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 1.0}",60,20.0,1.3141564707512083,6.0,5.851985059899977,19,21.052631578947366,1.9798083966390239,4.0,1.9899999999999978,11.619105169800354
"{""breakout_fraction"": 0.0, ""distribution_rr"": 2.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 2.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.03, ""stop_buffer_fraction"": 0.07, ""sweep_max_fraction"": 0.5, ""sweep_min_fraction"": 0.03, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 1.0}",60,20.0,1.3141564707512083,6.0,5.851985059899977,19,21.052631578947366,1.9798083966390239,4.0,1.9899999999999978,11.619105169800354
"{""breakout_fraction"": 0.06, ""distribution_rr"": 2.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 2.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.03, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.5, ""sweep_min_fraction"": 0.0, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 0.0}",56,21.428571428571427,1.4618538781018036,8.0,3.969024761097987,15,6.666666666666667,1.98,1.0,1.0,11.373827946720137
"{""breakout_fraction"": 0.06, ""distribution_rr"": 2.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 2.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.03, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.5, ""sweep_min_fraction"": 0.03, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 0.0}",56,21.428571428571427,1.4618538781018036,8.0,3.969024761097987,15,6.666666666666667,1.98,1.0,1.0,11.373827946720137
"{""breakout_fraction"": 0.0, ""distribution_rr"": 2.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 2.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.06, ""stop_buffer_fraction"": 0.07, ""sweep_max_fraction"": 0.5, ""sweep_min_fraction"": 0.03, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 0.0}",82,17.073170731707318,1.1567691242159484,4.0,8.702712767187377,24,25.0,1.9994996241195155,6.0,2.970100000000002,11.225732569965224
