slug,selection_score,opening_minutes,direction,gap_mode,minimum_opening_efficiency,minimum_breakout_relative_volume,stop_mode,reward_risk,maximum_retest_bars,minimum_opening_relative_volume,minimum_range_daily_atr,maximum_range_daily_atr,breakout_body_minimum,breakout_buffer_daily_atr,maximum_pre_retest_excursion_range,retest_tolerance_range,break_even_at_r,train_trades,train_wins,train_win_rate_pct,train_profit_factor,train_return_pct,train_maximum_drawdown_pct,train_final_balance,train_gross_profit,train_gross_loss,validation_trades,validation_wins,validation_win_rate_pct,validation_profit_factor,validation_return_pct,validation_maximum_drawdown_pct,validation_final_balance,validation_gross_profit,validation_gross_loss,locked_trades,locked_wins,locked_win_rate_pct,locked_profit_factor,locked_return_pct,locked_maximum_drawdown_pct,locked_final_balance,locked_gross_profit,locked_gross_loss
or15-both-any-eff0-bv08-opposite-rr2,10.223919391580763,15,both,any,0.0,0.8,opposite,2.0,3,0.8,0.05,0.35,0.55,0.015,0.6,0.12,1.0,108,44,40.74074074074074,1.0494946161932184,2.2063707230992824,8.060743401051255,10220.637072309928,4678.436511517668,-4457.799439207737,28,14,50.0,1.143002472911526,1.4964227284718135,4.395456678888646,10149.64227284718,1196.0736372877186,-1046.4313644405393,17,4,23.52941176470588,0.3223277759769669,-7.112785937254906,7.112785937254904,9288.72140627451,338.31229772783087,-1049.5908914533206
or15-both-any-eff0-bv08-midpoint-rr2,9.386549296855632,15,both,any,0.0,0.8,midpoint,2.0,3,0.8,0.05,0.35,0.55,0.015,0.6,0.12,1.0,108,34,31.48148148148148,1.1967179069561367,9.458875508663688,10.263169741537991,10945.88755086637,5754.23248246061,-4808.344931594243,28,10,35.714285714285715,1.0249048481094727,0.3660034035662063,6.275067882104561,10036.600340356621,1506.207390186487,-1469.6070498298639,17,2,11.76470588235294,0.26325841324198823,-6.6712035597480295,6.671203559748028,9332.879644025197,238.38079662121993,-905.501152596021
or15-both-any-eff0-bv08-midpoint-rr15,9.24231176521073,15,both,any,0.0,0.8,midpoint,1.5,3,0.8,0.05,0.35,0.55,0.015,0.6,0.12,1.0,108,43,39.81481481481482,1.2749694623479577,13.100063990044042,11.563990447255215,11310.006399004404,6074.195075878909,-4764.1886768745,28,12,42.857142857142854,1.0404226956280214,0.5937517462567987,5.422050804870201,10059.37517462568,1528.232550493413,-1468.8573758677373,17,3,17.647058823529413,0.36934093549509983,-5.735569206120639,5.735569206120635,9426.443079387936,335.8994765021774,-909.4563971142426
or30-both-any-eff0-bv08-opposite-rr2,7.071548577322403,30,both,any,0.0,0.8,opposite,2.0,3,0.8,0.05,0.35,0.55,0.015,0.6,0.12,1.0,53,27,50.943396226415096,1.2727176109678742,5.742065555420095,7.8312820763504485,10574.20655554201,2679.7051828735976,-2105.4986273315885,19,8,42.10526315789473,1.0641213529846285,0.4662052299250652,2.5406103299210434,10046.620522992507,773.6875735534334,-727.0670505609237,7,4,57.14285714285714,1.286406588306616,0.780856904397198,1.6744741682823214,10078.08569043972,350.72498586027064,-272.63929542055104
or5-both-any-eff0-bv08-retest-rr15,-1000000000.0,5,both,any,0.0,0.8,retest,1.5,3,0.8,0.05,0.35,0.55,0.015,0.6,0.12,1.0,84,27,32.142857142857146,0.7297231552405485,-13.19162849280432,16.9210886668054,8680.837150719568,3561.6209650137357,-4880.783814294163,22,7,31.818181818181817,0.7539381880923355,-3.191389609634443,5.93653708105017,9680.861039036556,977.8479972696335,-1296.9869582330741,21,12,57.14285714285714,1.951872495315396,8.953850117235884,4.125190722920356,10895.385011723589,1836.0414716278192,-940.6564599042315
or5-both-any-eff0-bv08-retest-rr2,-1000000000.0,5,both,any,0.0,0.8,retest,2.0,3,0.8,0.05,0.35,0.55,0.015,0.6,0.12,1.0,84,18,21.428571428571427,0.6435648281899129,-17.611602545318817,22.26372751060836,8238.839745468118,3179.879221421541,-4941.039475953421,22,7,31.818181818181817,1.0150783710091196,0.19907123665114934,3.9850753001423325,10019.907123665114,1340.1507795001771,-1320.2436558350596,21,10,47.61904761904761,2.159814830380944,11.085707114187858,4.125190722920362,11108.570711418786,2064.387693906134,-955.8169824873465
or5-both-any-eff0-bv08-midpoint-rr15,-1000000000.0,5,both,any,0.0,0.8,midpoint,1.5,3,0.8,0.05,0.35,0.55,0.015,0.6,0.12,1.0,84,30,35.714285714285715,0.8997136786126315,-4.803766814949473,14.674593266726522,9519.623318505053,4309.6751904790335,-4790.051871973982,22,7,31.818181818181817,0.8651880473277659,-1.5445059688910856,5.030981163669427,9845.549403110892,991.2237578516764,-1145.6743547407832,21,9,42.857142857142854,1.6535955271074156,5.051156876618923,4.057653628902314,10505.115687661892,1277.9417960310068,-772.8261083691194
or5-both-any-eff0-bv08-midpoint-rr2,-1000000000.0,5,both,any,0.0,0.8,midpoint,2.0,3,0.8,0.05,0.35,0.55,0.015,0.6,0.12,1.0,84,24,28.57142857142857,0.8591548686493744,-6.824835720830613,18.036236617553282,9317.516427916938,4163.147693537718,-4845.631265620774,22,5,22.727272727272727,0.8211617088075998,-2.056070041550906,4.448577684076191,9794.39299584491,944.0741004015051,-1149.6811045565985,21,8,38.095238095238095,1.8349208026101744,6.5276897684699575,4.05765362890236,10652.768976846995,1434.6023852448689,-781.8334083978705
or5-both-any-eff0-bv08-opposite-rr15,-1000000000.0,5,both,any,0.0,0.8,opposite,1.5,3,0.8,0.05,0.35,0.55,0.015,0.6,0.12,1.0,84,27,32.142857142857146,0.7053158060953069,-12.116757035609737,15.720803581003226,8788.324296439027,2900.1013398757545,-4111.777043436729,22,7,31.818181818181817,0.6085086335940157,-4.7606593235180465,6.224248643488441,9523.934067648195,739.9658200779895,-1216.0317524297925,21,12,57.14285714285714,1.6407620423733633,5.0623475241983185,3.013099866904506,10506.234752419832,1296.2858461842907,-790.0510937644635
or5-both-any-eff0-bv08-opposite-rr2,-1000000000.0,5,both,any,0.0,0.8,opposite,2.0,3,0.8,0.05,0.35,0.55,0.015,0.6,0.12,1.0,84,25,29.761904761904763,0.7639330326336758,-9.926972645951615,15.662726374801034,9007.302735404839,3212.453823124431,-4205.151087719595,22,7,31.818181818181817,0.6895949643351117,-3.7863380785469802,5.297811590832245,9621.366192145302,841.1718149621529,-1219.8056228168477,21,11,52.38095238095239,1.767613838347258,6.084589384524164,3.013099866904506,10608.458938452417,1401.1217437015862,-792.6628052491676
or5-both-any-eff0-bv11-retest-rr15,-1000000000.0,5,both,any,0.0,1.1,retest,1.5,3,0.8,0.05,0.35,0.55,0.015,0.6,0.12,1.0,25,6,24.0,0.5681923829260286,-6.3878055012128065,9.123084301192604,9361.21944987872,840.5369164157993,-1479.3174665370805,14,4,28.57142857142857,0.6537393952063435,-2.9908887526875927,5.2151916674840395,9700.911124731241,564.6792552322245,-863.7681305009797,10,5,50.0,1.6577304912391793,2.9821968348715533,2.798618703430179,10298.219683487156,751.626796977218,-453.40711349006153
or5-both-any-eff0-bv11-retest-rr2,-1000000000.0,5,both,any,0.0,1.1,retest,2.0,3,0.8,0.05,0.35,0.55,0.015,0.6,0.12,1.0,25,4,16.0,0.5088360473230453,-7.331409456727512,11.35643723912486,9266.85905432725,759.5193802265107,-1492.6603258992652,14,4,28.57142857142857,0.878746692509596,-1.0634666372771107,5.21519166748404,9893.65333627229,770.7152979522089,-877.0619616799213,10,3,30.0,1.3200849256985965,1.4451061475776905,2.3196050640306405,10144.510614757768,595.9864674314568,-451.47585267368873
or5-both-any-eff0-bv11-midpoint-rr15,-1000000000.0,5,both,any,0.0,1.1,midpoint,1.5,3,0.8,0.05,0.35,0.55,0.015,0.6,0.12,1.0,25,9,36.0,1.067815442339116,0.8461215778729159,5.3664496918741795,10084.612157787291,1332.294910694507,-1247.6827529072182,14,4,28.57142857142857,0.7745216066322049,-1.6689863995570375,3.1373326124143674,9833.101360044297,573.299289712267,-740.1979296679688,10,5,50.0,2.30961737464364,4.294124288209633,2.0328613066281935,10429.412428820962,757.3039467063404,-327.89151788537606
