case,label,paths,block_days,probability_profit_pct,probability_loss_pct,probability_10pct_dd_pct,probability_20pct_dd_pct,probability_ruin_pct,return_p05_pct,return_p50_pct,return_p95_pct,max_dd_p50_pct,max_dd_p95_pct
current-dynamic5020,"Current: 2.5R, Dynamic 50/20",10000,5,99.69,0.31,12.97,0.04,0.0,16.229559925011287,49.30127070072198,93.09112483454778,6.83542110495369,11.991913297697002
rr-075,"High-win: 0.75R, Dynamic 50/20",10000,5,98.98,1.02,2.96,0.0,0.0,6.084416394125546,22.69061565634376,41.63652422558296,5.057726605123888,9.18603074110439
confirmation-volume,"Volume confirmed: 2.5R, Dynamic 50/20",10000,5,98.88,1.1199999999999999,2.67,0.0,0.0,6.410344684180801,25.735189721768393,50.93067214184759,4.803233860051298,9.022598318093422
confirmation-strict,"Strict volume + EMA/VWAP: 2.5R, Dynamic 50/20",10000,5,99.32,0.6799999999999999,0.16999999999999998,0.0,0.0,6.544927011664382,21.825076547454003,41.14457429065185,2.9578973451263764,5.747742646770654
