period,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,net_profit
paper-era-available,-95.41879999999999,0.25,28.81,95.43,5532,-5.0,-1.0,-9541.88
latest-1y,-87.54620000000001,0.78,49.22,87.59,35035,-5.0,-1.0,-8754.62
recent-3y,-96.0794,0.16,24.33,96.09,9508,-5.0,-1.0,-9607.94
full-5y,-98.43469999999999,0.26,31.1,98.44,7319,-5.0,-1.0,-9843.47
