starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_r,avg_spread_r,max_drawdown_pct,timeframe
300.0,322.76,22.76,7.59,67,27,40,40.3,3.13,0.0467,0.0237,25.04,M15
300.0,361.16,61.16,20.39,29,15,14,51.72,4.37,0.1508,0.0171,20.58,M30
