policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,spread_r,spread_points,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,balance_at_entry,risk_amount,pnl,balance_before_settlement,balance_after
dynamic_conservative,LTA,XAGUSD,M15,2026-05,2026-05-01 09:15:00,2026-05-01 12:00:00,BUY,73.2,72.92637,3.0,74.02089,win,2.9989,100,0.230857,0.0011,30.0,0.5104,,"max(structure,1.0ATR)",conservative,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure,300.0,15.0,44.98,300.0,344.98
dynamic_conservative,LTA,XAUUSD,M15,2026-05,2026-05-01 09:45:00,2026-05-01 12:00:00,SELL,4562.515,4583.67886,3.0,4583.67886,loss,-1.0001,96,8.012429,0.0001,280.0,0.5521,,"max(structure,1.0ATR)",conservative,Entry Model 1 - Double Wick Confirmation,300.0,15.0,-15.0,344.98,329.98
dynamic_conservative,LTA,XAGUSD,M15,2026-05,2026-05-01 13:00:00,2026-05-04 07:45:00,BUY,74.567,73.14459,2.0,74.567,trail_stop,-0.0002,97,0.362714,0.0002,30.0,1.0,,"max(structure,1.0ATR)",conservative,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,329.98,16.5,-0.0,329.98,329.98
dynamic_conservative,LTA,XAGUSD,M15,2026-05,2026-05-07 17:45:00,2026-05-07 18:45:00,BUY,79.748,78.75189,2.0,78.75189,loss,-1.0003,100,0.527429,0.0003,30.0,0.9792,,"max(structure,1.0ATR)",conservative,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,329.98,16.5,-16.5,329.98,313.48
dynamic_conservative,LTA,XAUUSD,M15,2026-05,2026-05-11 13:30:00,2026-05-12 14:45:00,BUY,4743.508,4665.63142,3.0,4672.988,timeout,-0.9056,99,11.383857,0.0,280.0,0.7188,,"max(structure,1.0ATR)",conservative,Entry Model 4 - High Volume Continuation,313.48,15.67,-14.19,313.48,299.29
dynamic_conservative,LTA,XAGUSD,M15,2026-05,2026-05-13 00:45:00,2026-05-13 01:00:00,SELL,87.196,87.70253,3.0,87.70253,loss,-1.0006,96,0.290214,0.0006,30.0,0.0729,,"max(structure,1.0ATR)",conservative,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,299.29,14.96,-14.97,299.29,284.32
dynamic_conservative,LTA,XAUUSD,M15,2026-05,2026-05-13 00:30:00,2026-05-13 02:30:00,SELL,4720.459,4728.0304,3.0,4697.7448,win,2.9996,93,6.569357,0.0004,280.0,0.1146,,"max(structure,1.0ATR)",conservative,Entry Model 1 - Double Wick Confirmation,299.29,14.96,44.89,284.32,329.21
dynamic_conservative,LTA,XAGUSD,M15,2026-05,2026-05-14 13:45:00,2026-05-15 06:00:00,SELL,83.946,87.1248,2.0,77.5884,win,1.9999,100,0.592,0.0001,30.0,0.9271,,"max(structure,1.0ATR)",conservative,Entry Model 1 - Double Wick Confirmation,329.21,16.46,32.92,329.21,362.13
dynamic_conservative,LTA,XAUUSD,M15,2026-05,2026-05-20 01:45:00,2026-05-20 03:00:00,BUY,4481.199,4454.10737,2.0,4454.10737,loss,-1.0001,100,12.924214,0.0001,280.0,0.8333,,"max(structure,1.0ATR)",conservative,Entry Model 1 - Double Wick Confirmation,362.13,18.11,-18.11,362.13,344.02
dynamic_conservative,LTA,XAGUSD,M15,2026-05,2026-05-19 13:45:00,2026-05-20 15:00:00,BUY,74.372,72.96582,2.0,75.662,timeout,0.9172,96,0.621214,0.0002,30.0,0.9792,,"max(structure,1.0ATR)",conservative,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,362.13,18.11,16.61,344.02,360.63
