policy,bot,symbol,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
challenge20_current,LTA,XAGUSD,25,11,9,4,1,44.0,6.03,0.241,1.67,1.3
challenge20_current,LTA,XAUUSD,23,7,14,1,1,30.43,-5.78,-0.251,0.61,1.3
dynamic_aggressive,LTA,XAGUSD,25,1,9,12,3,4.0,9.93,0.397,2.1,5.24
dynamic_aggressive,LTA,XAUUSD,23,1,14,7,1,4.35,-1.91,-0.083,0.87,5.35
dynamic_balanced,LTA,XAGUSD,25,1,9,12,3,4.0,7.93,0.317,1.88,3.8
dynamic_balanced,LTA,XAUUSD,23,3,15,4,1,13.04,-1.91,-0.083,0.88,3.78
dynamic_capped,LTA,XAGUSD,25,3,9,12,1,12.0,11.93,0.477,2.32,3.8
dynamic_capped,LTA,XAUUSD,23,3,16,4,0,13.04,-1.0,-0.044,0.94,3.78
dynamic_conservative,LTA,XAGUSD,25,5,9,9,2,20.0,8.6,0.344,1.96,2.6
dynamic_conservative,LTA,XAUUSD,23,4,15,3,1,17.39,-3.91,-0.17,0.75,2.65
dynamic_score,LTA,XAGUSD,25,2,9,11,3,8.0,10.93,0.437,2.21,4.6
dynamic_score,LTA,XAUUSD,23,3,15,4,1,13.04,-3.91,-0.17,0.75,4.3
fixed_current,LTA,XAGUSD,25,15,9,0,1,60.0,6.68,0.267,1.74,1.0
fixed_current,LTA,XAUUSD,23,1,14,7,1,4.35,-0.91,-0.04,0.94,6.0
production_current,LTA,XAGUSD,25,15,9,0,1,60.0,6.68,0.267,1.74,1.0
production_current,LTA,XAUUSD,23,1,14,7,1,4.35,-0.91,-0.04,0.94,6.0
