policy,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
challenge20_current,48,18,23,5,2,37.5,0.25,0.005,1.01,1.3
dynamic_aggressive,48,2,23,19,4,4.17,8.02,0.167,1.34,5.29
dynamic_balanced,48,4,24,16,4,8.33,6.02,0.125,1.24,3.79
dynamic_capped,48,6,25,16,1,12.5,10.93,0.228,1.44,3.79
dynamic_conservative,48,9,24,12,3,18.75,4.69,0.098,1.19,2.62
dynamic_score,48,5,24,15,4,10.42,7.02,0.146,1.28,4.46
fixed_current,48,16,23,7,2,33.33,5.78,0.12,1.24,3.4
production_current,48,16,23,7,2,33.33,5.78,0.12,1.24,3.4
