utc_day;balance_at_observation;min_equity;max_equity
2025.09.19;10000.00;10000.00;10000.00
2025.09.21;10000.00;10000.00;10000.00
2025.09.22;10000.00;10000.00;10000.00
2025.09.23;10000.00;10000.00;10000.00
2025.09.24;10000.00;10000.00;10000.00
2025.09.25;10000.00;10000.00;10000.00
2025.09.26;10000.00;10000.00;10000.00
2025.09.28;10000.00;10000.00;10000.00
2025.09.29;9897.78;9897.78;10022.10
2025.09.30;9897.78;9897.78;9897.78
2025.10.01;9897.78;9897.78;9897.78
2025.10.02;9897.78;9897.78;9897.78
2025.10.03;9897.78;9897.78;9897.78
2025.10.05;9897.78;9897.78;9897.78
2025.10.06;9897.78;9897.78;9897.78
2025.10.07;9897.78;9897.78;9897.78
2025.10.08;9897.78;9897.78;9897.78
2025.10.09;9897.78;9897.78;9897.78
2025.10.10;9897.78;9897.78;9897.78
2025.10.12;9897.78;9897.78;9897.78
2025.10.13;9897.78;9897.78;9897.78
2025.10.14;9897.78;9897.78;9897.78
2025.10.15;9897.78;9897.78;9897.78
2025.10.16;9897.78;9897.78;9897.78
2025.10.17;9897.78;9897.78;9897.78
2025.10.19;9897.78;9897.78;9897.78
2025.10.20;9897.78;9897.78;9897.78
2025.10.21;9897.78;9897.78;9897.78
2025.10.22;9897.78;9897.78;9897.78
2025.10.23;9897.78;9897.78;9897.78
2025.10.24;9897.78;9897.78;9897.78
2025.10.26;9897.78;9897.78;9897.78
2025.10.27;9897.78;9897.78;9897.78
2025.10.28;9897.78;9897.78;9897.78
2025.10.29;9897.78;9897.78;9897.78
2025.10.30;9897.78;9897.78;9897.78
2025.10.31;9896.61;9814.43;10034.78
2025.11.02;9896.61;9896.61;9896.61
2025.11.03;9896.61;9896.61;9896.61
2025.11.04;9896.61;9896.61;9896.61
2025.11.05;9896.61;9896.61;9896.61
2025.11.06;9896.61;9896.61;9896.61
2025.11.07;9896.61;9896.61;9896.61
2025.11.09;9896.61;9896.61;9896.61
2025.11.10;9896.61;9896.61;9896.61
2025.11.11;9896.61;9896.61;9896.61
2025.11.12;9896.61;9896.61;9896.61
2025.11.13;9896.61;9896.61;9896.61
2025.11.14;9896.61;9896.61;9896.61
2025.11.16;9896.61;9896.61;9896.61
2025.11.17;9896.61;9896.61;9896.61
2025.11.18;9896.61;9896.61;9896.61
2025.11.19;9896.61;9896.61;9896.61
2025.11.20;9896.61;9896.61;9896.61
2025.11.21;9896.61;9896.61;9896.61
2025.11.23;9896.61;9896.61;9896.61
2025.11.24;9896.61;9896.61;9896.61
2025.11.25;9896.61;9896.61;9896.61
2025.11.26;9896.61;9896.61;9896.61
2025.11.27;9896.61;9896.61;9896.61
2025.11.28;9896.61;9896.61;9896.61
2025.11.30;9896.61;9896.61;9896.61
2025.12.01;9896.61;9896.61;9896.61
2025.12.02;9896.61;9896.61;9896.61
2025.12.03;9896.61;9896.61;9896.61
2025.12.04;9896.61;9896.61;9896.61
2025.12.05;9896.61;9896.61;9896.61
2025.12.07;9896.61;9896.61;9896.61
2025.12.08;9896.61;9896.61;9896.61
2025.12.09;9896.61;9896.61;9896.61
2025.12.10;9896.61;9896.61;9896.61
2025.12.11;9896.61;9896.61;9896.61
2025.12.12;9896.61;9896.61;9896.61
2025.12.14;9896.61;9896.61;9896.61
2025.12.15;9896.61;9896.61;9896.61
2025.12.16;9896.61;9896.61;9896.61
2025.12.17;9896.61;9896.61;9896.61
2025.12.18;9896.61;9896.61;9896.61
2025.12.19;9896.61;9896.61;9896.61
2025.12.21;9896.61;9896.61;9896.61
2025.12.22;9896.61;9896.61;9896.61
2025.12.23;9896.61;9896.61;9896.61
2025.12.24;9896.61;9896.61;9896.61
2025.12.25;9896.61;9896.61;9896.61
2025.12.26;9896.61;9896.61;9896.61
2025.12.28;9896.61;9896.61;9896.61
2025.12.29;9896.61;9896.61;9896.61
2025.12.30;9896.61;9896.61;9896.61
2025.12.31;9896.61;9896.61;9896.61
2026.01.01;9896.61;9896.61;9896.61
2026.01.02;9896.61;9896.61;9896.61
2026.01.04;9896.61;9896.61;9896.61
2026.01.05;9896.61;9896.61;9896.61
2026.01.06;9896.61;9896.61;9896.61
2026.01.07;9896.61;9896.61;9896.61
2026.01.08;9894.03;9836.04;9928.08
2026.01.09;9894.03;9894.03;9894.03
2026.01.11;9894.03;9894.03;9894.03
2026.01.12;9894.03;9894.03;9894.03
2026.01.13;9894.03;9894.03;9894.03
2026.01.14;9894.03;9894.03;9894.03
2026.01.15;9894.03;9894.03;9894.03
2026.01.16;9894.03;9894.03;9894.03
2026.01.18;9894.03;9894.03;9894.03
2026.01.19;9894.03;9894.03;9894.03
2026.01.20;9894.03;9894.03;9894.03
2026.01.21;9894.03;9894.03;9894.03
2026.01.22;9894.03;9894.03;9894.03
2026.01.23;9894.03;9894.03;9894.03
2026.01.25;9894.03;9894.03;9894.03
2026.01.26;9894.03;9894.03;9894.03
2026.01.27;9894.03;9894.03;9894.03
2026.01.28;9894.03;9894.03;9894.03
2026.01.29;9894.03;9894.03;9894.03
2026.01.30;9894.03;9894.03;9894.03
2026.02.01;9894.03;9894.03;9894.03
2026.02.02;9894.03;9894.03;9894.03
2026.02.03;9894.03;9894.03;9894.03
