period,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor
paper-2024,4.8204,1.34,42.11,4.18,38,5.66,1.12
latest-1y,0.1006,1.01,30.43,6.25,46,0.12,0.02
recent-3y,10.0605,1.21,35.2,6.62,125,3.82,1.35
full-5y,-4.0762,0.95,31.49,18.41,235,-0.91,-0.22
