symbol,start,end,starting_balance,ending_balance,net_profit,return_percent,max_drawdown_percent,trades,wins,losses,win_rate_percent,profit_factor,total_r,average_r,sharpe,skipped_below_broker_minimum
TSLA,2026-05-08,2026-07-07,300.0,330.59600000000006,30.59600000000006,10.19866666666669,0.0,2,2,0,100.0,inf,10.894352415134998,5.447176207567499,3.5644118557707625,2
AAPL,2026-05-08,2026-07-07,300.0,309.5285714285716,9.528571428571581,3.1761904761905324,2.358241348291038,6,2,4,33.33333333333333,2.063049853372471,3.9167632226069453,0.6527938704344909,2.2253903217814277,0
MSFT,2026-05-08,2026-07-07,300.0,300.9954285714286,0.9954285714285902,0.3318095238095342,1.6750036516600846,3,1,2,33.33333333333333,1.1941325606664333,0.5648987951277837,0.1882995983759279,0.48219661639151984,0
NFLX,2026-05-08,2026-07-07,300.0,300.9511428571427,0.9511428571427132,0.3170476190475613,2.9906479222951954,5,2,3,40.0,1.102517514820211,0.5645232581945123,0.11290465163890247,0.38601035442294696,0
FSLR,2026-05-08,2026-07-07,300.0,300.8065714285715,0.8065714285714876,0.26885714285715956,0.9254761904761797,2,1,1,50.0,1.2905068175971237,0.34874657980276114,0.17437328990138057,0.5848717189711972,5
AMD,2026-05-08,2026-07-07,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,6
WDC,2026-05-08,2026-07-07,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,8
ASML,2026-05-08,2026-07-07,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,3
META,2026-05-08,2026-07-07,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,4
OKTA,2026-05-08,2026-07-07,300.0,299.5647142857143,-0.43528571428572604,-0.1450952380952386,1.7561439482853696,7,2,5,28.57142857142857,0.9644004626654669,-0.6087721776115673,-0.08696745394450962,-0.07038112340531862,0
NVDA,2026-05-08,2026-07-07,300.0,296.3518571428571,-3.6481428571428864,-1.2160476190476333,2.416464510617734,7,1,6,14.285714285714285,0.5924383159373072,-2.1509105727942193,-0.30727293897060276,-1.760208146737222,0
CDNS,2026-05-08,2026-07-07,300.0,294.37842857142857,-5.621571428571428,-1.8738571428571382,1.8738571428571427,2,0,2,0.0,0.0,-2.004995297961336,-1.002497648980668,-4.684961614992443,4
RCL,2026-05-08,2026-07-07,300.0,291.8914285714286,-8.108571428571395,-2.702857142857129,2.7028571428571313,3,0,3,0.0,0.0,-3.0078019540265326,-1.0026006513421775,-5.866448673033507,0
W,2026-05-08,2026-07-07,300.0,286.2774285714286,-13.722571428571428,-4.574190476190476,5.360857142857147,10,2,8,20.0,0.30393762409240427,-5.4742346966196855,-0.5474234696619685,-5.344034196174757,0
AMZN,2026-05-08,2026-07-07,300.0,286.08985714285706,-13.910142857142944,-4.636714285714316,4.636714285714315,7,0,7,0.0,0.0,-6.692646321437033,-0.9560923316338619,-8.970984000650343,0
ADBE,2026-05-08,2026-07-07,300.0,284.3918571428572,-15.60814285714281,-5.202714285714272,5.202714285714269,7,0,7,0.0,0.0,-7.022130465940467,-1.0031614951343524,-9.931080786718825,0
