symbol,range_minutes,atr_stop_fraction,relative_volume_min,training_selection_score,robust_score,train_start,train_end,train_starting_balance,train_ending_balance,train_net_profit,train_return_percent,train_max_drawdown_percent,train_trades,train_wins,train_losses,train_win_rate_percent,train_profit_factor,train_total_r,train_average_r,train_sharpe,train_skipped_below_broker_minimum,validation_start,validation_end,validation_starting_balance,validation_ending_balance,validation_net_profit,validation_return_percent,validation_max_drawdown_percent,validation_trades,validation_wins,validation_losses,validation_win_rate_percent,validation_profit_factor,validation_total_r,validation_average_r,validation_sharpe,validation_skipped_below_broker_minimum,full_start,full_end,full_starting_balance,full_ending_balance,full_net_profit,full_return_percent,full_max_drawdown_percent,full_trades,full_wins,full_losses,full_win_rate_percent,full_profit_factor,full_total_r,full_average_r,full_sharpe,full_skipped_below_broker_minimum
FSLR,5,0.1,0.75,-1000000000.0,-1000000.7259523809,2026-05-08,2026-06-24,300.0,281.2927857142856,-18.70721428571437,-6.235738095238119,6.235738095238124,8,0,8,0.0,0.0,-10.878499707885528,-1.359812463485691,-13.320912107531747,0,2026-06-25,2026-07-07,300.0,297.82214285714286,-2.1778571428571354,-0.7259523809523771,3.114619047619044,5,1,4,20.0,0.7669209717614336,-2.2345852878335175,-0.4469170575667035,-1.2280953962217322,0,2026-05-08,2026-07-07,300.0,280.5066428571428,-19.493357142857178,-6.497785714285731,8.886452380952392,13,1,12,7.6923076923076925,0.26879867963807935,-13.113084995719044,-1.0086988458245418,-5.804857727067618,0
CDNS,60,0.15,0.75,3.8362169829909556,-1000001.3584166666,2026-05-08,2026-06-24,300.0,310.6964285714286,10.696428571428612,3.5654761904762022,2.3569031127265627,7,3,4,42.857142857142854,2.09565688196905,4.7971682533042825,0.6853097504720403,3.0068113271433305,0,2026-06-25,2026-07-07,300.0,295.92475,-4.075249999999983,-1.358416666666662,1.3584166666666608,2,0,2,0.0,0.0,-2.0068958967913058,-1.0034479483956529,-8.572512237102687,0,2026-05-08,2026-07-07,300.0,306.62117857142863,6.621178571428629,2.2070595238095514,3.637638885646393,9,3,6,33.33333333333333,1.4784841750998274,2.790272356512977,0.3100302618347752,1.526313660619563,0
CDNS,5,0.1,0.75,0.6931360150221457,-1000001.4992619047,2026-05-08,2026-06-24,300.0,304.6846428571428,4.684642857142819,1.5615476190476096,3.2812960569575624,7,1,6,14.285714285714285,1.2800420159096828,4.699422442639579,0.6713460632342256,0.9204511828987219,0,2026-06-25,2026-07-07,300.0,295.50221428571433,-4.497785714285669,-1.499261904761895,1.4992619047618898,2,0,2,0.0,0.0,-2.0091432128979037,-1.0045716064489518,-8.284867309357486,0,2026-05-08,2026-07-07,300.0,300.18685714285715,0.18685714285714994,0.062285714285725824,4.709067410380218,9,1,8,11.11111111111111,1.0088031605230776,2.6902792297416758,0.2989199144157417,0.14322546371607695,0
CDNS,5,0.15,0.75,-0.24749696722708725,-1000001.5563095238,2026-05-08,2026-06-24,300.0,303.00432142857136,3.004321428571359,1.0014404761904627,4.034682303225275,7,1,6,14.285714285714285,1.1632013627112963,1.9714244558096456,0.2816320651156637,0.640165689206786,0,2026-06-25,2026-07-07,300.0,295.3310714285714,-4.66892857142858,-1.5563095238095292,1.5563095238095266,2,0,2,0.0,0.0,-2.0060954752652855,-1.0030477376326428,-8.504680062819295,0,2026-05-08,2026-07-07,300.0,298.3353928571428,-1.6646071428572213,-0.5548690476190776,5.513391291758016,9,1,8,11.11111111111111,0.9278691619736497,-0.034671019455639884,-0.0038523354950710984,-0.10877652985287624,0
CDNS,5,0.075,0.75,3.396781807389085,-1000001.5609761905,2026-05-08,2026-06-24,300.0,314.61928571428564,14.619285714285638,4.873095238095204,5.69886975749197,7,1,6,14.285714285714285,1.5182909844160701,7.166883762852637,1.0238405375503767,1.4736829359523278,0,2026-06-25,2026-07-07,300.0,295.31707142857147,-4.682928571428533,-1.560976190476182,1.5609761904761776,2,0,2,0.0,0.0,-2.01219095053055,-1.006095475265275,-8.50511478015332,0,2026-05-08,2026-07-07,300.0,308.8992321428571,8.899232142857102,2.9664107142856944,7.413346718460143,9,1,8,11.11111111111111,1.2623071015880334,5.154692812322088,0.5727436458135653,0.8297609909428036,0
W,60,0.2,0.75,3.135822634767373,-1000001.6401904762,2026-05-08,2026-06-24,300.0,308.24457142857136,8.244571428571362,2.7481904761904596,1.9372848016812327,7,3,4,42.857142857142854,2.065681839165345,2.9593290932809526,0.4227612990401361,2.207080447625125,0,2026-06-25,2026-07-07,300.0,295.0794285714286,-4.920571428571407,-1.6401904761904729,1.6401904761904686,2,0,2,0.0,0.0,-2.0114471886832304,-1.0057235943416152,-8.572987876805454,0,2026-05-08,2026-07-07,300.0,303.32399999999996,3.3239999999999554,1.1079999999999757,3.500801710315346,9,3,6,33.33333333333333,1.262621474282997,0.9478819045977221,0.10532021162196913,0.7606871187510535,0
CDNS,60,0.075,0.75,-1000000000.0,-1000001.6494166667,2026-05-08,2026-06-24,300.0,290.5950357142857,-9.4049642857143,-3.1349880952381004,3.6532418950255905,7,1,6,14.285714285714285,0.4783992615877064,-3.6386193358090377,-0.5198027622584339,-3.1054673044190206,0,2026-06-25,2026-07-07,300.0,295.05174999999997,-4.94825000000003,-1.649416666666681,1.6494166666666767,2,0,2,0.0,0.0,-2.4430771509039837,-1.2215385754519918,-8.421723515578758,0,2026-05-08,2026-07-07,300.0,285.64678571428567,-14.35321428571433,-4.784404761904781,5.293833740034543,9,1,8,11.11111111111111,0.3753827216521768,-6.081696486713022,-0.6757440540792247,-3.8291464232913195,0
W,60,0.1,0.75,-1000000000.0,-1000001.6495238096,2026-05-08,2026-06-24,300.0,285.41149999999993,-14.588500000000067,-4.862833333333361,4.862833333333356,7,1,6,14.285714285714285,0.16415045692840863,-5.459543934865593,-0.7799348478379419,-8.418987813352281,0,2026-06-25,2026-07-07,300.0,295.0514285714286,-4.948571428571427,-1.6495238095238118,1.6495238095238087,2,0,2,0.0,0.0,-2.0228943773664314,-1.0114471886832157,-8.572993782690538,0,2026-05-08,2026-07-07,300.0,280.4629285714285,-19.537071428571494,-6.512357142857161,6.512357142857164,9,1,8,11.11111111111111,0.12788995915556226,-7.482438312232024,-0.8313820346924472,-8.41705981445545,0
W,15,0.2,1.0,-1000000000.0,-1000001.6740952381,2026-05-08,2026-06-24,300.0,286.9402857142857,-13.059714285714279,-4.353238095238088,4.353238095238092,7,1,6,14.285714285714285,0.08067176186645168,-5.62359192852112,-0.8033702755030171,-10.571504881605394,0,2026-06-25,2026-07-07,300.0,294.9777142857143,-5.022285714285715,-1.6740952380952412,1.6740952380952385,2,0,2,0.0,0.0,-2.011213951490041,-1.0056069757450206,-8.573023974719938,0,2026-05-08,2026-07-07,300.0,281.918,-18.081999999999994,-6.027333333333329,6.027333333333331,9,1,8,11.11111111111111,0.05960058248387736,-7.634805880011161,-0.8483117644456846,-10.089270191677906,0
W,5,0.2,0.75,-1000000000.0,-1000001.6740952381,2026-05-08,2026-06-24,300.0,284.7142857142858,-15.28571428571422,-5.095238095238075,6.710571428571408,11,2,9,18.181818181818183,0.281609195402299,-6.4854814105685294,-0.5895892191425935,-7.5487466330195145,0,2026-06-25,2026-07-07,300.0,294.9777142857143,-5.022285714285715,-1.6740952380952412,1.6740952380952385,2,0,2,0.0,0.0,-2.011213951490041,-1.0056069757450206,-8.573023974719938,0,2026-05-08,2026-07-07,300.0,279.69200000000006,-20.307999999999936,-6.769333333333316,6.769333333333312,13,2,11,15.384615384615385,0.22783269961977196,-8.49669536205857,-0.6535919509275824,-7.655350964307084,0
