symbol,range_minutes,atr_stop_fraction,relative_volume_min,training_selection_score,robust_score,train_start,train_end,train_starting_balance,train_ending_balance,train_net_profit,train_return_percent,train_max_drawdown_percent,train_trades,train_wins,train_losses,train_win_rate_percent,train_profit_factor,train_total_r,train_average_r,train_sharpe,train_skipped_below_broker_minimum,validation_start,validation_end,validation_starting_balance,validation_ending_balance,validation_net_profit,validation_return_percent,validation_max_drawdown_percent,validation_trades,validation_wins,validation_losses,validation_win_rate_percent,validation_profit_factor,validation_total_r,validation_average_r,validation_sharpe,validation_skipped_below_broker_minimum,full_start,full_end,full_starting_balance,full_ending_balance,full_net_profit,full_return_percent,full_max_drawdown_percent,full_trades,full_wins,full_losses,full_win_rate_percent,full_profit_factor,full_total_r,full_average_r,full_sharpe,full_skipped_below_broker_minimum
FSLR,5,0.1,0.75,-1000000000.0,-1000000.7259523809,2026-05-08,2026-06-24,300.0,281.2927857142856,-18.70721428571437,-6.235738095238119,6.235738095238124,8,0,8,0.0,0.0,-10.878499707885528,-1.359812463485691,-13.320912107531747,0,2026-06-25,2026-07-07,300.0,297.82214285714286,-2.1778571428571354,-0.7259523809523771,3.114619047619044,5,1,4,20.0,0.7669209717614336,-2.2345852878335175,-0.4469170575667035,-1.2280953962217322,0,2026-05-08,2026-07-07,300.0,280.5066428571428,-19.493357142857178,-6.497785714285731,8.886452380952392,13,1,12,7.6923076923076925,0.26879867963807935,-13.113084995719044,-1.0086988458245418,-5.804857727067618,0
CDNS,60,0.15,0.75,3.8362169829909556,-1000001.3584166666,2026-05-08,2026-06-24,300.0,310.6964285714286,10.696428571428612,3.5654761904762022,2.3569031127265627,7,3,4,42.857142857142854,2.09565688196905,4.7971682533042825,0.6853097504720403,3.0068113271433305,0,2026-06-25,2026-07-07,300.0,295.92475,-4.075249999999983,-1.358416666666662,1.3584166666666608,2,0,2,0.0,0.0,-2.0068958967913058,-1.0034479483956529,-8.572512237102687,0,2026-05-08,2026-07-07,300.0,306.62117857142863,6.621178571428629,2.2070595238095514,3.637638885646393,9,3,6,33.33333333333333,1.4784841750998274,2.790272356512977,0.3100302618347752,1.526313660619563,0
W,60,0.2,0.75,3.135822634767373,-1000001.6401904762,2026-05-08,2026-06-24,300.0,308.24457142857136,8.244571428571362,2.7481904761904596,1.9372848016812327,7,3,4,42.857142857142854,2.065681839165345,2.9593290932809526,0.4227612990401361,2.207080447625125,0,2026-06-25,2026-07-07,300.0,295.0794285714286,-4.920571428571407,-1.6401904761904729,1.6401904761904686,2,0,2,0.0,0.0,-2.0114471886832304,-1.0057235943416152,-8.572987876805454,0,2026-05-08,2026-07-07,300.0,303.32399999999996,3.3239999999999554,1.1079999999999757,3.500801710315346,9,3,6,33.33333333333333,1.262621474282997,0.9478819045977221,0.10532021162196913,0.7606871187510535,0
NVDA,30,0.15,0.75,4.345538747272373,-1000000000.0,2026-05-08,2026-06-24,300.0,312.9637857142856,12.96378571428562,4.321261904761875,2.390057296452271,10,4,6,40.0,1.8607968962687929,5.241948886663042,0.5241948886663043,2.9823539960326815,0,2026-06-25,2026-07-07,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2026-05-08,2026-07-07,300.0,312.9637857142856,12.96378571428562,4.321261904761875,2.390057296452271,10,4,6,40.0,1.8607968962687929,5.241948886663042,0.5241948886663043,2.446685206606841,0
AMD,5,0.05,1.0,23.0959743583945,-1000000000.0,2026-05-08,2026-06-24,300.0,364.3552857142856,64.35528571428563,21.45176190476188,3.8736787039068044,6,2,4,33.33333333333333,4.205469022392686,22.02318811210321,3.6705313520172016,3.8533932767541095,0,2026-06-25,2026-07-07,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2026-05-08,2026-07-07,300.0,364.3552857142856,64.35528571428563,21.45176190476188,3.8736787039068044,6,2,4,33.33333333333333,4.205469022392686,22.02318811210321,3.6705313520172016,3.148241429816109,0
TSLA,15,0.1,0.75,17.781013570735418,-1000000000.0,2026-05-08,2026-06-24,300.0,347.82471428571444,47.824714285714435,15.94157142857149,3.315879593817349,8,2,6,25.0,4.221108235271505,15.89894693727794,1.9873683671597424,3.9392433732367502,0,2026-06-25,2026-07-07,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2026-05-08,2026-07-07,300.0,347.82471428571444,47.824714285714435,15.94157142857149,3.315879593817349,8,2,6,25.0,4.221108235271505,15.89894693727794,1.9873683671597424,3.216894648298431,0
RCL,30,0.075,1.0,6.402114271029406,-1000000000.0,2026-05-08,2026-06-24,300.0,317.1657857142858,17.16578571428579,5.721928571428592,3.1867380952380704,3,1,2,33.33333333333333,2.795544032934138,7.94020058041567,2.6467335268052232,2.441421658084325,0,2026-06-25,2026-07-07,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2026-05-08,2026-07-07,300.0,317.1657857142858,17.16578571428579,5.721928571428592,3.1867380952380704,3,1,2,33.33333333333333,2.795544032934138,7.94020058041567,2.6467335268052232,2.0070179884595483,0
OKTA,15,0.1,1.25,-1000000000.0,-1000000000.0,2026-05-08,2026-06-24,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2026-06-25,2026-07-07,300.0,304.6759999999998,4.675999999999817,1.5586666666665971,2.7911072540711785,3,1,2,33.33333333333333,1.4067501739735435,1.730880152022877,0.5769600506742923,1.4791343422809269,0,2026-05-08,2026-07-07,300.0,304.6759999999998,4.675999999999817,1.5586666666665971,2.7911072540711785,3,1,2,33.33333333333333,1.4067501739735435,1.730880152022877,0.5769600506742923,0.8907782666233204,0
ADBE,15,0.05,2.0,-1000000000.0,-1000000000.0,2026-05-08,2026-06-24,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2026-06-25,2026-07-07,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2026-05-08,2026-07-07,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
WDC,5,0.05,2.0,-1000000000.0,-1000000000.0,2026-05-08,2026-06-24,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2026-06-25,2026-07-07,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2026-05-08,2026-07-07,300.0,300.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0
