date,balance
2026-05-08,300.0
2026-06-02,298.47528571428575
2026-06-03,298.47528571428575
2026-06-04,298.47528571428575
2026-06-05,295.86528571428573
2026-06-08,295.86528571428573
2026-06-09,293.2227142857143
2026-06-10,293.2227142857143
2026-06-11,293.2227142857143
2026-06-12,291.0377142857143
2026-06-15,291.0377142857143
2026-06-16,291.0377142857143
2026-06-17,289.0237142857143
2026-06-18,286.9102857142857
2026-06-22,286.9102857142857
2026-06-23,286.9102857142857
2026-06-24,291.7562857142857
2026-06-25,291.7562857142857
2026-06-26,291.7562857142857
2026-06-29,289.236
2026-06-30,297.94199999999995
2026-07-01,295.2642857142857
2026-07-02,292.59171428571426
2026-07-06,295.6777142857142
2026-07-07,299.26071428571424
