session_date,symbol,direction,range_minutes,relative_volume,volume_source,entry_time,exit_time,entry,stop_loss,exit_price,exit_reason,stop_distance,gross_per_unit,net_per_unit,r_multiple,daily_atr,opening_open,opening_high,opening_low,opening_close,opening_volume,volume,notional,risk_budget,pnl,balance_before,balance_after_day
2026-06-02,OKTA,SELL,5,1.7335127860026918,tick_volume_proxy,2026-06-02 09:35:00-04:00,2026-06-02 09:35:00-04:00,129.31,130.82771428571428,130.82771428571428,SL,1.517714285714285,-1.517714285714277,-1.5247142857142768,-1.0046121987951755,7.5885714285714245,132.69,133.06,129.31,129.97,184.0,1.0,129.31,3.0,-1.5247142857142768,300.0,298.47528571428575
2026-06-05,W,BUY,5,1.2755555555555553,tick_volume_proxy,2026-06-05 09:35:00-04:00,2026-06-05 09:45:00-04:00,71.71,70.847,70.847,SL,0.8630000000000001,-0.8629999999999995,-0.8699999999999996,-1.0081112398609495,4.315,70.72,71.39,70.06,71.39,41.0,3.0,215.13,2.9847528571428574,-2.6099999999999985,298.47528571428575,295.86528571428573
2026-06-09,W,BUY,5,1.091314031180401,tick_volume_proxy,2026-06-09 09:35:00-04:00,2026-06-09 11:25:00-04:00,71.5,70.62614285714285,70.62614285714285,SL,0.873857142857143,-0.8738571428571476,-0.8808571428571476,-1.0080104626450928,4.369285714285715,68.4,71.32,68.24,71.32,35.0,3.0,214.5,2.9586528571428574,-2.6425714285714426,295.86528571428573,293.2227142857143
2026-06-12,ADBE,SELL,5,3.0770318021201413,tick_volume_proxy,2026-06-12 09:35:00-04:00,2026-06-12 09:35:00-04:00,196.85,199.028,199.028,SL,2.178,-2.1779999999999973,-2.1849999999999974,-1.0032139577594112,10.889999999999999,202.49,203.04,196.85,196.87,622.0,1.0,196.85,2.932227142857143,-2.1849999999999974,293.2227142857143,291.0377142857143
2026-06-17,W,BUY,5,1.44206008583691,tick_volume_proxy,2026-06-17 09:35:00-04:00,2026-06-17 09:35:00-04:00,85.6,84.6,84.6,SL,1.0,-1.0,-1.007,-1.007,5.0,83.14,85.33,83.14,85.21,48.0,2.0,171.2,2.910377142857143,-2.014,291.0377142857143,289.0237142857143
2026-06-18,W,BUY,5,1.9300411522633745,tick_volume_proxy,2026-06-18 09:35:00-04:00,2026-06-18 09:40:00-04:00,87.84,86.79028571428572,86.79028571428572,SL,1.0497142857142856,-1.0497142857142876,-1.0567142857142875,-1.0066684812193811,5.248571428571428,83.09,87.78,83.09,87.53,67.0,2.0,175.68,2.890237142857143,-2.113428571428575,289.0237142857143,286.9102857142857
2026-06-24,W,BUY,5,1.4542253521126762,tick_volume_proxy,2026-06-24 09:35:00-04:00,2026-06-24 15:55:00-04:00,89.74,88.57414285714285,92.17,EOD,1.1658571428571425,2.430000000000007,2.4230000000000067,2.078299228035786,5.829285714285712,85.66,89.51,85.3,89.48,59.0,2.0,179.48,2.869102857142857,4.846000000000013,286.9102857142857,291.7562857142857
2026-06-29,OKTA,BUY,5,2.6697674418604653,tick_volume_proxy,2026-06-29 09:35:00-04:00,2026-06-29 10:10:00-04:00,128.38,127.12685714285713,127.12685714285713,SL,1.2531428571428576,-1.253142857142862,-1.260142857142862,-1.005585955312361,6.265714285714287,126.12,128.38,125.03,127.73,123.0,2.0,256.76,2.917562857142857,-2.520285714285724,291.7562857142857,289.236
2026-06-30,OKTA,BUY,5,1.9971469329529246,tick_volume_proxy,2026-06-30 09:35:00-04:00,2026-06-30 15:55:00-04:00,131.49,130.16828571428573,135.85,EOD,1.3217142857142858,4.359999999999985,4.3529999999999855,3.293450064850832,6.6085714285714285,128.92,131.49,128.9,131.2,100.0,2.0,262.98,2.89236,8.705999999999971,289.236,297.94199999999995
2026-07-01,OKTA,SELL,5,1.4131897711978467,tick_volume_proxy,2026-07-01 09:35:00-04:00,2026-07-01 09:40:00-04:00,136.24,137.57185714285714,137.57185714285714,SL,1.3318571428571429,-1.3318571428571317,-1.3388571428571316,-1.0052558189423921,6.659285714285714,136.75,138.1,136.26,136.26,75.0,2.0,272.48,2.9794199999999997,-2.6777142857142633,297.94199999999995,295.2642857142857
2026-07-02,OKTA,BUY,5,1.9923761118170267,tick_volume_proxy,2026-07-02 09:35:00-04:00,2026-07-02 09:35:00-04:00,142.98,141.6507142857143,141.6507142857143,SL,1.3292857142857142,-1.329285714285703,-1.336285714285703,-1.0052659860290083,6.6464285714285705,140.72,142.98,140.25,142.71,112.0,2.0,285.96,2.9526428571428567,-2.672571428571406,295.2642857142857,292.59171428571426
2026-07-06,OKTA,BUY,5,1.2090909090909092,tick_volume_proxy,2026-07-06 09:50:00-04:00,2026-07-06 15:55:00-04:00,146.3,144.92657142857144,147.85,EOD,1.3734285714285714,1.549999999999983,1.542999999999983,1.123465779072174,6.8671428571428565,143.0,146.3,142.23,145.86,76.0,2.0,292.6,2.9259171428571427,3.085999999999966,292.59171428571426,295.6777142857142
2026-07-07,FSLR,SELL,5,1.2867132867132867,tick_volume_proxy,2026-07-07 10:00:00-04:00,2026-07-07 15:55:00-04:00,231.31,233.96157142857143,227.72,EOD,2.6515714285714287,3.5900000000000034,3.5830000000000033,1.3512741770378762,13.257857142857143,234.05,235.98,231.31,232.06,92.0,1.0,231.31,2.9567771428571423,3.5830000000000033,295.6777142857142,299.26071428571424
