symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,pnl,range_high,range_low,range_atr
AUDUSD,30,1.3333333333333333,2026-05,2026-05-28,2026-05-28 07:30:00,2026-05-28 13:00:00,SELL,0.71199,0.71349,0.70999,0.71349,loss,-1.06,0.06,9.0,-150.0,0.71266,0.71199,1.1904
EURUSD,30,1.3333333333333333,2026-05,2026-05-28,2026-05-28 07:30:00,2026-05-28 12:15:00,SELL,1.16098,1.16248,1.15898,1.16248,loss,-1.0533,0.0533,8.0,-150.0,1.16174,1.16098,1.4575
GBPUSD,30,1.3333333333333333,2026-05,2026-05-28,2026-05-28 07:30:00,2026-05-28 12:30:00,SELL,1.33998,1.34148,1.33798,1.34148,loss,-1.0667,0.0667,10.0,-150.0,1.34114,1.33998,1.5875
NZDUSD,30,1.3333333333333333,2026-05,2026-05-28,2026-05-28 07:30:00,2026-05-28 12:30:00,SELL,0.58862,0.59012,0.58662,0.59012,loss,-1.0933,0.0933,14.0,-150.0,0.58921,0.58862,1.144
USDCAD,30,1.3333333333333333,2026-05,2026-05-28,2026-05-28 07:30:00,2026-05-28 13:00:00,BUY,1.38523,1.38373,1.38723,1.38373,loss,-1.0933,0.0933,14.0,-150.0,1.38523,1.3845,1.7005
USDCHF,30,1.3333333333333333,2026-05,2026-05-28,2026-05-28 07:30:00,2026-05-28 10:45:00,BUY,0.78784,0.78634,0.78984,0.78984,win,1.2467,0.0867,13.0,200.0,0.78784,0.78732,1.4797
USDJPY,30,1.3333333333333333,2026-05,2026-05-28,2026-05-28 07:30:00,2026-05-28 12:30:00,BUY,159.509,159.359,159.709,159.359,loss,-1.0667,0.0667,10.0,-15000.0,159.509,159.437,1.6689
EURGBP,30,1.3333333333333333,2026-05,2026-05-28,2026-05-28 08:30:00,2026-05-28 16:00:00,BUY,0.86651,0.86501,0.86851,0.86679,timeout,0.1,0.0867,13.0,28.0,0.86651,0.86597,2.5541
AUDUSD,30,1.3333333333333333,2026-05,2026-05-29,2026-05-29 07:30:00,2026-05-29 12:00:00,SELL,0.71577,0.71727,0.71377,0.71727,loss,-1.06,0.06,9.0,-150.0,0.71641,0.71577,1.6906
EURGBP,30,1.3333333333333333,2026-05,2026-05-29,2026-05-29 07:30:00,2026-05-29 14:45:00,BUY,0.86738,0.86588,0.86938,0.86588,loss,-1.0867,0.0867,13.0,-150.0,0.86738,0.86688,2.8
EURUSD,30,1.3333333333333333,2026-05,2026-05-29,2026-05-29 07:30:00,2026-05-29 14:45:00,SELL,1.16411,1.16561,1.16211,1.16561,loss,-1.0533,0.0533,8.0,-150.0,1.1653,1.16411,3.1199
GBPUSD,30,1.3333333333333333,2026-05,2026-05-29,2026-05-29 07:30:00,2026-05-29 13:15:00,SELL,1.34222,1.34372,1.34022,1.34372,loss,-1.0667,0.0667,10.0,-150.0,1.34416,1.34222,4.2839
NZDUSD,30,1.3333333333333333,2026-05,2026-05-29,2026-05-29 07:30:00,2026-05-29 11:45:00,SELL,0.5955,0.597,0.5935,0.597,loss,-1.0933,0.0933,14.0,-150.0,0.59606,0.5955,1.5253
USDCAD,30,1.3333333333333333,2026-05,2026-05-29,2026-05-29 07:30:00,2026-05-29 12:30:00,BUY,1.38,1.3785,1.382,1.382,win,1.24,0.0933,14.0,200.0,1.38,1.37928,2.1221
USDCHF,30,1.3333333333333333,2026-05,2026-05-29,2026-05-29 07:30:00,2026-05-29 11:00:00,BUY,0.78397,0.78247,0.78597,0.78247,loss,-1.0867,0.0867,13.0,-150.0,0.78397,0.78325,2.6526
USDJPY,30,1.3333333333333333,2026-05,2026-05-29,2026-05-29 07:30:00,2026-05-29 15:00:00,BUY,159.276,159.126,159.476,159.126,loss,-1.0667,0.0667,10.0,-15000.0,159.276,159.2,2.0541
AUDUSD,30,1.3333333333333333,2026-06,2026-06-01,2026-06-01 07:30:00,2026-06-01 13:00:00,SELL,0.71798,0.71948,0.71598,0.71598,win,1.2733,0.06,9.0,200.0,0.71844,0.71798,1.3224
EURUSD,30,1.3333333333333333,2026-06,2026-06-01,2026-06-01 07:30:00,2026-06-01 13:00:00,SELL,1.16554,1.16704,1.16354,1.16354,win,1.28,0.0533,8.0,200.0,1.16644,1.16554,2.2909
GBPUSD,30,1.3333333333333333,2026-06,2026-06-01,2026-06-01 07:30:00,2026-06-01 13:00:00,SELL,1.346,1.3475,1.344,1.344,win,1.2667,0.0667,10.0,200.0,1.34724,1.346,2.324
USDCAD,30,1.3333333333333333,2026-06,2026-06-01,2026-06-01 07:30:00,2026-06-01 11:30:00,BUY,1.38111,1.37961,1.38311,1.38311,win,1.24,0.0933,14.0,200.0,1.38111,1.38038,2.445
USDCHF,30,1.3333333333333333,2026-06,2026-06-01,2026-06-01 07:30:00,2026-06-01 12:45:00,BUY,0.78292,0.78142,0.78492,0.78492,win,1.2467,0.0867,13.0,200.0,0.78292,0.78196,3.027
USDJPY,30,1.3333333333333333,2026-06,2026-06-01,2026-06-01 07:30:00,2026-06-01 13:15:00,BUY,159.463,159.313,159.663,159.663,win,1.2667,0.0667,10.0,20000.0,159.463,159.405,2.1201
EURGBP,30,1.3333333333333333,2026-06,2026-06-01,2026-06-01 07:45:00,2026-06-01 15:15:00,BUY,0.86594,0.86444,0.86794,0.86444,loss,-1.0867,0.0867,13.0,-150.0,0.86594,0.86554,2.3333
AUDUSD,30,1.3333333333333333,2026-06,2026-06-02,2026-06-02 07:30:00,2026-06-02 16:00:00,BUY,0.71817,0.71667,0.72017,0.71842,timeout,0.1067,0.06,9.0,25.0,0.71817,0.71761,1.5342
NZDUSD,30,1.3333333333333333,2026-06,2026-06-02,2026-06-02 07:30:00,2026-06-02 16:00:00,SELL,0.59361,0.59511,0.59161,0.59316,timeout,0.2067,0.0933,14.0,45.0,0.59415,0.59361,1.8129
USDCAD,30,1.3333333333333333,2026-06,2026-06-02,2026-06-02 07:30:00,2026-06-02 13:30:00,BUY,1.38408,1.38258,1.38608,1.38258,loss,-1.0933,0.0933,14.0,-150.0,1.38408,1.3835,2.586
