family,strategy,symbol,lookback,threshold,name,return_pct,profit_factor,win_rate,max_dd_pct,trades,sharpe,recovery,score
LTA,LTA XAU current,XAUUSD,0,0.0,baseline,-17.5334,0.9438752498795616,24.786324786324787,27.17322728802468,468,-0.33431102133065177,-0.6452454032843946,-1027.1732272880247
LTA,LTA XAU current,XAUUSD,10,0.5,clock10>=0.50,-20.238500000000005,0.9346529634365274,24.622030237580994,27.17322728802468,463,-0.3840792229354287,-0.7447955955132046,-1027.1732272880247
LTA,LTA XAU current,XAUUSD,10,0.65,clock10>=0.65,-19.5494,0.9344604031462654,24.663677130044842,27.17322728802468,446,-0.3802695052859026,-0.7194360755454129,-1027.1732272880247
LTA,LTA XAU current,XAUUSD,10,0.8,clock10>=0.80,-13.552199999999997,0.9491550605200424,24.93765586034913,25.08213639666661,401,-0.28268396783721816,-0.5403128260558009,-1025.0821363966666
LTA,LTA XAU current,XAUUSD,10,0.9,clock10>=0.90,-1.555600000000001,0.9930969204614893,25.872093023255815,22.557706249938402,344,-0.03430122990841655,-0.06896091219399796,-1022.5577062499384
LTA,LTA XAU current,XAUUSD,10,1.0,clock10>=1.00,0.9582000000000063,1.0052572093227405,26.071428571428573,25.883930972620572,280,0.022985387040069666,0.037019106603767726,-9.174896601414163
LTA,LTA XAU current,XAUUSD,10,1.1,clock10>=1.10,7.6602000000000015,1.052837601732145,26.991150442477874,17.03774846513888,226,0.2005817192644038,0.44960166043498173,4.102538100644077
LTA,LTA XAU current,XAUUSD,10,1.25,clock10>=1.25,-2.0087999999999955,0.9808756201285811,25.465838509316768,16.686120426996354,161,-0.06654362365840459,-0.12038748064828614,-1016.6861204269964
LTA,LTA XAU current,XAUUSD,10,1.5,clock10>=1.50,1.288600000000002,1.0186408632140227,25.925925925925924,12.547192956754571,108,0.048604588852608606,0.10270026167935081,-9892.0
LTA,LTA XAU current,XAUUSD,20,0.5,clock20>=0.50,-20.238500000000005,0.9346529634365274,24.622030237580994,27.17322728802468,463,-0.3840792229354287,-0.7447955955132046,-1027.1732272880247
LTA,LTA XAU current,XAUUSD,20,0.65,clock20>=0.65,-25.0704,0.9167639730209349,24.330357142857142,29.461325546734795,448,-0.49113519627267216,-0.8509596745818708,-1029.4613255467348
LTA,LTA XAU current,XAUUSD,20,0.8,clock20>=0.80,-19.400599999999997,0.9265407042786823,24.556962025316455,23.956741991410812,395,-0.40464562846145335,-0.8098179630166604,-1023.9567419914108
LTA,LTA XAU current,XAUUSD,20,0.9,clock20>=0.90,0.6561000000000025,1.0028385160803819,26.062322946175637,18.73432875398239,353,0.014144448736692409,0.03502127077067195,-6.471710029943701
LTA,LTA XAU current,XAUUSD,20,1.0,clock20>=1.00,-8.969999999999995,0.9528113294894996,25.087108013937282,22.098810901820485,287,-0.2192889541027983,-0.40590419275731493,-1022.0988109018205
LTA,LTA XAU current,XAUUSD,20,1.1,clock20>=1.10,-14.572399999999993,0.9040926666337592,24.229074889867842,24.8521874980154,227,-0.4132709890809241,-0.5863628705184881,-1024.8521874980154
LTA,LTA XAU current,XAUUSD,20,1.25,clock20>=1.25,3.3898999999999955,1.0316979276050338,26.506024096385545,14.291628737715667,166,0.10734853247810175,0.23719479859241202,1.3608943651867547
LTA,LTA XAU current,XAUUSD,20,1.5,clock20>=1.50,-1.2477999999999962,0.9839657263867757,25.0,13.918900245608246,120,-0.0480217667125809,-0.08964788725989381,-9880.0
LTA,LTA XAU current,XAUUSD,40,0.5,clock40>=0.50,-16.655800000000003,0.9460641862025507,24.838012958963283,27.17322728802468,463,-0.31420164897986896,-0.6129489082564831,-1027.1732272880247
LTA,LTA XAU current,XAUUSD,40,0.65,clock40>=0.65,-24.992899999999995,0.9162327407182971,24.324324324324326,28.558252803460004,444,-0.4915421674362488,-0.8751550794091981,-1028.55825280346
LTA,LTA XAU current,XAUUSD,40,0.8,clock40>=0.80,-21.742099999999994,0.9183759202939383,24.371859296482413,26.84877703501315,398,-0.4502178459710955,-0.8097985234726481,-1026.8487770350132
LTA,LTA XAU current,XAUUSD,40,0.9,clock40>=0.90,-17.196099999999998,0.927042860161204,24.645892351274785,28.91382986791491,353,-0.3817406401483529,-0.5947361549319401,-1028.913829867915
LTA,LTA XAU current,XAUUSD,40,1.0,clock40>=1.00,-14.915799999999999,0.9242728245660708,24.66216216216216,28.404144961360178,296,-0.36127493037620373,-0.5251275833259841,-1028.40414496136
LTA,LTA XAU current,XAUUSD,40,1.1,clock40>=1.10,-6.130699999999997,0.9620019523684087,25.30612244897959,19.245561244084897,245,-0.16233027263463926,-0.3185513751584803,-1019.2455612440849
LTA,LTA XAU current,XAUUSD,40,1.25,clock40>=1.25,-2.146599999999994,0.9825513011741659,25.53191489361702,20.713734532726512,188,-0.06612600443487547,-0.10363172302939816,-1020.7137345327266
LTA,LTA XAU current,XAUUSD,40,1.5,clock40>=1.50,-2.3338000000000028,0.9720508684254333,25.0,16.64506548739424,128,-0.08777874211702855,-0.1402097217200769,-9872.0
ORB,orb-volume-profile,XAUUSD,0,0.0,baseline,32.014399999999995,1.618247477429634,45.83333333333333,4.664938503116223,120,1.2293077880475238,6.862769997635355,34.20145760084133
ORB,orb-volume-profile,XAUUSD,10,0.5,clock10>=0.50,32.014399999999995,1.618247477429634,45.83333333333333,4.664938503116223,120,1.2293077880475238,6.862769997635355,34.20145760084133
ORB,orb-volume-profile,XAUUSD,10,0.65,clock10>=0.65,31.814700000000002,1.6644146872219832,46.42857142857143,4.731583108120541,112,1.2521984737739755,6.723901762477401,34.052445173454686
ORB,orb-volume-profile,XAUUSD,10,0.8,clock10>=0.80,25.0879,1.5833771270980315,47.05882352941176,4.731583108120541,102,1.0843536315462112,5.302221143900675,29.483104199704645
ORB,orb-volume-profile,XAUUSD,10,0.9,clock10>=0.90,24.2381,1.7152055049174233,49.411764705882355,4.845644116797043,85,1.1515008585880706,5.002038824101947,29.21781324844668
ORB,orb-volume-profile,XAUUSD,10,1.0,clock10>=1.00,16.857699999999998,1.6106247260688296,48.57142857142857,4.034786435586247,70,0.9262085898309202,4.178089787186123,25.47220242249123
ORB,orb-volume-profile,XAUUSD,10,1.1,clock10>=1.10,12.488200000000003,1.509184168572815,49.18032786885246,3.968370811035904,61,0.7581500557951342,3.1469337404838136,21.384707706985306
ORB,orb-volume-profile,XAUUSD,10,1.25,clock10>=1.25,9.606499999999999,1.5749159155924208,46.51162790697674,3.480762289821704,43,0.6754013214456641,2.7598839564801407,19.67365021329695
ORB,orb-volume-profile,XAUUSD,10,1.5,clock10>=1.50,-3.5961,0.6584673245135004,38.095238095238095,6.295232827706321,21,-0.492348521813723,-0.5712417790447705,-9979.0
ORB,orb-volume-profile,XAUUSD,20,0.5,clock20>=0.50,32.014399999999995,1.618247477429634,45.83333333333333,4.664938503116223,120,1.2293077880475238,6.862769997635355,34.20145760084133
ORB,orb-volume-profile,XAUUSD,20,0.65,clock20>=0.65,26.734300000000005,1.5163513946777811,45.2991452991453,4.664938503116223,117,1.0569407321358741,5.730900842988872,30.391090178514123
ORB,orb-volume-profile,XAUUSD,20,0.8,clock20>=0.80,27.58590000000001,1.670982445813581,47.05882352941176,4.133655808571845,102,1.1931982228272715,6.673487411021476,33.46875826682887
ORB,orb-volume-profile,XAUUSD,20,0.9,clock20>=0.90,20.9441,1.594361200976219,48.31460674157304,4.845644116797043,89,1.0176785297813356,4.322253036990259,26.51504447125425
ORB,orb-volume-profile,XAUUSD,20,1.0,clock20>=1.00,12.516399999999999,1.396513981771584,46.05263157894737,4.9628171963597145,76,0.6834640081515712,2.522035268431996,19.079530677433933
ORB,orb-volume-profile,XAUUSD,20,1.1,clock20>=1.10,9.3088,1.317111224663601,44.927536231884055,4.9628171963597145,69,0.5368057652404631,1.8757088225671732,15.835089797979055
ORB,orb-volume-profile,XAUUSD,20,1.25,clock20>=1.25,-1.2528000000000008,0.9366200389547972,40.476190476190474,8.160422018314495,42,-0.1004274390744584,-0.15352147195185892,-1008.1604220183145
ORB,orb-volume-profile,XAUUSD,20,1.5,clock20>=1.50,-0.8983000000000001,0.9145720997023383,40.909090909090914,3.72008518515613,22,-0.10746905915240212,-0.24147296507735722,-9978.0
ORB,orb-volume-profile,XAUUSD,40,0.5,clock40>=0.50,26.7272,1.5161434847680202,44.91525423728814,4.664938503116223,118,1.0566586706983376,5.729378850792133,30.38167738649984
ORB,orb-volume-profile,XAUUSD,40,0.65,clock40>=0.65,27.8292,1.5491106046704353,45.689655172413794,4.664938503116223,116,1.1033491564148108,5.965609188933538,31.25769261684839
ORB,orb-volume-profile,XAUUSD,40,0.8,clock40>=0.80,26.422800000000006,1.626060007250343,47.05882352941176,4.171126029707473,102,1.140252290668614,6.334692313733103,32.322587926432675
ORB,orb-volume-profile,XAUUSD,40,0.9,clock40>=0.90,18.4172,1.5022785970060522,47.19101123595505,3.972566906854824,89,0.8974078034923947,4.636095610679428,26.418344944170126
ORB,orb-volume-profile,XAUUSD,40,1.0,clock40>=1.00,11.332199999999998,1.3563652144380078,45.33333333333333,6.6534415046500595,75,0.6198178693818686,1.7032087818131378,15.857776949888958
ORB,orb-volume-profile,XAUUSD,40,1.1,clock40>=1.10,9.0127,1.3176170002819285,44.927536231884055,5.36911295180984,69,0.533567213230815,1.6786199286349464,15.087488617569083
ORB,orb-volume-profile,XAUUSD,40,1.25,clock40>=1.25,-0.15089999999999976,0.9931527983229121,46.0,7.682016461133645,50,-0.011648553994001484,-0.019643279959560417,-1007.6820164611337
ORB,orb-volume-profile,XAUUSD,40,1.5,clock40>=1.50,-2.8201,0.825582761755738,41.37931034482759,7.762961742309549,29,-0.2675167777247184,-0.36327629757981983,-9971.0
ORB,orb-volume-profile-high-win-0-75r,XAUUSD,0,0.0,baseline,15.3678,1.4417354611723043,70.0,4.952673733481793,120,1.083367903954337,3.1029300186096127,22.402076775788256
ORB,orb-volume-profile-high-win-0-75r,XAUUSD,10,0.5,clock10>=0.50,15.3678,1.4417354611723043,70.0,4.952673733481793,120,1.083367903954337,3.1029300186096127,22.402076775788256
ORB,orb-volume-profile-high-win-0-75r,XAUUSD,10,0.65,clock10>=0.65,14.677200000000001,1.454734728780161,70.53571428571429,4.699947360902657,112,1.0711112909181126,3.1228434858855834,22.37844798881335
ORB,orb-volume-profile-high-win-0-75r,XAUUSD,10,0.8,clock10>=0.80,14.925099999999999,1.5334107682135771,71.56862745098039,4.699947360902657,102,1.1585754126818977,3.1755887574735584,23.010995911539506
ORB,orb-volume-profile-high-win-0-75r,XAUUSD,10,0.9,clock10>=0.90,13.926100000000002,1.62090258952775,72.94117647058823,4.784694650435995,85,1.190671280536332,2.9105514598995397,22.469982452991896
ORB,orb-volume-profile-high-win-0-75r,XAUUSD,10,1.0,clock10>=1.00,13.584899999999998,1.7389201949436492,72.85714285714285,3.882454474162289,70,1.259908477388297,3.499049400426309,24.47151539665329
ORB,orb-volume-profile-high-win-0-75r,XAUUSD,10,1.1,clock10>=1.10,11.445799999999998,1.6992619926199262,72.1311475409836,2.936766276398284,61,1.1317653274954234,3.897416042940055,24.569177335150044
ORB,orb-volume-profile-high-win-0-75r,XAUUSD,10,1.25,clock10>=1.25,11.7013,2.27764371894961,76.74418604651163,1.9405456583831526,43,1.4233231702282885,6.029901924466663,31.527848232720633
ORB,orb-volume-profile-high-win-0-75r,XAUUSD,10,1.5,clock10>=1.50,3.6477000000000004,1.6154274434377691,66.66666666666666,2.343724348725007,21,0.6452325966436612,1.5563690337493656,-9979.0
ORB,orb-volume-profile-high-win-0-75r,XAUUSD,20,0.5,clock20>=0.50,15.3678,1.4417354611723043,70.0,4.952673733481793,120,1.083367903954337,3.1029300186096127,22.402076775788256
ORB,orb-volume-profile-high-win-0-75r,XAUUSD,20,0.65,clock20>=0.65,12.9795,1.3730856347874076,69.23076923076923,4.952673733481793,117,0.9268006033136027,2.620705642742843,20.084245648649873
ORB,orb-volume-profile-high-win-0-75r,XAUUSD,20,0.8,clock20>=0.80,16.5491,1.6110309076610088,72.54901960784314,3.9982231858590733,102,1.2889035302763434,4.139113608897798,26.291797661222212
ORB,orb-volume-profile-high-win-0-75r,XAUUSD,20,0.9,clock20>=0.90,15.1389,1.6433926340215388,73.03370786516854,4.784694650435995,89,1.2565171864145666,3.1640263603071306,23.569053302930214
ORB,orb-volume-profile-high-win-0-75r,XAUUSD,20,1.0,clock20>=1.00,13.358799999999999,1.659280352569006,72.36842105263158,4.726403649197664,76,1.1989168274210198,2.826419618702634,22.264890180626153
