verdict,market,broker_symbol,timeframe,entry_models,reward_risk,trades,win_rate_pct,profit_factor,net_profit_usd,return_pct,final_balance_usd,max_equity_dd_pct,history_quality_pct
PASS_RESEARCH_ONLY,XAU,XAUUSD..,M15,EM1+EM4,3.0,216,33.80,1.32,37792.29,377.92,47792.29,26.66,100
FAIL,BTC,BTCUSD,M30,EM1+EM3+EM4,3.0,132,25.00,0.92,-1630.32,-16.30,8369.68,50.95,94
FAIL,EURUSD,EURUSD..,H1,EM1,3.0,89,19.10,0.62,-4894.79,-48.95,5105.21,51.44,100
FAIL,GBPJPY,GBPJPY..,M30,EM3+EM4,2.5,106,26.42,0.86,-2970.46,-29.70,7029.54,48.46,100
FAIL,US30,US30,M15,EM1,2.5,234,29.06,0.95,-2029.12,-20.29,7970.88,40.76,100
FAIL,US100,UT100,M15,EM4,2.5,208,26.92,0.86,-4202.74,-42.03,5797.26,59.18,100
