window,policy,total_cap_pct,symbol_cap_pct,family_cap_pct,from,to,initial_balance,final_balance,net_profit,return_pct,cagr_pct,profit_factor,win_rate_pct,max_drawdown_pct,max_drawdown_cash,recovery_factor,daily_sharpe,fixed_final_balance,fixed_net_profit,fixed_return_pct,fixed_profit_factor,fixed_max_drawdown_pct,fixed_max_drawdown_cash,fixed_recovery_factor,fixed_daily_sharpe,available_trades,accepted_trades,skipped_trades,acceptance_pct,max_concurrent_trades,max_reserved_risk_pct,max_symbol_risk_pct,unclosed_count,extra_cost_pct_per_trade,selection_score
development,4% total / 2% symbol,4.0,2.0,,2023-09-07T00:00:00,2025-09-06T23:59:59,10000.0,164572.8423,154572.8423,1545.7284,305.2874,1.4014,42.7823,19.6394,25996.5564,5.9459,3.4273,40919.3388,30919.3388,309.1934,1.4489,13.7076,2094.7567,14.7603,3.497,2350,1337,1013,56.8936,4,4.0,"{'XAUUSD': 2.0, 'USTEC': 2.0, 'BTCUSD': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
development,3% total / 2% symbol,3.0,2.0,,2023-09-07T00:00:00,2025-09-06T23:59:59,10000.0,97930.6544,87930.6544,879.3065,212.6946,1.351,42.0068,22.6655,21899.461,4.0152,2.9989,35199.1349,25199.1349,251.9913,1.4077,13.9245,2380.6963,10.5848,3.0522,2350,1176,1174,50.0426,3,3.0,"{'XAUUSD': 2.0, 'USTEC': 2.0, 'XAGUSD': 1.0, 'BTCUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
development,6% total / 3% symbol / 2-family,6.0,3.0,2.0,2023-09-07T00:00:00,2025-09-06T23:59:59,10000.0,402679.851,392679.851,3926.7985,533.7691,1.39,44.1847,19.179,61516.1488,6.3834,3.95,51146.6272,41146.6272,411.4663,1.4965,12.9282,2105.6653,19.5409,4.0482,2350,1668,682,70.9787,6,6.0,"{'XAUUSD': 3.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,26.814
development,5% total / 3% symbol / 2-family,5.0,3.0,2.0,2023-09-07T00:00:00,2025-09-06T23:59:59,10000.0,393942.08,383942.08,3839.4208,526.86,1.3992,44.2883,19.1907,56579.3401,6.7859,3.9452,50925.7493,40925.7493,409.2575,1.5016,11.6311,2105.6653,19.436,4.0447,2350,1637,713,69.6596,5,5.0,"{'XAUUSD': 3.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,29.3675
development,4% total / 3% symbol / 2-family,4.0,3.0,2.0,2023-09-07T00:00:00,2025-09-06T23:59:59,10000.0,281155.8354,271155.8354,2711.5584,429.6366,1.393,43.6135,20.5515,37651.8386,7.2017,3.7523,47185.7959,37185.7959,371.858,1.4868,9.2937,2279.8648,16.3105,3.8397,2350,1511,839,64.2979,4,4.0,"{'XAUUSD': 3.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,32.0838
locked_year,Uncapped,,,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,395782.1287,385782.1287,3857.8213,3828.102,1.3724,45.7551,17.5648,68495.9484,5.6322,5.7918,51337.7558,41337.7558,413.3776,1.6652,6.2416,1900.6463,21.7493,5.9061,1331,1331,0,100.0,12,12.0,"{'BTCUSD': 2.0, 'XAUUSD': 10.0, 'USTEC': 3.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
locked_year,8% total,8.0,,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,399945.0781,389945.0781,3899.4508,3869.3338,1.3819,45.9316,17.5648,69217.1981,5.6336,5.8188,51319.6108,41319.6108,413.1961,1.6734,6.206,1900.6463,21.7398,5.9193,1331,1315,16,98.7979,8,8.0,"{'BTCUSD': 2.0, 'XAUUSD': 8.0, 'USTEC': 3.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
locked_year,6% total,6.0,,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,268748.1985,258748.1985,2587.482,2569.4182,1.4097,45.5305,17.2845,40562.6701,6.379,5.6437,46453.9036,36453.9036,364.539,1.649,7.1632,1863.0197,19.5671,5.7401,1331,1197,134,89.9324,6,6.0,"{'BTCUSD': 2.0, 'XAUUSD': 6.0, 'USTEC': 3.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
locked_year,5% total,5.0,,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,149440.0292,139440.0292,1394.4003,1386.1419,1.3525,44.9343,20.0969,23965.6449,5.8183,5.1361,40056.8642,30056.8642,300.5686,1.5871,7.7892,2193.5504,13.7024,5.2325,1331,1066,265,80.0902,5,5.0,"{'BTCUSD': 1.0, 'XAUUSD': 5.0, 'USTEC': 3.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
locked_year,4% total,4.0,,,2025-09-07T00:00:00,2026-09-07T23:59:59,10000.0,88848.8278,78848.8278,788.4883,784.5202,1.3638,44.2563,14.7964,15293.3587,5.1558,4.5388,34226.0416,24226.0416,242.2604,1.5977,8.172,1568.1164,15.4491,4.6263,1331,827,504,62.1337,4,4.0,"{'BTCUSD': 1.0, 'XAUUSD': 4.0, 'USTEC': 3.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0}",0,0.0,
