window,policy,total_cap_pct,symbol_cap_pct,family_cap_pct,from,to,initial_balance,final_balance,net_profit,return_pct,cagr_pct,profit_factor,win_rate_pct,max_drawdown_pct,max_drawdown_cash,recovery_factor,daily_sharpe,fixed_final_balance,fixed_net_profit,fixed_return_pct,fixed_profit_factor,fixed_max_drawdown_pct,fixed_max_drawdown_cash,fixed_recovery_factor,fixed_daily_sharpe,available_trades,accepted_trades,skipped_trades,acceptance_pct,max_concurrent_trades,max_reserved_risk_pct,max_symbol_risk_pct,unclosed_count,extra_cost_pct_per_trade
development,Uncapped,,,,2023-09-07T00:00:00,2025-09-06T23:59:59,10000.0,1937595.3211,1927595.3211,19275.9532,1289.4705,1.4205,45.1188,32.3247,278454.753,6.9225,4.2807,70908.0103,60908.0103,609.0801,1.5282,11.0472,3769.1582,16.1596,4.4486,2356,2356,0,100.0,12,12.0,"{'XAUUSD': 11.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.5, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
development,8% total,8.0,,,2023-09-07T00:00:00,2025-09-06T23:59:59,10000.0,1628664.4864,1618664.4864,16186.6449,1173.9706,1.4113,44.9175,32.3245,265753.7245,6.0908,4.2134,69012.7176,59012.7176,590.1272,1.5218,11.0472,3769.1582,15.6567,4.3833,2356,2302,54,97.708,8,8.0,"{'XAUUSD': 8.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.5, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
development,6% total,6.0,,,2023-09-07T00:00:00,2025-09-06T23:59:59,10000.0,783561.7783,773561.7783,7735.6178,783.871,1.3685,44.0824,32.1893,115117.4955,6.7198,3.9112,60394.2845,50394.2845,503.9428,1.4824,11.0472,3723.7083,13.5334,4.071,2356,2087,269,88.5823,6,6.0,"{'XAUUSD': 6.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.5, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
development,5% total,5.0,,,2023-09-07T00:00:00,2025-09-06T23:59:59,10000.0,646724.2996,636724.2996,6367.243,703.0459,1.3871,44.2276,23.0934,114519.4335,5.56,3.9581,57625.3214,47625.3214,476.2532,1.5186,10.9474,2599.928,18.3179,4.097,2356,1845,511,78.3107,5,5.0,"{'XAUUSD': 5.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.5, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
development,4% total,4.0,,,2023-09-07T00:00:00,2025-09-06T23:59:59,10000.0,331755.5014,321755.5014,3217.555,475.2928,1.419,43.569,19.7841,51430.1881,6.2562,3.7642,49563.5544,39563.5544,395.6355,1.5279,10.2341,2060.9776,19.1965,3.8725,2356,1485,871,63.0306,4,4.0,"{'XAUUSD': 4.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
development,3% total,3.0,,,2023-09-07T00:00:00,2025-09-06T23:59:59,10000.0,161046.7664,151046.7664,1510.4677,300.9251,1.4457,43.6057,18.9918,17212.395,8.7755,3.5731,40862.3223,30862.3223,308.6232,1.5418,11.9972,2032.8376,15.1819,3.655,2356,1126,1230,47.7929,3,3.0,"{'XAUUSD': 3.0, 'USTEC': 2.0, 'XAGUSD': 1.0, 'BTCUSD': 1.0, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
development,2% total,2.0,,,2023-09-07T00:00:00,2025-09-06T23:59:59,10000.0,55450.2082,45450.2082,454.5021,135.3408,1.4163,42.4566,20.1628,10535.5858,4.314,2.7051,28919.7202,18919.7202,189.1972,1.4914,13.3102,2192.746,8.6283,2.7584,2356,749,1607,31.7912,2,2.0,"{'XAUUSD': 2.0, 'USTEC': 2.0, 'XAGUSD': 1.0, 'BTCUSD': 1.0, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
development,6% total / 3% symbol,6.0,3.0,,2023-09-07T00:00:00,2025-09-06T23:59:59,10000.0,441462.315,431462.315,4314.6231,563.5662,1.4271,44.3182,19.179,61516.1488,7.0138,4.0013,52124.9091,42124.9091,421.2491,1.5084,12.9282,2105.6653,20.0055,4.1001,2356,1672,684,70.9677,6,6.0,"{'XAUUSD': 3.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.5, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
development,5% total / 3% symbol,5.0,3.0,,2023-09-07T00:00:00,2025-09-06T23:59:59,10000.0,431296.7607,421296.7607,4212.9676,555.887,1.4367,44.3902,19.1907,56579.3401,7.4461,3.9954,51889.1812,41889.1812,418.8918,1.5135,11.6311,2105.6653,19.8936,4.0957,2356,1640,716,69.6095,5,5.0,"{'XAUUSD': 3.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.5, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
development,4% total / 3% symbol,4.0,3.0,,2023-09-07T00:00:00,2025-09-06T23:59:59,10000.0,293913.6602,283913.6602,2839.1366,441.5116,1.4115,43.6508,20.5515,37651.8386,7.5405,3.7679,47658.8549,37658.8549,376.5885,1.493,9.2937,2279.8648,16.518,3.8554,2356,1512,844,64.1766,4,4.0,"{'XAUUSD': 3.0, 'USTEC': 3.0, 'BTCUSD': 2.0, 'XAGUSD': 1.0, 'ETHUSD': 1.0, 'EURUSD': 1.5}",0,0.0
