ea,baseline_return,baseline_pf,baseline_dd,baseline_trades,best_session_full_year,best_days_full_year,selected_session,selected_days,filtered_return,filtered_pf,filtered_dd,filtered_trades,validation_baseline_return,validation_filtered_return,validation_filtered_pf,validation_filtered_dd,validation_filtered_trades
LTA Volume Profile,86.6545,1.3905,8.1323,244,All hours,Mon+Tue+Thu+Fri,All hours,Mon+Tue+Thu+Fri,96.245,1.5983,6.0199,186,45.9757,46.9282,1.6388,6.814,69
ORB Volume Profile,9.6976,1.6709,4.9005,49,London 07-16 UTC,Wed+Thu+Fri,All hours,Tue+Fri,2.4878,1.6459,1.0141,16,12.5661,1.2784,1.6846,1.0261,8
ATR Candle Breakout,30.388,1.3935,8.3406,119,All hours,Mon+Tue+Thu+Fri,Asia 00-08 UTC,Mon+Tue+Fri,20.4122,4.0136,2.0862,16,1.5839,-2.5656,0.0,2.5656,3
Asia Breakout,20.1003,1.2542,11.3596,120,London/NY overlap 13-16 UTC,Mon+Tue+Wed+Fri,NY 13-21 UTC,Mon+Fri,24.811,2.0107,8.2303,45,-8.3379,-10.6703,0.368,11.1505,19
DmC,26.4762,1.1958,8.369,235,Asia 00-08 UTC,All days,Asia 00-08 UTC,Mon+Wed+Fri,27.2385,1.4897,8.9765,108,12.5758,-2.9974,0.8711,11.5024,32
Go Long,16.9636,1.1958,7.1077,312,All hours,Mon+Tue+Wed+Thu,All hours,Mon+Tue+Wed,18.155,1.4278,4.0739,156,14.8434,8.2878,1.6171,3.1605,51
EMA3,16.9365,2.2969,2.2153,39,All hours,Fri,All hours,Wed+Fri,5.6914,3.3163,2.2808,10,2.0855,-2.0381,0.1705,2.4571,4
XAU Weakness,11.4894,1.0634,16.869,279,All hours,Mon+Fri,All hours,Mon+Fri,29.971,1.4387,6.3755,119,-9.6377,-4.0553,0.8414,8.5173,35
Nasdaq Overnight,7.7632,1.8095,1.7783,72,All hours,Fri,All hours,Fri,5.5705,45.564,0.1184,12,3.7729,2.7481,999.0,0.0,5
Turnaround Tuesday,3.2873,1.1983,4.9517,30,Asia 00-08 UTC,All days,Asia 00-08 UTC,All days,3.3711,1.21,4.9477,28,1.7702,1.7702,1.3534,1.9852,7
US100 Weakness,3.3429,1.1562,5.8599,70,All hours,Fri,All hours,Wed+Thu+Fri,7.4457,1.6504,3.0515,44,-3.1996,-0.7778,0.8665,3.2988,17
News Pulse,62.5123,45.7155,0.6448,19,London 07-16 UTC,Thu+Fri,All hours,Thu+Fri,37.1878,999.0,0.0,9,42.779,19.5414,999.0,0.0,2
US100 ORB 0.5R,1.9889,999.0,0.0,4,All hours,All days,All hours,Mon+Tue+Wed+Thu+Fri,1.9889,999.0,0.0,4,0.9983,0.9983,999.0,0.0,2
US100 ORB 2R,1.5376,1.5297,1.8672,5,All hours,All days,All hours,Mon+Tue+Wed+Thu+Fri,1.5376,1.5297,1.8672,5,1.9769,1.9769,999.0,0.0,1
Nasdaq 5M Open EMA ATR,5.6089,1.0365,19.0757,257,All hours,Wed+Thu+Fri,All hours,Wed+Thu+Fri,16.3095,1.1881,12.4131,153,-6.8642,-7.7713,0.7748,15.1627,51
