policy,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
challenge20_current,394,164,183,47,0,41.62,25.74,0.065,1.14,1.3
dynamic_aggressive,397,24,188,185,0,6.05,75.62,0.19,1.39,5.45
dynamic_balanced,404,39,194,171,0,9.65,53.1,0.131,1.27,4.2
dynamic_capped,393,35,186,172,0,8.91,59.81,0.152,1.32,4.22
dynamic_conservative,401,77,186,138,0,19.2,52.45,0.131,1.28,2.75
dynamic_score,404,24,194,186,0,5.94,60.1,0.149,1.3,5.26
fixed_current,394,79,183,132,0,20.05,50.81,0.129,1.27,3.44
production_current,411,61,126,80,0,14.84,34.66,0.084,1.2,3.47
