policy,bot,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
challenge20_current,LTA,84,32,39,13,0,38.1,-1.69,-0.02,0.96,1.3
challenge20_current,ORB,310,132,144,34,0,42.58,27.43,0.088,1.19,1.3
dynamic_aggressive,LTA,87,3,39,45,0,3.45,6.34,0.073,1.15,5.45
dynamic_aggressive,ORB,310,21,149,140,0,6.77,69.28,0.223,1.46,5.45
dynamic_balanced,LTA,87,6,40,41,0,6.9,4.37,0.05,1.1,4.26
dynamic_balanced,ORB,317,33,154,130,0,10.41,48.73,0.154,1.31,4.19
dynamic_capped,LTA,83,7,35,41,0,8.43,17.52,0.211,1.46,4.25
dynamic_capped,ORB,310,28,151,131,0,9.03,42.29,0.136,1.28,4.21
dynamic_conservative,LTA,89,14,40,35,0,15.73,6.31,0.071,1.15,2.96
dynamic_conservative,ORB,312,63,146,103,0,20.19,46.14,0.148,1.31,2.69
dynamic_score,LTA,87,8,40,39,0,9.2,4.37,0.05,1.1,4.13
dynamic_score,ORB,317,16,154,147,0,5.05,55.73,0.176,1.36,5.57
fixed_current,LTA,84,2,39,43,0,2.38,1.57,0.019,1.04,6.0
fixed_current,ORB,310,77,144,89,0,24.84,49.24,0.159,1.34,2.74
production_current,LTA,95,0,19,17,0,0.0,-2.73,-0.029,0.92,6.0
production_current,ORB,316,61,107,63,0,19.3,37.4,0.118,1.28,2.71
