bot,symbol,date,reason
ORB,XAUUSD,2026-01-07,ambiguous_breakout
ORB,XAUUSD,2026-02-05,ambiguous_breakout
ORB,XAUUSD,2026-03-10,ambiguous_breakout
ORB,XAUUSD,2026-03-18,ambiguous_breakout
ORB,XAUUSD,2026-03-19,ambiguous_breakout
ORB,XAUUSD,2026-03-31,ambiguous_breakout
ORB,XAUUSD,2026-04-29,ambiguous_breakout
ORB,XAUUSD,2026-05-14,ambiguous_breakout
ORB,XAUUSD,2026-05-25,ambiguous_breakout
ORB,XAGUSD,2026-01-12,ambiguous_breakout
ORB,XAGUSD,2026-01-13,ambiguous_breakout
ORB,XAGUSD,2026-01-19,ambiguous_breakout
ORB,XAGUSD,2026-02-05,ambiguous_breakout
ORB,XAGUSD,2026-02-10,ambiguous_breakout
ORB,XAGUSD,2026-04-16,ambiguous_breakout
ORB,XAGUSD,2026-04-23,ambiguous_breakout
ORB,XAGUSD,2026-04-29,ambiguous_breakout
ORB,XAGUSD,2026-04-30,ambiguous_breakout
ORB,XAGUSD,2026-05-25,ambiguous_breakout
ORB,XAGUSD,2026-05-26,ambiguous_breakout
ORB,EURUSD,2026-01-07,ambiguous_breakout
ORB,EURUSD,2026-01-14,ambiguous_breakout
ORB,EURUSD,2026-02-17,ambiguous_breakout
ORB,EURUSD,2026-02-18,ambiguous_breakout
ORB,EURUSD,2026-03-25,ambiguous_breakout
ORB,EURUSD,2026-04-27,ambiguous_breakout
ORB,EURUSD,2026-05-25,ambiguous_breakout
ORB,EURUSD,2026-05-27,ambiguous_breakout
ORB,EURUSD,2026-06-01,ambiguous_breakout
ORB,BTCUSD,2026-02-04,ambiguous_breakout
ORB,BTCUSD,2026-02-13,ambiguous_breakout
ORB,BTCUSD,2026-02-16,ambiguous_breakout
ORB,BTCUSD,2026-04-24,ambiguous_breakout
ORB,BTCUSD,2026-05-15,ambiguous_breakout
ORB,BTCUSD,2026-05-27,ambiguous_breakout
ORB,BTCUSD,2026-06-01,ambiguous_breakout
ORB,BTCUSD,2026-06-02,ambiguous_breakout
ORB,BTCUSD,2026-06-08,ambiguous_breakout
ORB,BTCUSD,2026-06-10,ambiguous_breakout
ORB,BTCUSD,2026-06-15,ambiguous_breakout
ORB,BTCUSD,2026-06-22,ambiguous_breakout
