Date,Open,High,Low,Close,Volume
2017-01-03,19757.0,19879.0,19703.0,19798.0,151885
2017-01-04,19798.0,19881.0,19787.0,19856.0,104361
2017-01-05,19865.0,19872.0,19733.0,19821.0,108860
2017-01-06,19821.0,19925.0,19760.0,19897.0,121917
2017-01-09,19887.0,19922.0,19816.0,19828.0,85834
2017-01-10,19826.0,19885.0,19765.0,19788.0,110885
2017-01-11,19798.0,19904.0,19757.0,19877.0,185272
2017-01-12,19880.0,19882.0,19692.0,19803.0,151822
2017-01-13,19807.0,19878.0,19772.0,19832.0,99768
2017-01-17,19828.0,19830.0,19698.0,19743.0,140716
2017-01-18,19746.0,19791.0,19669.0,19735.0,121032
2017-01-19,19728.0,19758.0,19607.0,19694.0,119383
2017-01-20,19652.0,19779.0,19652.0,19745.0,150968
2017-01-23,19746.0,19771.0,19666.0,19735.0,129845
2017-01-24,19725.0,19882.0,19718.0,19844.0,121989
2017-01-25,19851.0,20016.0,19847.0,20003.0,123956
2017-01-26,20003.0,20069.0,19991.0,20051.0,109273
2017-01-27,20051.0,20073.0,20005.0,20012.0,77803
2017-01-30,19969.0,19993.0,19800.0,19888.0,148335
2017-01-31,19883.0,19891.0,19713.0,19792.0,149470
2017-02-01,19814.0,19896.0,19774.0,19816.0,133901
2017-02-02,19826.0,19851.0,19735.0,19821.0,130390
2017-02-03,19818.0,20007.0,19783.0,19986.0,132981
2017-02-06,19992.0,20021.0,19932.0,19972.0,108426
2017-02-07,19966.0,20086.0,19957.0,20018.0,111316
2017-02-08,20006.0,20052.0,19966.0,20002.0,107592
2017-02-09,20010.0,20158.0,19982.0,20136.0,113826
2017-02-10,20133.0,20248.0,20127.0,20223.0,99922
2017-02-13,20233.0,20396.0,20226.0,20383.0,106394
2017-02-14,20382.0,20496.0,20346.0,20482.0,120445
2017-02-15,20482.0,20632.0,20468.0,20623.0,133210
2017-02-16,20617.0,20626.0,20536.0,20594.0,137885
2017-02-17,20594.0,20605.0,20506.0,20588.0,122287
2017-02-21,20583.0,20735.0,20568.0,20688.0,147852
2017-02-22,20693.0,20769.0,20667.0,20749.0,120216
2017-02-23,20762.0,20817.0,20724.0,20797.0,138561
2017-02-24,20784.0,20799.0,20695.0,20787.0,138230
2017-02-27,20777.0,20834.0,20748.0,20813.0,122654
2017-02-28,20808.0,20834.0,20769.0,20807.0,113242
2017-03-01,20836.0,21162.0,20810.0,21091.0,204334
2017-03-02,21074.0,21130.0,20972.0,21006.0,151866
2017-03-03,20984.0,21037.0,20926.0,20981.0,135151
2017-03-06,20975.0,20980.0,20894.0,20957.0,117681
2017-03-07,20925.0,20965.0,20893.0,20913.0,113939
2017-03-08,20910.0,20957.0,20837.0,20868.0,151456
