symbol,broker_symbol,timeframe,confirmation,pivot_len,atr_sl_mult,rr,session,trades,wins,losses,win_rate,start_balance,final_balance,profit,return_pct,max_drawdown_pct,profit_factor,avg_r,avg_lot,avg_actual_risk,max_trades_per_day,risk_mode,fixed_lot,risk_usd_cap,risk_usd_offset
EURJPY,EURJPY..,M5,EMA,3,1.2,1.0/2.0/3.0,NY_OPEN,35,20,15,57.14,10000.0,12591.76,2591.76,25.92,11.13,1.5,0.241,3.743,335.93,2,RISK_PERCENT,0.01,12.0,0.5
USDSGD,USDSGD..,M5,EMA,3,1.2,1.0/1.5/2.0,ALL,85,52,33,61.18,10000.0,18059.67,8059.67,80.6,16.54,1.63,0.249,6.856,404.96,2,RISK_PERCENT,0.01,12.0,0.5
