policy,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,169,4,66,99,0,2.37,43.5,0.257,1.66,5.6
dynamic_balanced,169,8,65,95,1,4.73,42.42,0.251,1.65,4.31
dynamic_capped,169,7,68,94,0,4.14,36.5,0.216,1.54,4.31
dynamic_conservative,169,27,67,75,0,15.98,41.0,0.243,1.61,2.88
dynamic_score,169,7,65,96,1,4.14,41.92,0.248,1.64,5.04
fixed_current,169,19,65,85,0,11.24,58.5,0.346,1.9,4.9
