starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,max_drawdown_pct,skipped_guardrail,skipped_same_symbol_overlap,policy
300.0,424.79,124.79,41.6,19,13,6,68.42,7.5,14.26,146,7,dynamic_capped+sniper
300.0,327.35,27.35,9.12,7,4,3,57.14,2.0,12.12,160,5,fixed_current+sniper
300.0,326.98,26.98,8.99,7,4,3,57.14,2.0,12.12,160,5,dynamic_score+sniper
300.0,326.81,26.81,8.94,7,4,3,57.14,2.0,12.12,160,5,dynamic_balanced+sniper
300.0,319.55,19.55,6.52,7,4,3,57.14,1.5,12.12,160,5,dynamic_aggressive+sniper
300.0,303.06,3.06,1.02,7,3,4,42.86,0.5,12.12,160,5,dynamic_conservative+sniper
