symbol,broker_symbol,timeframe,confirmation,pivot_len,atr_sl_mult,rr,session,trades,wins,losses,win_rate,start_balance,final_balance,profit,return_pct,max_drawdown_pct,profit_factor,avg_r,avg_lot,avg_actual_risk,max_trades_per_day,risk_mode,fixed_lot,risk_usd_cap,risk_usd_offset
AUDUSD,AUDUSDm,M1,TREND,3,1.2,1.0/1.5/3.0,ALL,146,81,65,55.48,300.0,705.88,405.88,135.29,28.0,1.4,0.173,0.498,15.94,3,RISK_PERCENT,0.01,12.0,0.5
XAUUSD,XAUUSDm,M5,EMA,3,1.2,1.0/1.5/2.0,ALL,108,60,48,55.56,300.0,573.91,273.91,91.3,28.5,1.32,0.143,0.01,18.64,3,RISK_PERCENT,0.01,12.0,0.5
GBPCHF,GBPCHFm,M5,OFF,7,2.0,1.0/2.0/3.0,ALL,83,51,32,61.45,300.0,489.38,189.38,63.13,27.0,1.39,0.18,0.175,15.05,2,RISK_PERCENT,0.01,12.0,0.5
AUDCAD,AUDCADm,M1,RSI_EXTREME,7,2.0,1.0/2.0/3.0,ALL,52,27,25,51.92,300.0,464.52,164.52,54.84,19.9,1.61,0.241,0.389,12.91,1,RISK_PERCENT,0.01,12.0,0.5
XAGUSD,XAGUSDm,M1,OFF,5,2.0,1.0/2.0/3.0,NY_OPEN,85,47,38,55.29,300.0,572.23,272.23,90.74,32.43,1.38,0.266,0.011,20.5,3,RISK_PERCENT,0.01,12.0,0.5
