server_time,london_time,event,detail,range_high,range_low,sweep_confirmed,bias,entry,stop,target,lots
2026.03.05 09:00:00,2026.03.05 09:00:00,range,closed London opening H1,5170.154,5137.715,1970.01.01 00:00:00,0,0.0,0.0,0.0,0.0
2026.03.05 10:00:00,2026.03.05 10:00:00,sweep,H1 upside wick reclaim,5170.154,5137.715,2026.03.05 10:00:00,-1,0.0,5180.37,5137.715,0.0
2026.03.05 13:16:42,2026.03.05 13:16:42,invalid,setup invalidated before fill,5170.154,5137.715,2026.03.05 10:00:00,-1,0.0,0.0,0.0,0.0
2026.03.06 09:00:00,2026.03.06 09:00:00,range,closed London opening H1,5123.329,5096.284,1970.01.01 00:00:00,0,0.0,0.0,0.0,0.0
2026.03.09 09:00:00,2026.03.09 09:00:00,range,closed London opening H1,5110.745,5087.079,1970.01.01 00:00:00,0,0.0,0.0,0.0,0.0
2026.03.09 10:00:00,2026.03.09 10:00:00,sweep,H1 upside wick reclaim,5110.745,5087.079,2026.03.09 10:00:00,-1,0.0,5132.554,5087.079,0.0
2026.03.09 10:45:00,2026.03.09 10:45:00,fvg,first confirmed PERIOD_M15 gap; nearest edge retest,5110.745,5087.079,2026.03.09 10:00:00,-1,5100.064,5102.736,5087.079,0.0
2026.03.09 10:45:00,2026.03.09 10:45:00,limit,first FVG edge,5110.745,5087.079,2026.03.09 10:00:00,-1,5100.064,5102.736,5087.079,0.38
2026.03.09 10:51:28,2026.03.09 10:51:28,cancel,sweep extreme broken or opposite range target reached before entry,5110.745,5087.079,2026.03.09 10:00:00,-1,0.0,0.0,0.0,0.0
2026.03.09 10:51:28,2026.03.09 10:51:28,invalid,setup invalidated before fill,5110.745,5087.079,2026.03.09 10:00:00,-1,0.0,0.0,0.0,0.0
2026.03.10 09:00:00,2026.03.10 09:00:00,range,closed London opening H1,5195.171,5174.896,1970.01.01 00:00:00,0,0.0,0.0,0.0,0.0
2026.03.10 11:00:00,2026.03.10 11:00:00,sweep,H1 downside wick reclaim,5195.171,5174.896,2026.03.10 11:00:00,1,0.0,5156.644,5195.171,0.0
2026.03.10 12:45:00,2026.03.10 12:45:00,fvg,first confirmed PERIOD_M15 gap; nearest edge retest,5195.171,5174.896,2026.03.10 11:00:00,1,5178.511,5176.794,5195.171,0.0
2026.03.10 12:45:00,2026.03.10 12:45:00,limit,first FVG edge,5195.171,5174.896,2026.03.10 11:00:00,1,5178.511,5176.794,5195.171,0.59
2026.03.10 13:00:40,2026.03.10 13:00:40,cancel,sweep extreme broken or opposite range target reached before entry,5195.171,5174.896,2026.03.10 11:00:00,1,0.0,0.0,0.0,0.0
2026.03.10 13:00:40,2026.03.10 13:00:40,invalid,setup invalidated before fill,5195.171,5174.896,2026.03.10 11:00:00,1,0.0,0.0,0.0,0.0
2026.03.11 09:00:00,2026.03.11 09:00:00,range,closed London opening H1,5198.553,5175.223,1970.01.01 00:00:00,0,0.0,0.0,0.0,0.0
2026.03.11 15:00:00,2026.03.11 15:00:00,sweep,H1 downside wick reclaim,5198.553,5175.223,2026.03.11 15:00:00,1,0.0,5174.528,5198.553,0.0
2026.03.11 15:08:13,2026.03.11 15:08:13,invalid,setup invalidated before fill,5198.553,5175.223,2026.03.11 15:00:00,1,0.0,0.0,0.0,0.0
2026.03.12 09:00:00,2026.03.12 09:00:00,range,closed London opening H1,5189.817,5175.872,1970.01.01 00:00:00,0,0.0,0.0,0.0,0.0
2026.03.12 11:00:00,2026.03.12 11:00:00,sweep,H1 upside wick reclaim,5189.817,5175.872,2026.03.12 11:00:00,-1,0.0,5191.83,5175.872,0.0
2026.03.12 11:16:26,2026.03.12 11:16:26,invalid,setup invalidated before fill,5189.817,5175.872,2026.03.12 11:00:00,-1,0.0,0.0,0.0,0.0
2026.03.13 09:00:00,2026.03.13 09:00:00,range,closed London opening H1,5088.12,5061.392,1970.01.01 00:00:00,0,0.0,0.0,0.0,0.0
2026.03.16 09:00:00,2026.03.16 09:00:00,range,closed London opening H1,5003.436,4984.903,1970.01.01 00:00:00,0,0.0,0.0,0.0,0.0
