policy,bot,symbol,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,LTA,AUDUSD,87,3,32,48,4,3.45,16.78,0.193,1.49,5.32
dynamic_aggressive,LTA,GBPJPY,89,3,46,38,2,3.37,-7.86,-0.088,0.84,5.19
dynamic_aggressive,LTA,USDCAD,9,0,3,4,2,0.0,0.61,0.068,1.15,5.33
dynamic_aggressive,ORB,AUDUSD,14,2,5,6,1,14.29,5.31,0.38,2.0,4.14
dynamic_aggressive,ORB,GBPUSD,23,0,12,11,0,0.0,-4.15,-0.18,0.68,4.26
dynamic_aggressive,ORB,NZDUSD,3,1,2,0,0,33.33,0.24,0.08,1.11,4.0
dynamic_aggressive,ORB,USDCAD,2,0,2,0,0,0.0,-2.14,-1.071,0.0,4.0
dynamic_aggressive,ORB,USDCHF,7,0,3,4,0,0.0,0.43,0.062,1.13,4.0
dynamic_balanced,LTA,AUDUSD,87,6,32,45,4,6.9,16.81,0.193,1.49,4.06
dynamic_balanced,LTA,GBPJPY,92,6,46,38,2,6.52,-6.06,-0.066,0.88,3.97
dynamic_balanced,LTA,USDCAD,10,1,3,4,2,10.0,1.02,0.102,1.26,4.0
dynamic_balanced,ORB,AUDUSD,23,1,13,7,2,4.35,-4.99,-0.217,0.64,3.04
dynamic_balanced,ORB,GBPUSD,32,1,17,13,1,3.12,-7.16,-0.224,0.61,3.16
dynamic_balanced,ORB,NZDUSD,4,1,2,0,1,25.0,1.13,0.282,1.53,3.0
dynamic_balanced,ORB,USDCAD,5,0,4,1,0,0.0,-3.88,-0.776,0.09,3.0
dynamic_balanced,ORB,USDCHF,9,0,4,4,1,0.0,-0.69,-0.076,0.84,3.0
dynamic_capped,LTA,AUDUSD,73,4,29,39,1,5.48,6.86,0.094,1.22,4.0
dynamic_capped,LTA,GBPJPY,85,6,44,34,1,7.06,-7.27,-0.086,0.85,3.95
dynamic_capped,LTA,USDCAD,3,1,0,2,0,33.33,2.74,0.914,2.74,3.67
dynamic_capped,ORB,AUDUSD,18,3,9,5,1,16.67,0.42,0.023,1.04,3.11
dynamic_capped,ORB,GBPUSD,25,2,13,9,1,8.0,-3.6,-0.144,0.74,3.16
dynamic_capped,ORB,NZDUSD,3,1,2,0,0,33.33,-0.24,-0.081,0.89,3.0
dynamic_capped,ORB,USDCAD,3,0,3,0,0,0.0,-3.22,-1.073,0.0,3.0
dynamic_capped,ORB,USDCHF,7,1,3,2,1,14.29,0.97,0.139,1.3,3.0
dynamic_conservative,LTA,AUDUSD,87,15,32,36,4,17.24,17.79,0.204,1.52,2.83
dynamic_conservative,LTA,GBPJPY,91,15,47,28,1,16.48,-7.7,-0.085,0.85,2.76
dynamic_conservative,LTA,USDCAD,9,1,3,3,2,11.11,0.11,0.012,1.03,2.89
dynamic_conservative,ORB,AUDUSD,17,6,8,3,0,35.29,1.22,0.072,1.14,2.12
dynamic_conservative,ORB,GBPUSD,29,6,12,11,0,20.69,0.41,0.014,1.03,2.21
dynamic_conservative,ORB,NZDUSD,3,1,2,0,0,33.33,-0.76,-0.253,0.65,2.0
dynamic_conservative,ORB,USDCAD,3,0,3,0,0,0.0,-3.23,-1.078,0.0,2.0
dynamic_conservative,ORB,USDCHF,7,3,3,1,0,42.86,1.45,0.207,1.45,2.0
dynamic_score,LTA,AUDUSD,87,12,32,39,4,13.79,16.81,0.193,1.49,4.05
dynamic_score,LTA,GBPJPY,92,10,46,34,2,10.87,-6.56,-0.071,0.87,3.86
dynamic_score,LTA,USDCAD,10,1,3,4,2,10.0,0.52,0.052,1.13,3.5
dynamic_score,ORB,AUDUSD,23,0,13,8,2,0.0,-5.49,-0.239,0.61,4.39
dynamic_score,ORB,GBPUSD,32,0,17,14,1,0.0,-7.66,-0.239,0.58,4.78
dynamic_score,ORB,NZDUSD,4,1,2,0,1,25.0,1.63,0.407,1.76,4.25
dynamic_score,ORB,USDCAD,5,0,4,1,0,0.0,-3.88,-0.776,0.09,4.8
dynamic_score,ORB,USDCHF,9,0,4,4,1,0.0,-0.69,-0.076,0.84,4.33
fixed_current,LTA,AUDUSD,87,0,32,51,4,0.0,15.27,0.176,1.45,6.0
fixed_current,LTA,GBPJPY,89,2,46,39,2,2.25,-7.86,-0.088,0.84,6.0
fixed_current,LTA,USDCAD,9,0,3,4,2,0.0,0.61,0.068,1.15,6.0
fixed_current,ORB,AUDUSD,14,0,5,8,1,0.0,4.31,0.308,1.81,6.0
fixed_current,ORB,GBPUSD,20,3,9,8,0,15.0,0.61,0.031,1.06,3.0
fixed_current,ORB,NZDUSD,3,1,2,0,0,33.33,-0.26,-0.086,0.88,3.0
fixed_current,ORB,USDCAD,2,0,2,0,0,0.0,-2.14,-1.071,0.0,6.0
fixed_current,ORB,USDCHF,6,1,2,3,0,16.67,2.02,0.337,1.94,3.0
