policy,bot,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,LTA,75,1,40,31,3,1.33,-13.82,-0.184,0.68,5.35
dynamic_aggressive,ORB,41,3,20,17,1,7.32,1.85,0.045,1.09,4.2
dynamic_balanced,LTA,77,3,41,30,3,3.9,-13.98,-0.182,0.68,4.06
dynamic_balanced,ORB,58,2,32,19,5,3.45,-12.46,-0.215,0.63,3.1
dynamic_capped,LTA,63,3,38,22,0,4.76,-17.68,-0.281,0.57,4.02
dynamic_capped,ORB,47,7,26,11,3,14.89,-3.98,-0.085,0.86,3.13
dynamic_conservative,LTA,77,10,41,23,3,12.99,-12.5,-0.162,0.72,2.84
dynamic_conservative,ORB,50,14,24,12,0,28.0,-0.69,-0.014,0.97,2.16
dynamic_score,LTA,77,5,41,28,3,6.49,-13.48,-0.175,0.69,4.03
dynamic_score,ORB,58,1,32,20,5,1.72,-12.46,-0.215,0.63,4.66
fixed_current,LTA,75,1,40,31,3,1.33,-13.32,-0.178,0.69,6.0
fixed_current,ORB,38,5,17,15,1,13.16,5.6,0.147,1.31,4.03
