policy,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,116,4,60,48,4,3.45,-11.97,-0.103,0.81,4.94
dynamic_balanced,135,5,73,49,8,3.7,-26.44,-0.196,0.66,3.65
dynamic_capped,110,10,64,33,3,9.09,-21.65,-0.197,0.68,3.64
dynamic_conservative,127,24,65,35,3,18.9,-13.2,-0.104,0.81,2.57
dynamic_score,135,6,73,48,8,4.44,-25.94,-0.192,0.67,4.3
fixed_current,113,6,57,46,4,5.31,-7.72,-0.068,0.87,5.34
