policy,bot,symbol,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,LTA,AUDUSD,38,0,17,21,0,0.0,-0.23,-0.006,0.99,5.34
dynamic_aggressive,LTA,GBPJPY,29,0,17,10,2,0.0,-10.92,-0.377,0.41,5.34
dynamic_aggressive,LTA,USDCAD,8,1,6,0,1,12.5,-2.67,-0.334,0.59,5.38
dynamic_aggressive,ORB,AUDUSD,12,2,4,5,1,16.67,6.01,0.501,2.43,4.17
dynamic_aggressive,ORB,GBPUSD,19,0,10,9,0,0.0,-2.85,-0.15,0.73,4.32
dynamic_aggressive,ORB,NZDUSD,3,1,2,0,0,33.33,0.24,0.08,1.11,4.0
dynamic_aggressive,ORB,USDCAD,1,0,1,0,0,0.0,-1.06,-1.064,0.0,4.0
dynamic_aggressive,ORB,USDCHF,6,0,3,3,0,0.0,-0.49,-0.081,0.85,4.0
dynamic_balanced,LTA,AUDUSD,39,2,18,19,0,5.13,-0.32,-0.008,0.98,4.1
dynamic_balanced,LTA,GBPJPY,30,0,17,11,2,0.0,-10.49,-0.35,0.43,4.03
dynamic_balanced,LTA,USDCAD,8,1,6,0,1,12.5,-3.17,-0.396,0.51,4.0
dynamic_balanced,ORB,AUDUSD,19,1,10,6,2,5.26,-2.15,-0.113,0.8,3.05
dynamic_balanced,ORB,GBPUSD,24,0,13,10,1,0.0,-6.59,-0.274,0.53,3.21
dynamic_balanced,ORB,NZDUSD,4,1,2,0,1,25.0,1.13,0.282,1.53,3.0
dynamic_balanced,ORB,USDCAD,4,0,3,1,0,0.0,-2.82,-0.704,0.13,3.0
dynamic_balanced,ORB,USDCHF,7,0,4,2,1,0.0,-2.03,-0.291,0.52,3.0
dynamic_capped,LTA,AUDUSD,30,2,19,9,0,6.67,-9.69,-0.323,0.52,3.97
dynamic_capped,LTA,GBPJPY,27,0,15,12,0,0.0,-6.98,-0.258,0.57,4.07
dynamic_capped,LTA,USDCAD,6,1,4,1,0,16.67,-1.01,-0.168,0.77,4.0
dynamic_capped,ORB,AUDUSD,16,3,8,4,1,18.75,1.11,0.069,1.13,3.12
dynamic_capped,ORB,GBPUSD,20,2,11,6,1,10.0,-2.75,-0.138,0.77,3.2
dynamic_capped,ORB,NZDUSD,3,1,2,0,0,33.33,-0.24,-0.081,0.89,3.0
dynamic_capped,ORB,USDCAD,2,0,2,0,0,0.0,-2.15,-1.073,0.0,3.0
dynamic_capped,ORB,USDCHF,6,1,3,1,1,16.67,0.06,0.009,1.02,3.0
dynamic_conservative,LTA,AUDUSD,39,6,18,15,0,15.38,0.18,0.005,1.01,2.82
dynamic_conservative,LTA,GBPJPY,30,3,17,8,2,10.0,-9.01,-0.3,0.51,2.87
dynamic_conservative,LTA,USDCAD,8,1,6,0,1,12.5,-3.67,-0.459,0.43,2.88
dynamic_conservative,ORB,AUDUSD,15,6,7,2,0,40.0,1.91,0.127,1.26,2.13
dynamic_conservative,ORB,GBPUSD,24,5,10,9,0,20.83,0.28,0.012,1.03,2.25
dynamic_conservative,ORB,NZDUSD,3,1,2,0,0,33.33,-0.76,-0.253,0.65,2.0
dynamic_conservative,ORB,USDCAD,2,0,2,0,0,0.0,-2.15,-1.077,0.0,2.0
dynamic_conservative,ORB,USDCHF,6,2,3,1,0,33.33,0.03,0.005,1.01,2.0
dynamic_score,LTA,AUDUSD,39,3,18,18,0,7.69,0.18,0.005,1.01,4.15
dynamic_score,LTA,GBPJPY,30,1,17,10,2,3.33,-9.99,-0.333,0.46,3.93
dynamic_score,LTA,USDCAD,8,1,6,0,1,12.5,-3.67,-0.459,0.43,3.75
dynamic_score,ORB,AUDUSD,19,0,10,7,2,0.0,-2.65,-0.14,0.75,4.42
dynamic_score,ORB,GBPUSD,24,0,13,10,1,0.0,-6.59,-0.274,0.53,4.92
dynamic_score,ORB,NZDUSD,4,1,2,0,1,25.0,1.63,0.407,1.76,4.25
dynamic_score,ORB,USDCAD,4,0,3,1,0,0.0,-2.82,-0.704,0.13,5.0
dynamic_score,ORB,USDCHF,7,0,4,2,1,0.0,-2.03,-0.291,0.52,4.43
fixed_current,LTA,AUDUSD,38,0,17,21,0,0.0,-0.23,-0.006,0.99,6.0
fixed_current,LTA,GBPJPY,29,0,17,10,2,0.0,-10.92,-0.377,0.41,6.0
fixed_current,LTA,USDCAD,8,1,6,0,1,12.5,-2.17,-0.271,0.67,6.0
fixed_current,ORB,AUDUSD,12,0,4,7,1,0.0,5.01,0.417,2.19,6.0
fixed_current,ORB,GBPUSD,17,3,8,6,0,17.65,0.81,0.048,1.09,3.0
fixed_current,ORB,NZDUSD,3,1,2,0,0,33.33,-0.26,-0.086,0.88,3.0
fixed_current,ORB,USDCAD,1,0,1,0,0,0.0,-1.06,-1.064,0.0,6.0
fixed_current,ORB,USDCHF,5,1,2,2,0,20.0,1.1,0.221,1.51,3.0
