deal,time,time_msc,symbol,position_id,type,entry,reason,volume,price,profit,commission,swap,fee,comment
1,2021.09.05 00:00:00,1630800000000,,0,2,0,0,0.0,0.0,10000.0,0.0,0.0,0.0,
2,2021.11.11 05:45:00,1636609500001,XAUUSD,2,0,0,3,0.31,1852.903,0.0,-1.71,0.0,0.0,Safe LTA EM1-DoubleWick PD-VAH 
3,2021.11.11 08:51:59,1636620719065,XAUUSD,2,1,1,5,0.31,1862.765,305.73,0.0,0.0,0.0,tp 1862.764
4,2021.11.12 00:00:00,1636675200001,XAUUSD,4,0,0,3,1.0,1862.18,0.0,-5.5,0.0,0.0,Safe LTA EM1-DoubleWick PD-POC 
5,2021.11.12 00:03:26,1636675406769,XAUUSD,4,1,1,4,1.0,1861.118,-106.2,0.0,0.0,0.0,sl 1861.144
6,2021.11.12 08:45:00,1636706700001,XAUUSD,6,0,0,3,0.56,1853.831,0.0,-3.08,0.0,0.0,Safe LTA EM1-DoubleWick PD-VAL 
7,2021.11.12 09:01:38,1636707698761,XAUUSD,6,1,1,4,0.56,1851.983,-103.49,0.0,0.0,0.0,sl 1852.006
8,2021.11.15 07:30:00,1636961400001,XAUUSD,8,0,0,3,0.47,1858.368,0.0,-2.59,0.0,0.0,Safe LTA EM1-DoubleWick PW-VAH 
9,2021.11.15 13:05:28,1636981528453,XAUUSD,8,1,1,5,0.47,1864.944,309.07,0.0,0.0,0.0,tp 1864.935
10,2021.11.16 00:45:00,1637023500001,XAUUSD,10,0,0,3,0.39,1864.518,0.0,-2.15,0.0,0.0,Safe LTA EM4-Continuation PD-PO
11,2021.11.16 01:06:27,1637024787857,XAUUSD,10,1,1,5,0.39,1865.121,23.52,0.0,0.0,0.0,tp 1865.117
12,2021.11.16 01:15:00,1637025300001,XAUUSD,12,0,0,3,0.35,1865.258,0.0,-1.9300000000000002,0.0,0.0,Safe LTA EM1-DoubleWick PD-VAH 
13,2021.11.16 09:12:27,1637053947567,XAUUSD,12,1,1,5,0.35,1874.403,320.08,0.0,0.0,0.0,tp 1874.396
14,2021.11.16 09:15:00,1637054100001,XAUUSD,14,0,0,3,0.14,1873.189,0.0,-0.77,0.0,0.0,Safe LTA EM1-DoubleWick PD-VAH 
15,2021.11.16 14:06:41,1637071601497,XAUUSD,14,1,1,4,0.14,1865.045,-114.02,0.0,0.0,0.0,sl 1865.052
16,2021.11.16 14:45:00,1637073900001,XAUUSD,16,0,0,3,0.21,1863.761,0.0,-1.16,0.0,0.0,Safe LTA EM1-DoubleWick Demand(
17,2021.11.16 15:00:39,1637074839288,XAUUSD,16,1,1,4,0.21,1858.576,-108.88,0.0,0.0,0.0,sl 1858.583
18,2021.11.16 15:15:00,1637075700001,XAUUSD,18,0,0,3,0.17,1862.388,0.0,-0.94,0.0,0.0,Safe LTA EM1-DoubleWick Demand(
19,2021.11.16 15:16:00,1637075760000,XAUUSD,18,1,1,5,0.17,1863.066,11.52,0.0,0.0,0.0,tp 1863.034
