symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,pnl,range_high,range_low,range_atr
AUDUSD,15,1.3333333333333333,2026-05,2026-05-28,2026-05-28 12:15:00,2026-05-28 14:00:00,BUY,0.71208,0.71058,0.71408,0.71408,win,1.2733,0.06,9.0,200.0,0.71208,0.71173,0.8235
EURGBP,15,1.3333333333333333,2026-05,2026-05-28,2026-05-28 12:15:00,2026-05-28 21:00:00,BUY,0.86668,0.86518,0.86868,0.86647,timeout,-0.2267,0.0867,13.0,-21.0,0.86668,0.86644,0.9256
EURUSD,15,1.3333333333333333,2026-05,2026-05-28,2026-05-28 12:15:00,2026-05-28 13:00:00,BUY,1.16195,1.16045,1.16395,1.16395,win,1.28,0.0533,8.0,200.0,1.16195,1.16152,0.7748
GBPUSD,15,1.3333333333333333,2026-05,2026-05-28,2026-05-28 12:15:00,2026-05-28 14:00:00,BUY,1.34077,1.33927,1.34277,1.34277,win,1.2667,0.0667,10.0,200.0,1.34077,1.34025,0.6816
NZDUSD,15,1.3333333333333333,2026-05,2026-05-28,2026-05-28 12:15:00,2026-05-28 14:00:00,BUY,0.58941,0.58791,0.59141,0.59141,win,1.24,0.0933,14.0,200.0,0.58941,0.58897,1.278
USDCAD,15,1.3333333333333333,2026-05,2026-05-28,2026-05-28 12:15:00,2026-05-28 14:00:00,SELL,1.38486,1.38636,1.38286,1.38286,win,1.24,0.0933,14.0,200.0,1.38534,1.38486,0.9081
USDCHF,15,1.3333333333333333,2026-05,2026-05-28,2026-05-28 12:15:00,2026-05-28 12:45:00,SELL,0.78867,0.79017,0.78667,0.78667,win,1.2467,0.0867,13.0,200.0,0.78906,0.78867,0.8465
USDJPY,15,1.3333333333333333,2026-05,2026-05-28,2026-05-28 12:15:00,2026-05-28 14:00:00,SELL,159.417,159.567,159.217,159.217,win,1.2667,0.0667,10.0,20000.0,159.456,159.417,0.9463
AUDUSD,15,1.3333333333333333,2026-05,2026-05-29,2026-05-29 12:15:00,2026-05-29 14:45:00,BUY,0.71744,0.71594,0.71944,0.71944,win,1.2733,0.06,9.0,200.0,0.71744,0.71671,1.8448
EURGBP,15,1.3333333333333333,2026-05,2026-05-29,2026-05-29 12:15:00,2026-05-29 14:45:00,BUY,0.86733,0.86583,0.86933,0.86583,loss,-1.0867,0.0867,13.0,-150.0,0.86733,0.86707,0.8143
GBPUSD,15,1.3333333333333333,2026-05,2026-05-29,2026-05-29 12:15:00,2026-05-29 13:15:00,SELL,1.34239,1.34389,1.34039,1.34389,loss,-1.0667,0.0667,10.0,-150.0,1.34296,1.34239,0.8471
