time,equity
2025-08-04 02:00:00+00:00,10000.0
2025-08-04 02:15:00+00:00,10000.0
2025-08-04 02:30:00+00:00,10000.0
2025-08-04 02:45:00+00:00,10000.0
2025-08-04 03:00:00+00:00,10000.0
2025-08-04 03:15:00+00:00,10000.0
2025-08-04 03:30:00+00:00,10000.0
2025-08-04 03:45:00+00:00,10000.0
2025-08-04 04:00:00+00:00,10000.0
2025-08-04 04:15:00+00:00,10000.0
2025-08-04 04:30:00+00:00,10000.0
2025-08-04 04:45:00+00:00,10000.0
2025-08-04 05:00:00+00:00,10000.0
2025-08-04 05:15:00+00:00,10000.0
2025-08-04 05:30:00+00:00,10000.0
2025-08-04 05:45:00+00:00,10000.0
2025-08-04 06:00:00+00:00,10000.0
2025-08-04 06:15:00+00:00,10000.0
2025-08-04 06:30:00+00:00,10000.0
2025-08-04 06:45:00+00:00,10000.0
2025-08-04 07:00:00+00:00,10000.0
2025-08-04 07:15:00+00:00,10000.0
2025-08-04 07:30:00+00:00,10000.0
2025-08-04 07:45:00+00:00,10000.0
2025-08-04 08:00:00+00:00,10000.0
2025-08-04 08:15:00+00:00,10000.0
2025-08-04 08:30:00+00:00,10000.0
2025-08-04 08:45:00+00:00,10000.0
2025-08-04 09:00:00+00:00,10000.0
2025-08-04 09:15:00+00:00,10000.0
2025-08-04 09:30:00+00:00,10000.0
2025-08-04 09:45:00+00:00,10000.0
2025-08-04 10:00:00+00:00,10000.0
2025-08-04 10:15:00+00:00,10000.0
2025-08-04 10:30:00+00:00,10000.0
2025-08-04 10:45:00+00:00,10000.0
2025-08-04 11:00:00+00:00,10000.0
2025-08-04 11:15:00+00:00,10000.0
2025-08-04 11:30:00+00:00,10000.0
2025-08-04 11:45:00+00:00,10000.0
2025-08-04 12:00:00+00:00,10000.0
2025-08-04 12:15:00+00:00,10000.0
2025-08-04 12:30:00+00:00,10000.0
2025-08-04 12:45:00+00:00,10000.0
2025-08-04 13:00:00+00:00,10000.0
2025-08-04 13:15:00+00:00,10000.0
2025-08-04 13:30:00+00:00,10000.0
2025-08-04 13:45:00+00:00,10000.0
2025-08-04 14:00:00+00:00,10000.0
2025-08-04 14:15:00+00:00,10000.0
2025-08-04 14:30:00+00:00,10000.0
2025-08-04 14:45:00+00:00,10000.0
2025-08-04 15:00:00+00:00,10000.0
2025-08-04 15:15:00+00:00,10000.0
2025-08-04 15:30:00+00:00,10000.0
2025-08-04 15:45:00+00:00,10000.0
2025-08-04 16:00:00+00:00,10000.0
2025-08-04 16:15:00+00:00,10000.0
2025-08-04 16:30:00+00:00,10000.0
2025-08-04 16:45:00+00:00,10000.0
2025-08-04 17:00:00+00:00,10000.0
2025-08-04 17:15:00+00:00,10000.0
2025-08-04 17:30:00+00:00,10000.0
2025-08-04 17:45:00+00:00,10000.0
2025-08-04 18:00:00+00:00,10000.0
2025-08-04 18:15:00+00:00,10000.0
2025-08-04 18:30:00+00:00,10000.0
2025-08-04 18:45:00+00:00,10000.0
2025-08-04 19:00:00+00:00,10022.488563712925
2025-08-04 19:15:00+00:00,9960.084615879206
2025-08-04 19:30:00+00:00,9921.470018324635
2025-08-04 19:45:00+00:00,9908.713410203934
2025-08-04 20:00:00+00:00,9925.434910037828
2025-08-04 20:15:00+00:00,9933.537080060443
2025-08-04 20:30:00+00:00,9940.260157313245
2025-08-04 20:45:00+00:00,9960.084615879206
2025-08-04 21:00:00+00:00,9966.118146747107
2025-08-04 21:15:00+00:00,9992.66568256587
2025-08-04 21:30:00+00:00,9989.735110430032
2025-08-04 21:45:00+00:00,9990.941816603616
2025-08-04 22:00:00+00:00,9998.182053645098
2025-08-04 22:15:00+00:00,10005.249904090351
2025-08-04 22:30:00+00:00,9994.906708316807
2025-08-04 22:45:00+00:00,9994.906708316807
2025-08-04 23:00:00+00:00,9998.182053645098
2025-08-04 23:15:00+00:00,9993.700002143225
2025-08-04 23:30:00+00:00,9952.327219049044
2025-08-04 23:45:00+00:00,9952.671992241503
2025-08-05 01:00:00+00:00,9973.70315698104
2025-08-05 01:15:00+00:00,9972.496450807457
2025-08-05 01:30:00+00:00,9964.0495075924
2025-08-05 01:45:00+00:00,9974.22031676972
2025-08-05 02:00:00+00:00,10042.485408875109
2025-08-05 02:15:00+00:00,10051.277125282626
2025-08-05 02:30:00+00:00,10022.488563712925
2025-08-05 02:45:00+00:00,10018.868445192184
2025-08-05 03:00:00+00:00,10013.179687516735
2025-08-05 03:15:00+00:00,10019.557991577087
2025-08-05 03:30:00+00:00,10056.448723169402
2025-08-05 03:45:00+00:00,10060.930774671267
2025-08-05 04:00:00+00:00,10100.0
2025-08-05 04:15:00+00:00,10100.0
2025-08-05 04:30:00+00:00,10100.0
2025-08-05 04:45:00+00:00,10100.0
2025-08-05 05:00:00+00:00,10100.0
2025-08-05 05:15:00+00:00,10100.0
2025-08-05 05:30:00+00:00,10100.0
2025-08-05 05:45:00+00:00,10100.0
2025-08-05 06:00:00+00:00,10100.0
2025-08-05 06:15:00+00:00,10100.0
2025-08-05 06:30:00+00:00,10100.0
2025-08-05 06:45:00+00:00,10100.0
2025-08-05 07:00:00+00:00,10100.0
2025-08-05 07:15:00+00:00,10100.0
2025-08-05 07:30:00+00:00,10100.0
2025-08-05 07:45:00+00:00,10100.0
2025-08-05 08:00:00+00:00,10100.0
2025-08-05 08:15:00+00:00,10100.0
2025-08-05 08:30:00+00:00,10100.0
2025-08-05 08:45:00+00:00,10100.0
2025-08-05 09:00:00+00:00,10100.0
2025-08-05 09:15:00+00:00,10100.0
2025-08-05 09:30:00+00:00,10100.0
2025-08-05 09:45:00+00:00,10100.0
2025-08-05 10:00:00+00:00,10100.0
2025-08-05 10:15:00+00:00,10100.0
2025-08-05 10:30:00+00:00,10100.0
2025-08-05 10:45:00+00:00,10100.0
2025-08-05 11:00:00+00:00,10100.0
2025-08-05 11:15:00+00:00,10100.0
2025-08-05 11:30:00+00:00,10100.0
2025-08-05 11:45:00+00:00,10100.0
2025-08-05 12:00:00+00:00,10100.0
2025-08-05 12:15:00+00:00,10100.0
2025-08-05 12:30:00+00:00,10100.0
2025-08-05 12:45:00+00:00,10100.0
2025-08-05 13:00:00+00:00,10100.0
2025-08-05 13:15:00+00:00,10100.0
2025-08-05 13:30:00+00:00,10100.0
2025-08-05 13:45:00+00:00,10100.0
2025-08-05 14:00:00+00:00,10100.0
2025-08-05 14:15:00+00:00,10100.0
2025-08-05 14:30:00+00:00,10100.0
2025-08-05 14:45:00+00:00,10100.0
2025-08-05 15:00:00+00:00,10072.140355124171
2025-08-05 15:15:00+00:00,10201.0
2025-08-05 15:30:00+00:00,10201.0
2025-08-05 15:45:00+00:00,10201.0
2025-08-05 16:00:00+00:00,10201.0
2025-08-05 16:15:00+00:00,10201.0
2025-08-05 16:30:00+00:00,10201.0
2025-08-05 16:45:00+00:00,10201.0
2025-08-05 17:00:00+00:00,10201.0
2025-08-05 17:15:00+00:00,10201.0
2025-08-05 17:30:00+00:00,10201.0
2025-08-05 17:45:00+00:00,10201.0
2025-08-05 18:00:00+00:00,10201.0
2025-08-05 18:15:00+00:00,10201.0
2025-08-05 18:30:00+00:00,10201.0
2025-08-05 18:45:00+00:00,10201.0
2025-08-05 19:00:00+00:00,10201.0
2025-08-05 19:15:00+00:00,10201.0
2025-08-05 19:30:00+00:00,10201.0
2025-08-05 19:45:00+00:00,10201.0
2025-08-05 20:00:00+00:00,10201.0
2025-08-05 20:15:00+00:00,10201.0
2025-08-05 20:30:00+00:00,10201.0
2025-08-05 20:45:00+00:00,10201.0
2025-08-05 21:00:00+00:00,10201.0
2025-08-05 21:15:00+00:00,10201.0
2025-08-05 21:30:00+00:00,10201.0
2025-08-05 21:45:00+00:00,10201.0
2025-08-05 22:00:00+00:00,10201.0
2025-08-05 22:15:00+00:00,10201.0
2025-08-05 22:30:00+00:00,10201.0
2025-08-05 22:45:00+00:00,10201.0
2025-08-05 23:00:00+00:00,10201.0
2025-08-05 23:15:00+00:00,10201.0
2025-08-05 23:30:00+00:00,10201.0
2025-08-05 23:45:00+00:00,10201.0
2025-08-06 01:00:00+00:00,10201.0
2025-08-06 01:15:00+00:00,10201.0
2025-08-06 01:30:00+00:00,10201.0
2025-08-06 01:45:00+00:00,10201.0
2025-08-06 02:00:00+00:00,10201.0
2025-08-06 02:15:00+00:00,10201.0
2025-08-06 02:30:00+00:00,10201.0
2025-08-06 02:45:00+00:00,10201.0
2025-08-06 03:00:00+00:00,10201.0
2025-08-06 03:15:00+00:00,10201.0
2025-08-06 03:30:00+00:00,10201.0
2025-08-06 03:45:00+00:00,10201.0
2025-08-06 04:00:00+00:00,10201.0
2025-08-06 04:15:00+00:00,10201.0
2025-08-06 04:30:00+00:00,10201.0
2025-08-06 04:45:00+00:00,10201.0
2025-08-06 05:00:00+00:00,10201.0
2025-08-06 05:15:00+00:00,10201.0
2025-08-06 05:30:00+00:00,10201.0
2025-08-06 05:45:00+00:00,10201.0
2025-08-06 06:00:00+00:00,10201.0
2025-08-06 06:15:00+00:00,10201.0
2025-08-06 06:30:00+00:00,10201.0
2025-08-06 06:45:00+00:00,10201.0
2025-08-06 07:00:00+00:00,10201.0
2025-08-06 07:15:00+00:00,10201.0
2025-08-06 07:30:00+00:00,10201.0
2025-08-06 07:45:00+00:00,10201.0
2025-08-06 08:00:00+00:00,10201.0
2025-08-06 08:15:00+00:00,10201.0
2025-08-06 08:30:00+00:00,10201.0
2025-08-06 08:45:00+00:00,10211.079405088154
2025-08-06 09:00:00+00:00,10245.250384172108
2025-08-06 09:15:00+00:00,10303.01
2025-08-06 09:30:00+00:00,10303.01
2025-08-06 09:45:00+00:00,10303.01
2025-08-06 10:00:00+00:00,10303.01
2025-08-06 10:15:00+00:00,10303.01
2025-08-06 10:30:00+00:00,10303.01
2025-08-06 10:45:00+00:00,10303.01
2025-08-06 11:00:00+00:00,10303.01
2025-08-06 11:15:00+00:00,10303.01
2025-08-06 11:30:00+00:00,10303.01
2025-08-06 11:45:00+00:00,10303.01
2025-08-06 12:00:00+00:00,10303.01
2025-08-06 12:15:00+00:00,10199.9799
2025-08-06 12:30:00+00:00,10199.9799
2025-08-06 12:45:00+00:00,10199.9799
2025-08-06 13:00:00+00:00,10199.9799
2025-08-06 13:15:00+00:00,10199.9799
2025-08-06 13:30:00+00:00,10199.9799
2025-08-06 13:45:00+00:00,10199.9799
2025-08-06 14:00:00+00:00,10199.9799
2025-08-06 14:15:00+00:00,10208.696412388177
2025-08-06 14:30:00+00:00,10199.190181841577
2025-08-06 14:45:00+00:00,10191.239516293512
2025-08-06 15:00:00+00:00,10112.942744700627
2025-08-06 15:15:00+00:00,10178.10363408367
2025-08-06 15:30:00+00:00,10175.51102575278
2025-08-06 15:45:00+00:00,10231.857046810792
2025-08-06 16:00:00+00:00,10250.178145682425
2025-08-06 16:15:00+00:00,10259.857216784414
2025-08-06 16:30:00+00:00,10207.832209611212
2025-08-06 16:45:00+00:00,10301.979699
2025-08-06 17:00:00+00:00,10301.979699
2025-08-06 17:15:00+00:00,10301.979699
2025-08-06 17:30:00+00:00,10301.979699
2025-08-06 17:45:00+00:00,10301.979699
2025-08-06 18:00:00+00:00,10301.979699
2025-08-06 18:15:00+00:00,10301.979699
2025-08-06 18:30:00+00:00,10301.979699
2025-08-06 18:45:00+00:00,10301.979699
2025-08-06 19:00:00+00:00,10301.979699
2025-08-06 19:15:00+00:00,10301.979699
2025-08-06 19:30:00+00:00,10301.979699
2025-08-06 19:45:00+00:00,10301.979699
2025-08-06 20:00:00+00:00,10301.979699
2025-08-06 20:15:00+00:00,10301.979699
2025-08-06 20:30:00+00:00,10301.979699
2025-08-06 20:45:00+00:00,10301.979699
2025-08-06 21:00:00+00:00,10301.979699
2025-08-06 21:15:00+00:00,10301.979699
2025-08-06 21:30:00+00:00,10301.979699
2025-08-06 21:45:00+00:00,10301.979699
2025-08-06 22:00:00+00:00,10301.979699
2025-08-06 22:15:00+00:00,10301.979699
2025-08-06 22:30:00+00:00,10301.979699
2025-08-06 22:45:00+00:00,10301.979699
2025-08-06 23:00:00+00:00,10198.95990201
2025-08-06 23:15:00+00:00,10198.95990201
2025-08-06 23:30:00+00:00,10198.95990201
2025-08-06 23:45:00+00:00,10198.95990201
2025-08-07 01:00:00+00:00,10198.95990201
2025-08-07 01:15:00+00:00,10198.95990201
2025-08-07 01:30:00+00:00,10198.95990201
2025-08-07 01:45:00+00:00,10198.95990201
2025-08-07 02:00:00+00:00,10198.95990201
2025-08-07 02:15:00+00:00,10198.95990201
2025-08-07 02:30:00+00:00,10198.95990201
2025-08-07 02:45:00+00:00,10198.95990201
2025-08-07 03:00:00+00:00,10198.95990201
2025-08-07 03:15:00+00:00,10198.95990201
2025-08-07 03:30:00+00:00,10198.95990201
2025-08-07 03:45:00+00:00,10198.95990201
2025-08-07 04:00:00+00:00,10198.95990201
2025-08-07 04:15:00+00:00,10198.95990201
2025-08-07 04:30:00+00:00,10198.95990201
2025-08-07 04:45:00+00:00,10198.95990201
2025-08-07 05:00:00+00:00,10198.95990201
2025-08-07 05:15:00+00:00,10198.95990201
2025-08-07 05:30:00+00:00,10198.95990201
