signal_time,opened,closed,entry,stop,target,exit_price,r_multiple,cash_pnl,reason
2025-08-04 18:45:00+00:00,2025-08-04 19:00:00+00:00,2025-08-05 04:00:00+00:00,3376.2554575236536,3370.4545424763464,3382.056372570961,3382.056372570961,1.0,100.0,TARGET
2025-08-05 14:45:00+00:00,2025-08-05 15:00:00+00:00,2025-08-05 15:15:00+00:00,3354.4082095547005,3349.701790445299,3359.114628664102,3359.114628664102,1.0,101.0,TARGET
2025-08-06 08:30:00+00:00,2025-08-06 08:45:00+00:00,2025-08-06 09:15:00+00:00,3373.9266841847984,3370.5533158152016,3377.3000525543953,3377.3000525543953,1.0,102.01,TARGET
2025-08-06 12:00:00+00:00,2025-08-06 12:15:00+00:00,2025-08-06 12:15:00+00:00,3367.632510960946,3364.5374890390535,3370.7275328828387,3364.5374890390535,-1.0,-103.0301,AMBIGUOUS_STOP
2025-08-06 13:45:00+00:00,2025-08-06 14:15:00+00:00,2025-08-06 16:45:00+00:00,3365.625690558945,3359.724309441055,3371.5270716768346,3371.5270716768346,1.0,101.999799,TARGET
2025-08-06 22:45:00+00:00,2025-08-06 23:00:00+00:00,2025-08-06 23:00:00+00:00,3372.172029567361,3370.137970432639,3374.2060887020825,3370.137970432639,-1.0,-103.01979698999999,AMBIGUOUS_STOP
2025-08-07 06:30:00+00:00,2025-08-07 06:45:00+00:00,2025-08-07 08:30:00+00:00,3379.852152394119,3376.367847605881,3383.336457182357,3376.367847605881,-1.0,-101.9895990201,STOP
2025-08-07 14:15:00+00:00,2025-08-07 14:30:00+00:00,2025-08-07 22:30:00+00:00,3383.3178191507554,3371.4121808492446,3395.2234574522663,3395.2234574522663,1.0,100.969703029899,TARGET
2025-08-08 04:45:00+00:00,2025-08-08 05:00:00+00:00,2025-08-08 06:30:00+00:00,3386.040894034544,3380.2891059654557,3391.7926821036326,3391.7926821036326,1.0,101.97940006019799,TARGET
2025-08-08 09:45:00+00:00,2025-08-08 10:00:00+00:00,2025-08-08 10:45:00+00:00,3395.2220860460075,3388.4979139539923,3401.9462581380226,3401.9462581380226,1.0,102.99919406079997,TARGET
2025-08-08 14:45:00+00:00,2025-08-08 15:00:00+00:00,2025-08-08 15:30:00+00:00,3388.7439784091985,3380.2460215908013,3397.2419352275956,3397.2419352275956,1.0,104.02918600140796,TARGET
2025-08-08 18:30:00+00:00,2025-08-08 18:45:00+00:00,2025-08-08 20:45:00+00:00,3394.8817410974425,3388.3182589025573,3401.4452232923277,3388.3182589025573,-1.0,-105.06947786142204,STOP
2025-08-11 05:30:00+00:00,2025-08-11 06:30:00+00:00,2025-08-11 09:15:00+00:00,3380.2511806916,3369.4088193084,3391.0935420748,3369.4088193084,-1.0,-104.01878308280783,STOP
2025-08-12 01:15:00+00:00,2025-08-12 02:00:00+00:00,2025-08-12 03:30:00+00:00,3347.579599702882,3341.900400297118,3353.2587991086466,3353.2587991086466,1.0,102.97859525197975,TARGET
