risk_pct,impulse_bars,impulse_atr,test_tolerance_atr,min_test_gap,max_test_gap,rejection_atr,entry_buffer_atr,stop_buffer_atr,min_range_atr,max_range_atr,target_rr,pending_expiry_bars,max_hold_bars,cooldown_bars,max_spread_price,max_daily_loss_pct,train_score,train_trades,train_pf,train_return_pct,train_dd_pct,validation_score,validation_trades,validation_pf,validation_return_pct,validation_dd_pct
1.0,6,0.8,0.2,2,10,0.1,0.05,0.05,0.5,3.0,2.0,6,48,4,0.8,2.0,22.939367575781073,370,1.1268508819035368,35.42233794854195,21.053532547581078,-9891.0,109,0.664028050881031,-23.981970182509148,27.83533575214848
1.0,8,0.8,0.3,3,10,0.1,0.1,0.05,0.5,3.0,2.0,6,48,4,0.8,2.0,19.20524778639944,341,1.1176446556404886,29.587535087338644,19.375017436322526,-9891.0,109,0.782601264058135,-14.958736377955939,17.200044192702496
1.0,8,0.8,0.3,3,10,0.1,0.05,0.05,0.5,3.0,2.0,10,48,4,0.8,2.0,19.51785009959261,357,1.1017036987853874,26.233540289130673,18.039395683360727,-9892.0,108,0.761292368312355,-16.22779947078361,18.96683053191232
1.0,4,0.8,0.3,3,10,0.1,0.05,0.05,0.5,3.0,2.0,10,48,4,0.8,2.0,41.31623241641971,358,1.2193096349853636,67.46469272910984,22.619064255062614,-9893.0,107,0.8098833438674505,-12.83046495344986,15.623004646718089
1.0,4,0.8,0.3,3,10,0.1,0.05,0.05,0.5,3.0,2.0,6,48,4,0.8,2.0,40.996257828965575,360,1.2135800253715596,66.74178892113356,22.619064255062575,-9894.0,106,0.869534089247267,-8.851952558539578,13.501908628322253
1.0,4,0.8,0.3,3,10,0.1,0.1,0.05,0.5,3.0,2.0,10,48,4,0.8,2.0,38.588515442109994,344,1.216861632430685,62.91958389549266,22.01645258207506,-9896.0,104,0.7771915764929083,-14.648337978582827,16.325783830691012
1.0,4,0.8,0.3,3,10,0.1,0.1,0.05,0.5,3.0,2.0,6,48,4,0.8,2.0,39.595125399413774,344,1.2180354123967836,62.616294646146955,21.22873998189396,-9897.0,103,0.790390346822711,-13.666347271364486,15.36309252783833
1.0,4,0.8,0.2,2,10,0.1,0.05,0.05,0.5,3.0,2.0,10,48,4,0.8,2.0,26.318106740760964,357,1.1410603687438483,40.98936379528624,21.014673205575868,-9897.0,103,0.8065280597595649,-12.805135915250121,18.75075731767514
1.0,4,0.8,0.2,2,10,0.1,0.05,0.05,0.5,3.0,2.0,6,48,4,0.8,2.0,30.096638857007846,362,1.1464839843125285,43.592173549140824,19.925303298571702,-9898.0,102,0.8252257098743172,-11.50707137326542,18.365792824585565
1.0,8,1.2,0.3,2,10,0.1,0.1,0.05,0.5,3.0,2.0,10,48,4,0.8,2.0,20.401620439731854,337,1.1236748205150182,31.097504826462142,19.219361083131993,-9900.0,100,0.7350204637461882,-17.11061330439019,22.70642288561473
1.0,4,0.8,0.2,2,10,0.1,0.1,0.05,0.5,3.0,2.0,6,48,4,0.8,2.0,23.74843954863216,351,1.127982383062785,35.46118872845505,19.78947551222025,-9902.0,98,0.7996810022626059,-12.46509696635798,15.414187970742693
1.0,6,1.2,0.2,2,10,0.1,0.1,0.05,0.5,3.0,2.0,10,48,4,0.8,2.0,21.730968738736223,289,1.1751778448157841,37.97992951356359,19.951509055690412,-9903.0,97,0.6620661893310031,-20.65791241973065,22.631871444756182
1.0,4,1.2,0.3,2,10,0.1,0.1,0.05,0.5,3.0,2.0,10,48,4,0.8,2.0,19.495257981649324,317,1.1565816771007893,41.63665462446489,24.28895170877755,-9905.0,95,0.6441414658825771,-20.970598317162082,24.020289998800585
1.0,6,1.2,0.2,2,10,0.1,0.1,0.05,0.5,3.0,2.0,6,48,4,0.8,2.0,25.728828350970858,288,1.1991076509330867,43.59711060487188,19.95150905569039,-9906.0,94,0.6869705723896234,-18.42401382131217,21.179390401592663
1.0,8,1.2,0.3,3,10,0.1,0.1,0.05,0.5,3.0,2.0,6,48,4,0.8,2.0,22.793028696678938,294,1.1437242068507496,28.85515457331749,14.779740986179496,-9908.0,92,0.7837920403311227,-12.40967271140635,14.765294348962566
1.0,8,1.2,0.3,3,10,0.1,0.1,0.05,0.5,3.0,2.0,10,48,4,0.8,2.0,20.144548103950136,300,1.13793881290893,28.268973760102114,16.46870065269626,-9908.0,92,0.7838119347049041,-12.408254071110491,14.763913861050446
1.0,4,1.2,0.3,2,10,0.1,0.1,0.05,0.5,3.0,2.0,6,48,4,0.8,2.0,19.006197729544805,316,1.153280874005693,41.31417931975878,24.4251583913538,-9910.0,90,0.6967955108064301,-16.897761768224452,20.104621484537123
1.0,4,1.2,0.3,3,10,0.1,0.05,0.05,0.5,3.0,2.0,10,48,4,0.8,2.0,28.55253657563906,298,1.2200338565020443,53.387936324174426,22.913689113901565,-9910.0,90,0.6921361176565335,-17.105063367050167,18.95187796521981
1.0,8,1.2,0.2,2,10,0.1,0.1,0.05,0.5,3.0,2.0,6,48,4,0.8,2.0,20.22744235766764,283,1.1544334763604376,32.127353724876315,17.802008443049342,-9911.0,89,0.7021094701257027,-16.753161681582352,17.643507577729512
1.0,4,1.2,0.3,3,10,0.1,0.1,0.05,0.5,3.0,2.0,10,48,4,0.8,2.0,33.17017891894376,286,1.2521047452901708,60.34215187673031,22.356796675452514,-9914.0,86,0.6318611511134731,-19.780714974633394,21.557151498820094
1.0,4,1.2,0.3,3,10,0.1,0.05,0.05,0.5,3.0,2.0,6,48,4,0.8,2.0,22.613603808289177,298,1.1880402969461352,44.9402627362073,23.03853016502747,-9914.0,86,0.741139849578062,-13.705419387744822,15.95142968635396
1.0,4,1.2,0.3,3,10,0.1,0.1,0.05,0.5,3.0,2.0,6,48,4,0.8,2.0,31.923428554301772,284,1.242317750716951,56.84028264324936,21.622815177749583,-9918.0,82,0.6775575318996327,-16.490091370079043,18.616458685609253
