risk_pct,impulse_bars,impulse_atr,test_tolerance_atr,min_test_gap,max_test_gap,rejection_atr,entry_buffer_atr,stop_buffer_atr,min_range_atr,max_range_atr,target_rr,pending_expiry_bars,max_hold_bars,cooldown_bars,max_spread_price,max_daily_loss_pct,train_score,train_trades,train_pf,train_return_pct,train_dd_pct,validation_score,validation_trades,validation_pf,validation_return_pct,validation_dd_pct
1.0,4,0.8,0.3,2,10,0.1,0.05,0.05,0.5,3.0,1.0,10,48,4,0.8,2.0,22.050350223709277,471,1.0920745104154588,25.7619266486929,19.26805293005215,-9864.0,136,0.6480398036314575,-26.137452034585273,27.665994755128782
1.0,4,0.8,0.3,2,10,0.1,0.05,0.05,0.5,3.0,1.0,6,48,4,0.8,2.0,25.14258504214585,470,1.104993477147123,29.73722161846435,19.268052930052143,-9865.0,135,0.7360581350452063,-19.17721577664223,22.48290158513979
1.0,6,0.8,0.3,2,10,0.1,0.05,0.05,0.5,3.0,1.0,10,48,4,0.8,2.0,21.769779931807612,466,1.0689126206699284,17.450537915119014,14.69079346044201,-9867.0,133,0.6057289872494259,-29.729347779699022,32.242094639105126
1.0,6,0.8,0.3,2,10,0.1,0.05,0.05,0.5,3.0,1.0,6,48,4,0.8,2.0,19.901550414364454,463,1.0616856104984533,15.463553021073917,14.682261686610754,-9867.0,133,0.6405303549063774,-26.861450535732068,29.47674802709026
1.0,4,0.8,0.3,2,10,0.1,0.1,0.05,0.5,3.0,1.0,10,48,4,0.8,2.0,21.303489025048687,453,1.083823177036048,21.518784234100075,16.809828245174412,-9872.0,128,0.6882592622698416,-21.586853282190255,22.8041649084679
1.0,6,0.8,0.3,2,10,0.1,0.1,0.05,0.5,3.0,1.0,6,48,4,0.8,2.0,20.917631220919827,448,1.0679150020285815,16.102477493467603,13.824317795406515,-9873.0,127,0.6635316922943831,-23.9005830304562,26.558156603089817
1.0,4,0.8,0.3,2,10,0.1,0.1,0.05,0.5,3.0,1.0,6,48,4,0.8,2.0,28.340448797064177,455,1.1154274524851422,30.146337186946546,16.809828245174383,-9873.0,127,0.789399509744556,-14.197803731120729,17.17765791327827
1.0,4,0.8,0.3,3,10,0.1,0.05,0.05,0.5,3.0,1.0,10,48,4,0.8,2.0,31.682241582522877,407,1.1636949318735175,39.114596933719525,17.32152011039544,-9880.0,120,0.6749881181108153,-21.5071179478584,24.015315552106237
1.0,4,0.8,0.3,3,10,0.1,0.05,0.05,0.5,3.0,1.0,6,48,4,0.8,2.0,27.482268292193144,406,1.1420090706896304,33.5176453640885,17.321520110395454,-9881.0,119,0.7094605436808035,-19.112528443359867,22.472518673713132
1.0,6,0.8,0.3,2,10,0.1,0.05,0.05,0.5,3.0,2.0,6,48,4,0.8,2.0,21.79262273376891,399,1.1073454834706482,31.027966109168492,20.69993019787538,-9882.0,118,0.7765887814370201,-17.364305316207428,23.06957466455761
1.0,4,0.8,0.3,2,10,0.1,0.05,0.05,0.5,3.0,2.0,10,48,4,0.8,2.0,44.2609387199569,410,1.1833840977897065,66.63599906697793,22.386046756577556,-9883.0,117,0.7194802232696756,-20.30227039943666,22.63167555226542
1.0,4,0.8,0.3,2,10,0.1,0.05,0.05,0.5,3.0,2.0,6,48,4,0.8,2.0,49.94290583088144,409,1.2037378930813913,75.62698759706221,22.110408939316407,-9884.0,116,0.770909675829112,-16.664779332256806,19.154983973530832
1.0,6,0.8,0.3,3,10,0.1,0.05,0.05,0.5,3.0,1.0,10,48,4,0.8,2.0,19.895606098971925,408,1.086616659228698,19.052739334488255,14.738733407320954,-9886.0,114,0.6864451816904307,-19.897374774357147,22.769418397107742
1.0,4,0.8,0.3,2,10,0.1,0.1,0.05,0.5,3.0,2.0,10,48,4,0.8,2.0,37.22427029708195,397,1.167671768848477,57.39415658874461,22.70685187139997,-9889.0,111,0.7146823497066981,-19.684854735141364,22.00420444494311
1.0,4,0.8,0.3,3,10,0.1,0.1,0.05,0.5,3.0,1.0,6,48,4,0.8,2.0,19.773460439433943,389,1.1018782239626737,21.906833842482488,15.718548743645563,-9889.0,111,0.7137738767836224,-17.49628601766784,18.777100963192375
1.0,8,0.8,0.3,3,10,0.1,0.05,0.05,0.5,3.0,2.0,6,48,4,0.8,2.0,20.301197410159308,358,1.0980946490521442,25.39890127582005,17.110945452389497,-9889.0,111,0.795043735310211,-14.585174415162406,17.757834156885473
1.0,4,0.8,0.3,2,10,0.1,0.1,0.05,0.5,3.0,2.0,6,48,4,0.8,2.0,42.13854661026983,397,1.1845237499628145,63.973406712353494,22.201613057570338,-9890.0,110,0.7254591190832386,-18.76081032368998,21.106844690918123
1.0,6,0.8,0.2,2,10,0.1,0.05,0.05,0.5,3.0,2.0,10,48,4,0.8,2.0,22.323841957552432,370,1.1287071738299255,36.093258684840876,21.811704753963067,-9890.0,110,0.6512232280218035,-25.09704582288976,28.893888037602615
