config,trades,profit_factor,return_pct,sum_R,avg_R,max_closed_dd_pct
ADX_M5 >= 15,161,1.27,27.85,26.29,0.163,10.75
ADX_M5 >= 20,124,1.288,23.14,22.17,0.179,11.0
ADX_M5 >= 25,90,1.527,31.79,28.69,0.319,10.83
ADX_M5 >= 30,60,1.519,20.1,19.07,0.318,8.94
ADX_M5 rising (3 bars),76,1.086,4.09,4.76,0.063,8.09
ADX_M5 >= 20 and rising,56,1.068,2.32,2.83,0.051,9.59
DI_M5 agrees with trade,131,1.443,38.14,33.81,0.258,9.82
DI_M5 agrees and ADX >= 20,96,1.449,26.95,24.97,0.26,8.38
ADX_H1 >= 15,166,1.238,25.83,24.74,0.149,10.99
ADX_H1 >= 20,146,1.295,28.76,26.87,0.184,11.22
ADX_H1 >= 25,109,1.434,29.13,26.8,0.246,8.24
ADX_H1 >= 30,82,1.36,17.47,17.01,0.207,9.38
ADX_H1 rising (3 bars),75,1.381,17.3,16.77,0.224,7.66
ADX_H1 >= 20 and rising,67,1.382,15.67,15.3,0.228,6.76
DI_H1 agrees with trade,75,1.568,22.73,21.29,0.284,7.69
DI_H1 agrees and ADX >= 20,63,1.513,17.68,16.95,0.269,6.77
ADX_D1 >= 15,157,1.388,39.54,35.06,0.223,9.98
ADX_D1 >= 20,135,1.342,29.12,27.05,0.2,9.98
ADX_D1 >= 25,110,1.253,18.09,17.86,0.162,9.98
ADX_D1 >= 30,73,1.007,0.35,1.11,0.015,9.42
ADX_D1 rising (3 bars),90,1.351,20.23,19.47,0.216,9.12
ADX_D1 >= 20 and rising,78,1.408,20.02,19.17,0.246,9.12
DI_D1 agrees with trade,80,1.256,11.92,12.11,0.151,11.01
DI_D1 agrees and ADX >= 20,64,1.38,13.53,13.39,0.209,7.29
ADX_H1 <= 25 (inverse check),60,1.035,1.33,1.91,0.032,11.47
ADX_D1 <= 25 (inverse check),59,1.317,10.8,10.85,0.184,11.73
