status,research_status,instrument,symbol,timeframe,pivot,impulse_atr,min_gap_atr,rejection_mode,expiry_bars,stop_mode,stop_buffer_atr,rr,hold_hours,management,full_trades,full_win_rate_pct,full_pf,full_return_pct,full_max_dd_pct,full_cagr_pct,confirm_trades,confirm_win_rate_pct,confirm_pf,confirm_return_pct,confirm_max_dd_pct
REJECT,FAILED_CONFIRMATION,XAU,XAUUSD..,M5,5,2.0,0.2,0,48,0,0.1,2.5,6,0,36,33.333333333333336,1.1937111197581154,4.426299759602514,6.199229223122663,0.9472655342627201,5,40.0,1.6478740156768998,1.900266637695447,3.733155445481563
REJECT,FAILED_CONFIRMATION,XAG,XAGUSD..,M5,3,2.0,0.05,1,24,0,0.25,3.0,24,0,42,16.666666666666668,0.4714211179336025,-18.52860205655701,23.517440096944394,-4.355036553931169,6,33.333333333333336,1.4437670470944983,1.7330963474427419,3.6212931564735604
REJECT,FAILED_CONFIRMATION,US30,US30,M5,5,4.0,0.2,1,48,0,0.25,1.5,6,0,44,45.45454545454545,1.1491976689639827,3.3847776427801124,7.584230054563415,0.7272377296842159,4,25.0,0.48845930290277506,-1.5665381576054238,3.044942964374624
REJECT,FAILED_CONFIRMATION,US100,UT100,M5,3,2.0,0.1,0,48,0,0.1,2.5,72,0,34,29.41176470588235,0.9857912966009267,-0.781761332563069,8.400660960553473,-0.17069727269952706,2,0.0,0.0,-2.105572197582406,2.105572197582405
REJECT,POSITIVE_CONFIRMATION,BTC,BTCUSD,M5,5,4.0,0.1,0,48,1,0.1,3.0,6,0,62,30.64516129032258,1.1827411564361434,7.495341138156775,11.822233071020987,1.5838418396077136,13,38.46153846153846,1.5321304124467008,4.399317762746668,3.8951693050449645
REJECT,FAILED_CONFIRMATION,ETH,ETHUSD,M5,3,2.0,0.05,1,48,0,0.1,2.0,24,0,23,17.391304347826086,0.2857896441046282,-13.585058128668681,15.696682998734612,-3.1228052092448166,1,100.0,999.0,1.8801855245744736,1.187284882181623
