timeframe_minutes,pivot_bars,minimum_impulse_atr,minimum_gap_atr,rejection_mode,expiry_bars,stop_mode,stop_buffer_atr,reward_risk,maximum_hold_hours,management,train_trades,train_wins,train_losses,train_win_rate_pct,train_profit_factor,train_net_r,train_mean_r,train_return_pct,train_max_drawdown_pct,train_final_balance,validation_trades,validation_wins,validation_losses,validation_win_rate_pct,validation_profit_factor,validation_net_r,validation_mean_r,validation_return_pct,validation_max_drawdown_pct,validation_final_balance,robust_score
5,5,4.0,0.1,0,48,1,0.1,3.0,6,0,33,9,24,27.272727272727273,1.069069445538997,1.709172191839353,0.05179309672240463,1.2018585399409476,11.822233071020987,10120.185853994095,16,5,11,31.25,1.1690819439151847,1.9779618025296744,0.12362261265810465,1.742755021079323,9.083969302162961,10174.275502107932,6.89143591346282
5,5,4.0,0.05,0,48,1,0.1,3.0,6,0,33,9,24,27.272727272727273,1.069069445538997,1.709172191839353,0.05179309672240463,1.2018585399409476,11.822233071020987,10120.185853994095,16,5,11,31.25,1.1690819439151847,1.9779618025296744,0.12362261265810465,1.742755021079323,9.083969302162961,10174.275502107932,6.89143591346282
5,5,4.0,0.1,0,24,1,0.1,3.0,24,1,28,7,21,25.0,1.2380200352382011,3.960178834569262,0.14143495837747364,3.640319290483429,8.86800234516853,10364.031929048344,11,2,9,18.181818181818183,1.0693943848216203,0.38121727835656016,0.03465611621423274,0.26882305795790096,5.2093714517584,10026.88230579579,5.320810915335203
5,5,4.0,0.05,0,24,1,0.1,3.0,24,1,28,7,21,25.0,1.2380200352382011,3.960178834569262,0.14143495837747364,3.640319290483429,8.86800234516853,10364.031929048344,11,2,9,18.181818181818183,1.0693943848216203,0.38121727835656016,0.03465611621423274,0.26882305795790096,5.2093714517584,10026.88230579579,5.320810915335203
5,5,4.0,0.05,0,24,1,0.1,3.0,6,1,28,7,21,25.0,1.2380200352382011,3.960178834569262,0.14143495837747364,3.640319290483429,8.86800234516853,10364.031929048344,11,2,9,18.181818181818183,1.0693943848216203,0.38121727835656016,0.03465611621423274,0.26882305795790096,5.2093714517584,10026.88230579579,5.320810915335203
5,5,4.0,0.1,0,24,1,0.1,3.0,72,1,28,7,21,25.0,1.2380200352382011,3.960178834569262,0.14143495837747364,3.640319290483429,8.86800234516853,10364.031929048344,11,2,9,18.181818181818183,1.0693943848216203,0.38121727835656016,0.03465611621423274,0.26882305795790096,5.2093714517584,10026.88230579579,5.320810915335203
5,5,4.0,0.05,0,24,1,0.1,3.0,72,1,28,7,21,25.0,1.2380200352382011,3.960178834569262,0.14143495837747364,3.640319290483429,8.86800234516853,10364.031929048344,11,2,9,18.181818181818183,1.0693943848216203,0.38121727835656016,0.03465611621423274,0.26882305795790096,5.2093714517584,10026.88230579579,5.320810915335203
5,5,4.0,0.1,0,24,1,0.1,3.0,6,1,28,7,21,25.0,1.2380200352382011,3.960178834569262,0.14143495837747364,3.640319290483429,8.86800234516853,10364.031929048344,11,2,9,18.181818181818183,1.0693943848216203,0.38121727835656016,0.03465611621423274,0.26882305795790096,5.2093714517584,10026.88230579579,5.320810915335203
5,5,4.0,0.1,0,24,1,0.0,3.0,24,0,25,7,18,28.0,1.0613513864403155,1.1892219579014085,0.04756887831605634,0.7905887010351886,11.209294515146208,10079.05887010352,11,3,8,27.272727272727273,1.0367827489634,0.3156159743819116,0.02869236130744651,0.13997355626653718,9.187976386193336,10013.997355626654,4.518734622741479
5,5,4.0,0.1,0,24,1,0.0,3.0,72,0,25,7,18,28.0,1.0613513864403155,1.1892219579014085,0.04756887831605634,0.7905887010351886,11.209294515146208,10079.05887010352,11,3,8,27.272727272727273,1.0367827489634,0.3156159743819116,0.02869236130744651,0.13997355626653718,9.187976386193336,10013.997355626654,4.518734622741479
