timeframe_minutes,pivot_bars,minimum_impulse_atr,minimum_gap_atr,rejection_mode,expiry_bars,stop_mode,stop_buffer_atr,reward_risk,maximum_hold_hours,management,train_trades,train_wins,train_losses,train_win_rate_pct,train_profit_factor,train_net_r,train_mean_r,train_return_pct,train_max_drawdown_pct,train_final_balance,validation_trades,validation_wins,validation_losses,validation_win_rate_pct,validation_profit_factor,validation_net_r,validation_mean_r,validation_return_pct,validation_max_drawdown_pct,validation_final_balance,robust_score
5,5,2.0,0.2,0,48,0,0.1,2.5,6,0,25,8,17,32.0,1.1084040424139419,1.9328166079508549,0.0773126643180342,1.611298806713224,6.199229223122663,10161.129880671322,6,2,4,33.333333333333336,1.2302461233047284,0.9318215366327698,0.15530358943879496,0.8538697020013641,2.6630565124711794,10085.386970200136,9.770711778149478
5,5,2.0,0.2,0,48,0,0.1,2.5,24,0,25,8,17,32.0,1.1084040424139419,1.9328166079508549,0.0773126643180342,1.611298806713224,6.199229223122663,10161.129880671322,6,2,4,33.333333333333336,1.2302461233047284,0.9318215366327698,0.15530358943879496,0.8538697020013641,2.6630565124711794,10085.386970200136,9.770711778149478
5,5,3.0,0.2,0,48,0,0.1,2.5,72,0,25,8,17,32.0,1.1084040424139419,1.9328166079508549,0.0773126643180342,1.611298806713224,6.199229223122663,10161.129880671322,6,2,4,33.333333333333336,1.2302461233047284,0.9318215366327698,0.15530358943879496,0.8538697020013641,2.6630565124711794,10085.386970200136,9.770711778149478
5,5,2.0,0.2,0,48,0,0.1,2.5,72,0,25,8,17,32.0,1.1084040424139419,1.9328166079508549,0.0773126643180342,1.611298806713224,6.199229223122663,10161.129880671322,6,2,4,33.333333333333336,1.2302461233047284,0.9318215366327698,0.15530358943879496,0.8538697020013641,2.6630565124711794,10085.386970200136,9.770711778149478
5,5,3.0,0.2,0,48,0,0.1,2.5,24,0,25,8,17,32.0,1.1084040424139419,1.9328166079508549,0.0773126643180342,1.611298806713224,6.199229223122663,10161.129880671322,6,2,4,33.333333333333336,1.2302461233047284,0.9318215366327698,0.15530358943879496,0.8538697020013641,2.6630565124711794,10085.386970200136,9.770711778149478
5,5,3.0,0.2,0,48,0,0.1,2.5,6,0,25,8,17,32.0,1.1084040424139419,1.9328166079508549,0.0773126643180342,1.611298806713224,6.199229223122663,10161.129880671322,6,2,4,33.333333333333336,1.2302461233047284,0.9318215366327698,0.15530358943879496,0.8538697020013641,2.6630565124711794,10085.386970200136,9.770711778149478
5,5,2.0,0.2,0,48,0,0.25,2.0,6,0,25,9,16,36.0,1.062446833506895,1.0435033509567488,0.041740134038269955,0.7858275972240314,6.094206701943747,10078.582759722403,6,2,4,33.333333333333336,0.9848022280315443,-0.06145204186866482,-0.010242006978110804,-0.12107819206408355,2.588014648814142,9987.892180793591,0.7743423710409146
5,5,3.0,0.2,0,48,0,0.25,2.0,6,0,25,9,16,36.0,1.062446833506895,1.0435033509567488,0.041740134038269955,0.7858275972240314,6.094206701943747,10078.582759722403,6,2,4,33.333333333333336,0.9848022280315443,-0.06145204186866482,-0.010242006978110804,-0.12107819206408355,2.588014648814142,9987.892180793591,0.7743423710409146
5,5,2.0,0.2,0,48,0,0.25,2.0,24,0,25,9,16,36.0,1.062446833506895,1.0435033509567488,0.041740134038269955,0.7858275972240314,6.094206701943747,10078.582759722403,6,2,4,33.333333333333336,0.9848022280315443,-0.06145204186866482,-0.010242006978110804,-0.12107819206408355,2.588014648814142,9987.892180793591,0.7743423710409146
5,5,2.0,0.2,0,48,0,0.25,2.0,72,0,25,9,16,36.0,1.062446833506895,1.0435033509567488,0.041740134038269955,0.7858275972240314,6.094206701943747,10078.582759722403,6,2,4,33.333333333333336,0.9848022280315443,-0.06145204186866482,-0.010242006978110804,-0.12107819206408355,2.588014648814142,9987.892180793591,0.7743423710409146
