timeframe_minutes,pivot_bars,minimum_impulse_atr,minimum_gap_atr,rejection_mode,expiry_bars,stop_mode,stop_buffer_atr,reward_risk,maximum_hold_hours,management,train_trades,train_wins,train_losses,train_win_rate_pct,train_profit_factor,train_net_r,train_mean_r,train_return_pct,train_max_drawdown_pct,train_final_balance,validation_trades,validation_wins,validation_losses,validation_win_rate_pct,validation_profit_factor,validation_net_r,validation_mean_r,validation_return_pct,validation_max_drawdown_pct,validation_final_balance,robust_score
5,3,2.0,0.1,0,48,0,0.1,2.5,72,0,25,8,17,32.0,1.1133340813141583,2.0045168392201402,0.08018067356880561,1.687437111631418,5.541588538618282,10168.74371116314,7,2,5,28.571428571428573,0.9531925277372376,-0.24285249610405968,-0.034693213729151386,-0.3295912811881907,3.7371017623748046,9967.040871881181,-1.6874874755897769
5,3,2.0,0.1,0,48,0,0.1,2.5,24,0,25,8,17,32.0,1.1133340813141583,2.0045168392201402,0.08018067356880561,1.687437111631418,5.541588538618282,10168.74371116314,7,2,5,28.571428571428573,0.9531925277372376,-0.24285249610405968,-0.034693213729151386,-0.3295912811881907,3.7371017623748046,9967.040871881181,-1.6874874755897769
5,3,2.0,0.1,0,48,0,0.1,3.0,72,1,25,6,19,24.0,1.2895595212886937,4.004516839220409,0.16018067356881638,3.740964888235254,5.245615092129357,10374.096488823525,7,1,6,14.285714285714286,0.9247168064520966,-0.24285249610398596,-0.03469321372914085,-0.30268831266170304,3.855587128948191,9969.73116873383,-1.7266805113696697
5,3,2.0,0.1,0,48,0,0.1,3.0,24,1,25,6,19,24.0,1.2895595212886937,4.004516839220409,0.16018067356881638,3.740964888235254,5.245615092129357,10374.096488823525,7,1,6,14.285714285714286,0.9247168064520966,-0.24285249610398596,-0.03469321372914085,-0.30268831266170304,3.855587128948191,9969.73116873383,-1.7266805113696697
5,3,2.0,0.1,0,48,0,0.1,3.0,6,1,25,6,19,24.0,1.084923785206588,1.1744691605946433,0.046978766423785734,0.8903355835048643,5.862732966834596,10089.033558350488,7,1,6,14.285714285714286,0.9247168064520966,-0.24285249610398596,-0.03469321372914085,-0.30268831266170304,3.855587128948191,9969.73116873383,-1.7637075838519842
5,3,2.0,0.1,0,48,0,0.0,2.5,24,0,25,8,17,32.0,1.1077866764998572,1.914005182899656,0.07656020731598624,1.5951547596175564,5.623400078682325,10159.515475961756,7,2,5,28.571428571428573,0.9466049805052271,-0.27867835194441204,-0.039811193134916004,-0.36551221650277244,3.8245704342539946,9963.448778349722,-2.217369203034102
5,3,2.0,0.1,0,48,0,0.0,2.5,72,0,25,8,17,32.0,1.1077866764998572,1.914005182899656,0.07656020731598624,1.5951547596175564,5.623400078682325,10159.515475961756,7,2,5,28.571428571428573,0.9466049805052271,-0.27867835194441204,-0.039811193134916004,-0.36551221650277244,3.8245704342539946,9963.448778349722,-2.217369203034102
5,3,2.0,0.1,0,48,0,0.0,3.0,24,1,25,6,19,24.0,1.1954836755252654,2.9140051828996194,0.11656020731598478,2.610094292469456,6.086259743739108,10261.009429246946,7,1,6,14.285714285714286,0.9145407874363218,-0.2786783519444116,-0.03981119313491594,-0.3386893764947718,3.981846991939053,9966.131062350523,-2.3092691690753133
5,3,2.0,0.1,0,48,0,0.0,3.0,72,1,25,6,19,24.0,1.1954836755252654,2.9140051828996194,0.11656020731598478,2.610094292469456,6.086259743739108,10261.009429246946,7,1,6,14.285714285714286,0.9145407874363218,-0.2786783519444116,-0.03981119313491594,-0.3386893764947718,3.981846991939053,9966.131062350523,-2.3092691690753133
5,3,2.0,0.1,0,48,0,0.0,3.0,6,1,25,6,19,24.0,1.005837480409368,0.08701723109239579,0.0034806892436958312,-0.2064161475684667,6.708823335475585,9979.358385243153,7,1,6,14.285714285714286,0.9145407874363218,-0.2786783519444116,-0.03981119313491594,-0.3386893764947718,3.981846991939053,9966.131062350523,-2.346622984579502
