case_id,stage,asset,symbol,period,direction,geometry,entry_offset,stop_distance,trail_distance,management,buy,sell,dynamic,close_seconds,risk_per_enabled_side_pct,total_planned_event_risk_pct,from,to,execution_mode,report,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,win_rate_pct,wins,losses,trades,max_drawdown_amount,max_drawdown_pct,sharpe_ratio,recovery_factor,history_quality_pct,bars,selection_score
xauusd__two-sided__hard1p5__native60,Stress,xauusd,XAUUSD,M1,two-sided,optimized,6.0,6.0,15.0,native60,True,True,False,60,0.75,1.5,2025.09.01,2026.09.01,-1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Hard 1.5 Stress\xauusd__two-sided__hard1p5__native60.htm,10000.0,15752.529999999999,5752.53,57.5253,6435.02,-682.49,9.43,60.61,20,13,33,343.9,2.26,264.96,16.73,99.0,353486,68.23574688088604
xagusd__two-sided__hard1p5__native60,Stress,xagusd,XAGUSD,M1,two-sided,optimized,0.08,0.08,0.2,native60,True,True,False,60,0.75,1.5,2025.09.01,2026.09.01,-1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Hard 1.5 Stress\xagusd__two-sided__hard1p5__native60.htm,10000.0,31693.35,21693.35,216.93349999999998,23789.95,-2096.6,11.35,62.16,23,14,37,1378.13,4.32,306.34,15.74,99.0,352540,226.18952025389285
eurusd__two-sided__hard1p5__native60,Stress,eurusd,EURUSD,M1,two-sided,optimized,0.0006,0.0006,0.0015,native60,True,True,False,60,0.75,1.5,2025.09.01,2026.09.01,-1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Hard 1.5 Stress\eurusd__two-sided__hard1p5__native60.htm,10000.0,15070.58,5070.58,50.7058,5839.77,-769.19,7.59,67.65,23,11,34,348.18,2.74,305.89,14.56,100.0,372135,61.08382829714983
