case_id,stage,asset,symbol,period,direction,geometry,entry_offset,stop_distance,trail_distance,management,buy,sell,dynamic,close_seconds,risk_per_enabled_side_pct,from,to,execution_mode,report,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,win_rate_pct,wins,losses,trades,max_drawdown_amount,max_drawdown_pct,sharpe_ratio,recovery_factor,history_quality_pct,bars,selection_score
xauusd__two-sided__base__native60,Full,xauusd,XAUUSD,M1,two-sided,base,6,6,15,native60,True,True,False,60,1,2025.09.01,2026.09.01,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Full\xauusd__two-sided__base__native60.htm,10000.0,17902.08,7902.08,79.02080000000001,8887.97,-985.89,9.02,63.64,21,12,33,403.66,2.39,391.16,19.58,99.0,353486,89.62724688088605
xagusd__two-sided__tight__native60,Full,xagusd,XAGUSD,M1,two-sided,tight,0.08,0.08,0.2,native60,True,True,False,60,1,2025.09.01,2026.09.01,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Full\xagusd__two-sided__tight__native60.htm,10000.0,46610.29,36610.29,366.10290000000003,39475.15,-2864.86,13.78,62.16,23,14,37,1347.28,3.3,434.7,27.17,99.0,352540,376.1749202538929
ustec__buy-only__tight__native60,Full,ustec,USTEC,M1,buy-only,tight,30,30,75,native60,True,False,False,60,1,2025.09.01,2026.09.01,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Full\ustec__buy-only__tight__native60.htm,10000.0,12566.95,2566.95,25.6695,3302.54,-735.59,4.49,63.64,14,8,22,482.47,4.27,250.87,5.32,100.0,353892,33.989485672887795
eurusd__two-sided__tight__native60,Full,eurusd,EURUSD,M1,two-sided,tight,0.0006,0.0006,0.0015,native60,True,True,False,60,1,2025.09.01,2026.09.01,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Full\eurusd__two-sided__tight__native60.htm,10000.0,17182.64,7182.64,71.8264,8252.57,-1069.93,7.71,67.65,23,11,34,519.72,3.77,455.99,13.82,100.0,372135,81.38042829714982
btcusd__buy-only__tight__native60,Full,btcusd,BTCUSD,M1,buy-only,tight,150,150,375,native60,True,False,False,60,1,2025.09.01,2026.09.01,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Full\btcusd__buy-only__tight__native60.htm,10000.0,10664.89,664.89,6.648899999999999,1856.7,-1191.81,1.56,45.83,11,13,24,945.59,8.44,90.83,0.7,100.0,525440,0.2944170953613696
