case_id,stage,asset,symbol,period,direction,geometry,entry_offset,stop_distance,trail_distance,management,buy,sell,dynamic,close_seconds,risk_per_enabled_side_pct,from,to,execution_mode,report,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,win_rate_pct,wins,losses,trades,max_drawdown_amount,max_drawdown_pct,sharpe_ratio,recovery_factor,history_quality_pct,bars,selection_score
xauusd__two-sided__base__native60,Management,xauusd,XAUUSD,M1,two-sided,base,6,6,15,native60,True,True,False,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Management\xauusd__two-sided__base__native60.htm,10000.0,12451.34,2451.34,24.5134,3092.85,-641.51,4.82,56.52,13,10,23,259.61,2.04,204.83,9.44,99.0,262913,34.71111171885851
xauusd__two-sided__base__dynamic60,Management,xauusd,XAUUSD,M1,two-sided,base,6,6,15,dynamic60,True,True,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Management\xauusd__two-sided__base__dynamic60.htm,10000.0,12451.34,2451.34,24.5134,3092.85,-641.51,4.82,56.52,13,10,23,259.61,2.04,204.83,9.44,99.0,262913,34.71111171885851
xauusd__two-sided__base__dynamic90,Management,xauusd,XAUUSD,M1,two-sided,base,6,6,15,dynamic90,True,True,True,90,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Management\xauusd__two-sided__base__dynamic90.htm,10000.0,12059.83,2059.83,20.5983,2859.73,-799.9,3.58,56.52,13,10,23,528.87,4.22,136.27,3.89,99.0,262913,29.052011718858502
xagusd__two-sided__tight__native60,Management,xagusd,XAGUSD,M1,two-sided,tight,0.08,0.08,0.2,native60,True,True,False,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Management\xagusd__two-sided__tight__native60.htm,10000.0,23051.05,13051.05,130.5105,14874.3,-1823.25,8.16,55.56,15,12,27,900.01,3.85,290.12,14.5,99.0,262083,139.58149820540248
xagusd__two-sided__tight__dynamic60,Management,xagusd,XAGUSD,M1,two-sided,tight,0.08,0.08,0.2,dynamic60,True,True,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Management\xagusd__two-sided__tight__dynamic60.htm,10000.0,23051.05,13051.05,130.5105,14874.3,-1823.25,8.16,55.56,15,12,27,900.01,3.85,290.12,14.5,99.0,262083,139.58149820540248
xagusd__two-sided__tight__dynamic90,Management,xagusd,XAGUSD,M1,two-sided,tight,0.08,0.08,0.2,dynamic90,True,True,True,90,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Management\xagusd__two-sided__tight__dynamic90.htm,10000.0,22534.260000000002,12534.26,125.34259999999999,14575.05,-2040.79,7.14,55.56,15,12,27,1166.48,4.97,235.59,10.75,99.0,262083,133.5175982054025
ustec__buy-only__tight__native60,Management,ustec,USTEC,M1,buy-only,tight,30,30,75,native60,True,False,False,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Management\ustec__buy-only__tight__native60.htm,10000.0,10915.93,915.93,9.1593,1394.94,-479.01,2.91,60.0,9,6,15,370.25,3.28,60.09,2.47,100.0,263232,16.651322205056783
ustec__buy-only__tight__dynamic60,Management,ustec,USTEC,M1,buy-only,tight,30,30,75,dynamic60,True,False,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Management\ustec__buy-only__tight__dynamic60.htm,10000.0,10915.93,915.93,9.1593,1394.94,-479.01,2.91,60.0,9,6,15,370.25,3.28,60.09,2.47,100.0,263232,16.651322205056783
ustec__buy-only__tight__dynamic90,Management,ustec,USTEC,M1,buy-only,tight,30,30,75,dynamic90,True,False,True,90,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Management\ustec__buy-only__tight__dynamic90.htm,10000.0,10917.45,917.45,9.1745,1488.04,-570.59,2.61,53.33,8,7,15,445.21,3.93,83.74,2.06,100.0,263232,13.746522205056777
eurusd__two-sided__tight__native60,Management,eurusd,EURUSD,M1,two-sided,tight,0.0006,0.0006,0.0015,native60,True,True,False,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Management\eurusd__two-sided__tight__native60.htm,10000.0,13249.04,3249.04,32.490399999999994,3868.91,-619.87,6.24,66.67,16,8,24,519.72,3.77,286.55,6.25,100.0,277128,41.391917095361364
eurusd__two-sided__tight__dynamic60,Management,eurusd,EURUSD,M1,two-sided,tight,0.0006,0.0006,0.0015,dynamic60,True,True,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Management\eurusd__two-sided__tight__dynamic60.htm,10000.0,13249.04,3249.04,32.490399999999994,3868.91,-619.87,6.24,66.67,16,8,24,519.72,3.77,286.55,6.25,100.0,277128,41.391917095361364
eurusd__two-sided__tight__dynamic90,Management,eurusd,EURUSD,M1,two-sided,tight,0.0006,0.0006,0.0015,dynamic90,True,True,True,90,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Management\eurusd__two-sided__tight__dynamic90.htm,10000.0,12642.33,2642.33,26.4233,3588.57,-946.24,3.79,58.33,14,10,24,649.43,4.89,181.54,4.07,100.0,277128,34.42881709536137
btcusd__buy-only__tight__native60,Management,btcusd,BTCUSD,M1,buy-only,tight,150,150,375,native60,True,False,False,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Management\btcusd__buy-only__tight__native60.htm,10000.0,10368.14,368.14,3.6814,1327.49,-959.35,1.38,38.89,7,11,18,836.44,7.47,35.62,0.44,100.0,391567,-3.968645207910318
btcusd__buy-only__tight__dynamic60,Management,btcusd,BTCUSD,M1,buy-only,tight,150,150,375,dynamic60,True,False,True,60,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Management\btcusd__buy-only__tight__dynamic60.htm,10000.0,10368.14,368.14,3.6814,1327.49,-959.35,1.38,38.89,7,11,18,836.44,7.47,35.62,0.44,100.0,391567,-3.968645207910318
btcusd__buy-only__tight__dynamic90,Management,btcusd,BTCUSD,M1,buy-only,tight,150,150,375,dynamic90,True,False,True,90,1,2025.09.01,2026.05.31,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Management\btcusd__buy-only__tight__dynamic90.htm,10000.0,10216.93,216.93,2.1693000000000002,1228.69,-1011.76,1.21,38.89,7,11,18,759.06,6.92,24.28,0.29,100.0,391567,-6.400745207910317
