case_id,stage,asset,symbol,period,direction,geometry,entry_offset,stop_distance,trail_distance,management,buy,sell,dynamic,close_seconds,risk_per_enabled_side_pct,total_planned_event_risk_pct,from,to,execution_mode,report,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,win_rate_pct,wins,losses,trades,max_drawdown_amount,max_drawdown_pct,sharpe_ratio,recovery_factor,history_quality_pct,bars,selection_score
xauusd__two-sided__hard1p5__native60,Full,xauusd,XAUUSD,M1,two-sided,optimized,6.0,6.0,15.0,native60,True,True,False,60,0.75,1.5,2025.09.01,2026.09.01,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Hard 1.5 Full\xauusd__two-sided__hard1p5__native60.htm,10000.0,15504.369999999999,5504.37,55.043699999999994,6192.44,-688.07,9.0,63.64,21,12,33,266.02,1.79,389.89,20.69,99.0,353486,66.13014688088604
xagusd__two-sided__hard1p5__native60,Full,xagusd,XAGUSD,M1,two-sided,optimized,0.08,0.08,0.2,native60,True,True,False,60,0.75,1.5,2025.09.01,2026.09.01,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Hard 1.5 Full\xagusd__two-sided__hard1p5__native60.htm,10000.0,32104.16,22104.16,221.0416,23877.8,-1773.64,13.46,62.16,23,14,37,734.23,2.52,431.23,30.11,99.0,352540,231.73762025389286
eurusd__two-sided__hard1p5__native60,Full,eurusd,EURUSD,M1,two-sided,optimized,0.0006,0.0006,0.0015,native60,True,True,False,60,0.75,1.5,2025.09.01,2026.09.01,1,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\News Pulse Direction Research 2026-09-05\Backtest Reports\Hard 1.5 Full\eurusd__two-sided__hard1p5__native60.htm,10000.0,15046.21,5046.21,50.4621,5787.26,-741.05,7.81,67.65,23,11,34,362.28,2.85,455.24,13.93,100.0,372135,60.75212829714982
