utc_day;balance_at_observation;min_equity;max_equity
2025.09.19;10000.00;10000.00;10000.00
2025.09.21;10000.00;10000.00;10000.00
2025.09.22;10000.00;10000.00;10000.00
2025.09.23;10000.00;10000.00;10000.00
2025.09.24;10000.00;10000.00;10000.00
2025.09.25;10000.00;10000.00;10000.00
2025.09.26;10000.00;10000.00;10000.00
2025.09.28;10000.00;10000.00;10000.00
2025.09.29;10000.00;10000.00;10000.00
2025.09.30;10000.00;10000.00;10000.00
2025.10.01;10000.00;10000.00;10000.00
2025.10.02;10000.00;10000.00;10000.00
2025.10.03;10000.00;10000.00;10000.00
2025.10.05;10000.00;10000.00;10000.00
2025.10.06;10000.00;10000.00;10000.00
2025.10.07;10000.00;10000.00;10000.00
2025.10.08;10000.00;10000.00;10000.00
2025.10.09;10000.00;10000.00;10000.00
2025.10.10;10000.00;10000.00;10000.00
2025.10.12;10000.00;10000.00;10000.00
2025.10.13;10000.00;10000.00;10000.00
2025.10.14;10000.00;10000.00;10000.00
2025.10.15;10000.00;10000.00;10000.00
2025.10.16;10000.00;10000.00;10000.00
2025.10.17;9896.87;9896.87;10021.87
2025.10.19;9896.87;9896.87;9896.87
2025.10.20;9896.87;9896.87;9896.87
2025.10.21;9896.87;9896.87;9896.87
2025.10.22;9896.87;9896.87;9896.87
2025.10.23;9896.87;9896.87;9896.87
2025.10.24;9896.87;9896.87;9896.87
2025.10.26;9896.87;9896.87;9896.87
2025.10.27;9896.87;9896.87;9896.87
2025.10.28;9896.87;9896.87;9896.87
2025.10.29;9896.87;9896.87;9896.87
2025.10.30;9896.87;9896.87;9896.87
2025.10.31;9896.87;9896.87;9896.87
2025.11.02;9896.87;9896.87;9896.87
2025.11.03;9896.87;9896.87;9896.87
2025.11.04;9896.87;9896.87;9896.87
2025.11.05;9896.87;9896.87;9896.87
2025.11.06;9896.87;9896.87;9896.87
2025.11.07;9896.87;9896.87;9896.87
2025.11.09;9896.87;9896.87;9896.87
2025.11.10;9896.87;9896.87;9896.87
2025.11.11;9896.87;9896.87;9896.87
2025.11.12;9896.87;9896.87;9896.87
2025.11.13;9896.87;9896.87;9896.87
2025.11.14;9896.87;9896.87;9896.87
2025.11.16;9896.87;9896.87;9896.87
2025.11.17;9795.45;9795.45;9926.65
2025.11.18;9795.45;9795.45;9795.45
2025.11.19;9795.45;9795.45;9795.45
2025.11.20;9795.45;9795.45;9795.45
2025.11.21;9795.45;9795.45;9795.45
2025.11.23;9795.45;9795.45;9795.45
2025.11.24;9693.48;9693.48;9795.45
2025.11.25;9693.48;9693.48;9693.48
2025.11.26;9693.48;9693.48;9693.48
2025.11.27;9693.48;9693.48;9693.48
2025.11.28;9693.48;9693.48;9693.48
2025.11.30;9693.48;9693.48;9693.48
2025.12.01;9693.48;9693.48;9693.48
2025.12.02;9693.48;9693.48;9693.48
2025.12.03;9693.48;9693.48;9693.48
2025.12.04;9693.48;9693.48;9693.48
2025.12.05;9693.48;9693.48;9693.48
2025.12.07;9693.48;9693.48;9693.48
2025.12.08;9693.48;9693.48;9693.48
2025.12.09;9693.48;9693.48;9693.48
2025.12.10;9693.48;9693.48;9693.48
2025.12.11;9693.48;9693.48;9693.48
2025.12.12;9693.48;9693.48;9693.48
2025.12.14;9693.48;9693.48;9693.48
2025.12.15;9693.48;9693.48;9693.48
2025.12.16;9693.48;9693.48;9693.48
2025.12.17;9693.48;9693.48;9693.48
2025.12.18;9693.48;9693.48;9693.48
2025.12.19;9693.48;9693.48;9693.48
2025.12.21;9693.48;9693.48;9693.48
2025.12.22;9693.48;9693.48;9693.48
2025.12.23;9693.48;9693.48;9693.48
2025.12.24;9693.48;9693.48;9693.48
2025.12.25;9693.48;9693.48;9693.48
2025.12.26;9693.48;9693.48;9693.48
2025.12.28;9693.48;9693.48;9693.48
2025.12.29;9693.48;9693.48;9693.48
2025.12.30;9693.48;9693.48;9693.48
2025.12.31;9693.48;9693.48;9693.48
2026.01.01;9693.48;9693.48;9693.48
2026.01.02;9693.48;9693.48;9693.48
2026.01.04;9693.48;9693.48;9693.48
2026.01.05;9788.96;9679.46;9788.96
2026.01.06;9788.96;9788.96;9788.96
2026.01.07;9788.96;9788.96;9788.96
2026.01.08;9788.96;9788.96;9788.96
2026.01.09;9788.96;9788.96;9788.96
2026.01.11;9788.96;9788.96;9788.96
2026.01.12;9788.96;9788.96;9788.96
2026.01.13;9788.96;9788.96;9788.96
2026.01.14;9885.75;9691.22;9885.75
2026.01.15;9885.75;9885.75;9885.75
2026.01.16;9881.87;9831.65;9981.07
2026.01.18;9881.87;9881.87;9881.87
2026.01.19;9881.87;9881.87;9881.87
2026.01.20;9881.87;9881.87;9881.87
2026.01.21;9881.87;9881.87;9881.87
2026.01.22;9881.87;9881.87;9881.87
2026.01.23;9881.87;9881.87;9881.87
2026.01.25;9881.87;9881.87;9881.87
2026.01.26;9881.87;9881.87;9881.87
2026.01.27;9881.87;9881.87;9881.87
2026.01.28;9881.87;9881.87;9881.87
2026.01.29;9760.40;9760.40;9901.79
2026.01.30;9854.03;9735.52;9854.03
2026.02.01;9854.03;9854.03;9854.03
2026.02.02;9854.03;9854.03;9854.03
2026.02.03;9947.39;9815.06;9947.39
