symbol,paths,block_size,trades,profit_probability_pct,ending_p5_pct,ending_median_pct,ending_p95_pct,dd_median_pct,dd_p95_pct
XAUUSD,10000,5,97,91.18,-3.5659834585406207,18.640200638998515,46.27815981446324,8.454352119668028,15.655004333899578
XAGUSD,10000,5,79,66.12,-15.61728485839099,6.302578681684223,37.79762812456604,11.769869114161597,21.590080930194755
BTCUSD,10000,5,35,91.28,-2.620992737630798,13.82460100049573,33.68529455886001,4.864742879997907,10.16046807721517
US30,10000,5,21,66.35,-4.687672917617058,1.7438014816323233,9.39643654500164,4.7154535654250225,7.934708811603254
USTEC,10000,5,33,73.74000000000001,-6.896068647815834,4.417560456870628,17.903135141609972,6.008599488140234,10.846735906946728
GBPJPY,10000,5,15,44.07,-8.331618368864092,-0.8333000000000146,7.038208994986239,4.69383891904166,9.667058976488134
