symbol,paths,profitable_probability,return_p5,return_median,return_p95,dd_median,dd_p95
XAUUSD,10000,82.44,-7.681710423045891,12.365478308206157,37.221143741964056,8.977898447647604,16.688478145986018
XAGUSD,10000,78.3,-8.513054872782392,9.333176374310215,32.96613700914795,7.312281158622891,14.265518317392221
BTCUSD,10000,100.0,6.4680622469008755,12.394258401183622,19.088617923557273,2.4881783874400654,4.0179994007678355
US30,10000,56.93,-4.393205686660851,0.4962086671220556,5.235963050207283,3.897808878629516,6.351419585528251
USTEC,10000,97.5,2.22155880675614,16.24904856779825,33.61456462597958,3.2777253667800155,6.9387514991837485
GBPJPY,10000,56.879999999999995,-6.866536628199191,1.0443623569391658,11.131598309444614,5.03127301722992,9.427443446906992
