event,type,status,side,r,best_r,entry,sl,risk_usd_0_10,pnl_usd_0_10,balance_after,drawdown_from_peak
Jan 30 2026 PCE / PPI,PCE,loss,sell,-1.0,0.3290268881410131,5020.434,5048.067,276.33,-276.33,1225.5700000000002,276.3299999999999
Jan 09 2026 NFP / Jobs,NFP,loss,sell,-1.0,0.2886180867334629,4464.756,4485.025,202.69,-202.69,453.4300000000001,511.46
May 08 2026 NFP / Jobs,NFP,loss,sell,-1.0,0.014166096160947855,4702.849,4721.838,189.89,-189.89,1241.3400000000001,628.8499999999999
Mar 11 2026 CPI,CPI,loss,buy,-1.0,0.0038354996803812414,5196.455,5177.683,187.72,-187.72,1441.65,428.53999999999996
Mar 18 2026 PPI / FOMC,FOMC,loss,buy,-1.0,0.03797739568272254,4898.525,4879.856,186.69,-186.69,1254.96,615.23
Oct 29 2025 FOMC Statement,FOMC,loss,sell,-1.0,0.5054171478853906,3987.756,4005.939,181.83,-181.83,783.0600000000001,181.83000000000004
Dec 10 2025 FOMC Statement,FOMC,loss,buy,-1.0,1.0134657465073613,4201.789,4183.966,178.23,-178.23,656.1200000000001,308.77
Feb 18 2026 FOMC Minutes,FOMC,loss,buy,-1.0,0.2497191011235766,4991.05,4973.25,178.0,-178.0,1692.19,178.0
