"Symbol","TF","RR","Score","Ending","ReturnPct","Trades","WinRate","NetR","MaxDD","Path"
"US30","H1","2","88","361.72","20.57","87","37.93","8.26","44.52","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174038\bpr_backtest_report.json"
"US30","H1","2","92","361.72","20.57","87","37.93","8.26","44.52","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174043\bpr_backtest_report.json"
"US30","H1","2","96","430.37","43.46","81","39.51","11.51","32.96","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174047\bpr_backtest_report.json"
"US30","H1","2","100","434.04","44.68","59","40.68","10.56","35.77","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174052\bpr_backtest_report.json"
"US30","H1","3","88","542.78","80.93","87","32.18","18.87","39.83","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174057\bpr_backtest_report.json"
"US30","H1","3","92","542.78","80.93","87","32.18","18.87","39.83","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174102\bpr_backtest_report.json"
"US30","H1","3","96","617.66","105.89","81","33.33","21.12","39.83","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174107\bpr_backtest_report.json"
"US30","H1","3","100","528.15","76.05","59","33.9","16.18","34.71","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174111\bpr_backtest_report.json"
"US30","H1","4","88","385.32","28.44","87","25.29","13.78","61.88","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174116\bpr_backtest_report.json"
"US30","H1","4","92","385.32","28.44","87","25.29","13.78","61.88","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174121\bpr_backtest_report.json"
"US30","H1","4","96","420.16","40.05","81","25.93","15.02","61.88","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174126\bpr_backtest_report.json"
"US30","H1","4","100","336.93","12.31","59","25.42","8.08","41.88","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174131\bpr_backtest_report.json"
"US30","H1","5","88","369.62","23.21","87","21.84","14.89","75.98","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174136\bpr_backtest_report.json"
"US30","H1","5","92","369.62","23.21","87","21.84","14.89","75.98","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174140\bpr_backtest_report.json"
"US30","H1","5","96","386.89","28.96","81","22.22","15.14","75.98","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174145\bpr_backtest_report.json"
"US30","H1","5","100","242.73","-19.09","59","20.34","2.19","58.77","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174150\bpr_backtest_report.json"
"US30","H1","6","88","156.53","-47.82","87","17.24","-2.47","82.96","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174155\bpr_backtest_report.json"
"US30","H1","6","92","156.53","-47.82","87","17.24","-2.47","82.96","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174200\bpr_backtest_report.json"
"US30","H1","6","96","157.52","-47.49","81","17.28","-3.22","80.54","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174204\bpr_backtest_report.json"
"US30","H1","6","100","106.87","-64.38","59","15.25","-15.16","68.92","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174209\bpr_backtest_report.json"
"US30","H1","8","88","198.45","-33.85","87","16.09","5.67","84.43","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174214\bpr_backtest_report.json"
"US30","H1","8","92","198.45","-33.85","87","16.09","5.67","84.43","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174219\bpr_backtest_report.json"
"US30","H1","8","96","185.42","-38.19","81","16.05","2.92","81.69","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174224\bpr_backtest_report.json"
"US30","H1","8","100","105.02","-64.99","59","13.56","-14.16","71.65","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174229\bpr_backtest_report.json"
"US30","H4","2","88","361.72","20.57","87","37.93","8.26","44.52","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174234\bpr_backtest_report.json"
"US30","H4","2","92","361.72","20.57","87","37.93","8.26","44.52","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174238\bpr_backtest_report.json"
"US30","H4","2","96","430.37","43.46","81","39.51","11.51","32.96","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174243\bpr_backtest_report.json"
"US30","H4","2","100","434.04","44.68","59","40.68","10.56","35.77","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174248\bpr_backtest_report.json"
"US30","H4","3","88","542.78","80.93","87","32.18","18.87","39.83","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174253\bpr_backtest_report.json"
"US30","H4","3","92","542.78","80.93","87","32.18","18.87","39.83","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174258\bpr_backtest_report.json"
