"Symbol","TF","RR","Score","Ending","ReturnPct","Trades","WinRate","NetR","MaxDD","Path"
"US30","H1","2","88","153.85","-48.72","35","22.86","-11.89","48.72","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174950\bpr_backtest_report.json"
"US30","H1","2","96","199.94","-33.35","30","26.67","-6.79","35.34","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174952\bpr_backtest_report.json"
"US30","H1","2","100","198.36","-33.88","19","21.05","-7.5","33.88","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174954\bpr_backtest_report.json"
"US30","H1","3","88","123.74","-58.75","35","14.29","-15.89","58.75","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174956\bpr_backtest_report.json"
"US30","H1","3","96","160.81","-46.4","30","16.67","-10.79","46.4","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174957\bpr_backtest_report.json"
"US30","H1","3","100","195.74","-34.75","19","15.79","-7.5","34.75","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-174959\bpr_backtest_report.json"
"US30","H1","4","88","121.19","-59.6","35","11.43","-15.89","60.52","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175000\bpr_backtest_report.json"
"US30","H1","4","96","157.5","-47.5","30","13.33","-10.79","48.69","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175001\bpr_backtest_report.json"
"US30","H1","4","100","176.05","-41.32","19","10.53","-9.5","41.32","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175003\bpr_backtest_report.json"
"US30","H1","6","88","100.9","-66.37","35","8.57","-19.38","66.37","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175004\bpr_backtest_report.json"
"US30","H1","6","96","131.13","-56.29","30","10","-14.28","56.29","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175006\bpr_backtest_report.json"
"US30","H1","6","100","150.94","-49.69","19","5.26","-12.5","49.69","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175007\bpr_backtest_report.json"
"US30","H1","8","88","117.05","-60.98","35","8.57","-15.38","60.98","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175009\bpr_backtest_report.json"
"US30","H1","8","96","152.12","-49.29","30","10","-10.28","56.08","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175010\bpr_backtest_report.json"
"US30","H1","8","100","162.57","-45.81","19","5.26","-10.5","45.81","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175012\bpr_backtest_report.json"
"US30","H4","2","88","332.56","10.85","15","40","2.86","22.88","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175013\bpr_backtest_report.json"
"US30","H4","2","96","353.16","17.72","11","45.45","3.89","22.88","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175014\bpr_backtest_report.json"
"US30","H4","2","100","297.65","-0.78","3","33.33","-0.01","9.78","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175015\bpr_backtest_report.json"
"US30","H4","3","88","296.28","-1.24","15","26.67","0.86","40.44","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175016\bpr_backtest_report.json"
"US30","H4","3","96","300.95","0.32","11","27.27","0.89","33.97","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175017\bpr_backtest_report.json"
"US30","H4","3","100","311.19","3.73","3","33.33","0.99","9.78","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175018\bpr_backtest_report.json"
"US30","H4","4","88","278.08","-7.31","15","20","-0.14","43.45","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175018\bpr_backtest_report.json"
"US30","H4","4","96","341.95","13.98","11","27.27","3.89","33.97","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175019\bpr_backtest_report.json"
"US30","H4","4","100","324.72","8.24","3","33.33","1.99","9.78","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175020\bpr_backtest_report.json"
"US30","H4","6","88","312.43","4.14","15","20","2.83","43.45","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175021\bpr_backtest_report.json"
"US30","H4","6","96","384.19","28.06","11","27.27","6.86","33.97","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175022\bpr_backtest_report.json"
"US30","H4","6","100","310.84","3.61","3","33.33","0.96","9.78","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175023\bpr_backtest_report.json"
"US30","H4","8","88","362.36","20.79","15","20","6.83","43.45","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175024\bpr_backtest_report.json"
"US30","H4","8","96","445.59","48.53","11","27.27","10.86","33.97","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175025\bpr_backtest_report.json"
"US30","H4","8","100","310.84","3.61","3","33.33","0.96","9.78","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175026\bpr_backtest_report.json"
"US30","D1","2","88","300","0","0","0","0","0","C:\Users\hama101\Desktop\geek\ai trader\LTA\reports\bpr_backtest\20260625-175027\bpr_backtest_report.json"
