starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_r,avg_spread_r,max_drawdown_pct,timeframe
300.0,335.23,35.23,11.74,58,25,33,43.1,3.3,0.0568,0.0231,18.11,M15
300.0,426.1,126.1,42.03,50,27,23,54.0,8.0,0.1599,0.0099,19.58,M30
