prague_day;start_balance;min_equity;daily_loss_usd;end_balance;max_margin_usd
2026.07.19;10000.00;10000.00;0.00;10000.00;0.00
2026.07.20;10000.00;10000.00;0.00;10000.00;0.00
2026.07.21;10000.00;10000.00;0.00;10000.00;0.00
2026.07.22;10000.00;10000.00;0.00;10000.00;0.00
2026.07.23;10000.00;10000.00;0.00;10000.00;0.00
2026.07.24;10000.00;10000.00;0.00;10000.00;0.00
2026.07.27;10000.00;10000.00;0.00;10000.00;0.00
2026.07.28;10000.00;9946.96;53.04;10100.80;2017.89
2026.07.29;10100.80;10100.80;0.00;10100.80;0.00
2026.07.30;10100.80;10100.80;0.00;10100.80;0.00
2026.07.31;10100.80;10100.80;0.00;10100.80;0.00
2026.08.03;10100.80;10100.80;0.00;10100.80;0.00
2026.08.04;10100.80;10100.80;0.00;10100.80;0.00
2026.08.05;10100.80;10100.80;0.00;10100.80;0.00
2026.08.06;10100.80;10100.80;0.00;10100.80;0.00
2026.08.07;10100.80;10100.80;0.00;10100.80;0.00
2026.08.10;10100.80;10100.80;0.00;10100.80;0.00
2026.08.11;10100.80;10100.80;0.00;10100.80;0.00
2026.08.12;10100.80;10100.80;0.00;10100.80;0.00
2026.08.13;10100.80;10100.80;0.00;10100.80;0.00
2026.08.14;10100.80;10100.80;0.00;10100.80;0.00
2026.08.17;10100.80;10100.80;0.00;10100.80;0.00
2026.08.18;10100.80;10100.80;0.00;10100.80;0.00
2026.08.19;10100.80;10100.80;0.00;10100.80;0.00
2026.08.20;10100.80;10100.80;0.00;10100.80;0.00
2026.08.21;10100.80;10100.80;0.00;10100.80;0.00
2026.08.24;10100.80;10100.80;0.00;10100.80;0.00
2026.08.25;10100.80;10100.80;0.00;10100.80;0.00
2026.08.26;10100.80;10100.80;0.00;10100.80;0.00
2026.08.27;10100.80;10097.83;2.97;10100.27;1377.39
2026.08.28;10100.27;10100.27;0.00;10100.27;0.00
2026.08.31;10100.27;10100.27;0.00;10100.27;0.00
2026.09.01;10100.27;10100.27;0.00;10100.27;0.00
2026.09.02;10100.27;10100.27;0.00;10100.27;0.00
2026.09.03;10100.27;10100.27;0.00;10100.27;0.00
2026.09.04;10100.27;10100.27;0.00;10100.27;0.00
2026.09.07;10100.27;10100.27;0.00;10100.27;0.00
2026.09.08;10100.27;10100.27;0.00;10100.27;0.00
2026.09.09;10100.27;10100.27;0.00;10100.27;0.00
2026.09.10;10100.27;10100.27;0.00;10100.27;0.00
2026.09.11;10100.27;10096.44;3.83;10099.43;875.06
2026.09.14;10099.43;10042.83;56.60;10098.71;1141.21
2026.09.15;10098.71;10079.11;19.60;10096.59;1428.09
2026.09.16;10096.59;9986.08;110.51;9986.08;1596.89
2026.09.17;9986.08;9986.08;0.00;9986.08;0.00
2026.09.18;9986.08;9986.08;0.00;9986.08;0.00
