bot,symbol,date,reason
ORB,AUDUSD,2026-05-27,ambiguous_breakout
ORB,AUDUSD,2026-06-01,ambiguous_breakout
ORB,AUDUSD,2026-06-10,ambiguous_breakout
ORB,NZDUSD,2026-05-27,ambiguous_breakout
ORB,USDCAD,2026-05-25,ambiguous_breakout
ORB,USDCAD,2026-05-27,ambiguous_breakout
ORB,USDCAD,2026-06-02,ambiguous_breakout
ORB,USDCAD,2026-06-10,ambiguous_breakout
ORB,USDCAD,2026-06-16,ambiguous_breakout
ORB,GBPUSD,2026-05-27,ambiguous_breakout
ORB,GBPUSD,2026-06-01,ambiguous_breakout
ORB,GBPUSD,2026-06-10,ambiguous_breakout
ORB,USDCHF,2026-05-25,ambiguous_breakout
ORB,USDCHF,2026-05-27,ambiguous_breakout
ORB,USDCHF,2026-06-10,ambiguous_breakout
