starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_r,avg_spread_r,max_drawdown_pct,symbol
300.0,376.61,76.61,25.54,83,37,46,44.58,6.24,0.0752,0.0215,36.98,US30
300.0,305.36,5.36,1.79,21,9,12,42.86,0.8,0.0382,0.0001,15.14,XAUUSD
