symbol,broker_symbol,timeframe,confirmation,pivot_len,atr_sl_mult,rr,session,trades,wins,losses,win_rate,start_balance,final_balance,profit,return_pct,max_drawdown_pct,profit_factor,avg_r,max_trades_per_day
AUDUSD,AUDUSDm,M1,TREND,3,1.2,1.0/1.5/3.0,ALL,146,81,65,55.48,300.0,715.16,415.16,138.39,28.42,1.4,0.174,3
XAUUSD,XAUUSDm,M5,EMA,3,1.2,1.0/1.5/2.0,ALL,108,60,48,55.56,300.0,497.37,197.37,65.79,26.3,1.3,0.14,3
GBPCHF,GBPCHFm,M5,OFF,7,2.0,1.0/2.0/3.0,ALL,83,50,33,60.24,300.0,494.46,194.46,64.82,27.69,1.38,0.173,2
AUDCAD,AUDCADm,M1,RSI_EXTREME,7,2.0,1.0/2.0/3.0,ALL,52,28,24,53.85,300.0,471.81,171.81,57.27,20.44,1.63,0.245,1
XAGUSD,XAGUSDm,M1,OFF,5,2.0,1.0/2.0/3.0,NY_OPEN,85,47,38,55.29,300.0,675.81,375.81,125.27,19.27,1.61,0.266,3
