symbol,config,side,pivot_time,entry_time,exit_time,entry,initial_stop,exit,exit_reason,bars_held,result_r,risk_pct,risk_cash,pnl_cash,balance,drawdown_pct
XAUUSD,trail_start_1R_distance_1R,buy,2025-08-06T12:00:00+00:00,2025-08-07T12:00:00+00:00,2025-08-11T08:00:00+00:00,3378.57,3358.16,3358.16,stop,11,-1.0,1.0,10.0,-10.0,990.0,1.0
XAUUSD,trail_start_1R_distance_1R,sell,2025-08-14T00:00:00+00:00,2025-08-15T00:00:00+00:00,2025-08-22T16:00:00+00:00,3336.21,3375.01,3375.01,stop,34,-1.0,1.0,9.9,-9.9,980.1,1.9899999999999978
XAUUSD,trail_start_1R_distance_1R,buy,2025-08-22T12:00:00+00:00,2025-08-25T12:00:00+00:00,2025-09-04T04:00:00+00:00,3364.14,3321.4,3529.6800000000003,stop,46,3.87318671034163,1.0,9.801,37.96110294805832,1018.0611029480583,0.0
XAUUSD,trail_start_1R_distance_1R,buy,2025-09-04T04:00:00+00:00,2025-09-05T04:00:00+00:00,2025-09-17T20:00:00+00:00,3552.39,3511.1,3652.94,stop,52,2.435214337612019,1.0,10.180611029480582,24.791969944642172,1042.8530728927005,0.0
XAUUSD,trail_start_1R_distance_1R,buy,2025-09-18T16:00:00+00:00,2025-09-19T16:00:00+00:00,2025-09-23T20:00:00+00:00,3649.29,3627.92,3762.83,stop,13,5.313055685540503,1.0,10.428530728927006,55.407364481159476,1098.26043737386,0.0
XAUUSD,trail_start_1R_distance_1R,buy,2025-09-24T20:00:00+00:00,2025-09-25T20:00:00+00:00,2025-09-29T00:00:00+00:00,3733.92,3717.44,3756.1,stop_gap,7,1.3458737864077557,1.0,10.9826043737386,14.781199333101947,1113.041636706962,0.0
XAUUSD,trail_start_1R_distance_1R,buy,2025-09-30T12:00:00+00:00,2025-10-01T12:00:00+00:00,2025-10-09T20:00:00+00:00,3893.16,3793.13,3956.4800000000005,stop,38,0.6330100969709165,1.0,11.13041636706962,7.045665943845416,1120.0873026508075,0.0
XAUUSD,trail_start_1R_distance_1R,buy,2025-10-09T20:00:00+00:00,2025-10-10T20:00:00+00:00,2025-10-14T08:00:00+00:00,3983.59,3943.43,4127.9,stop,9,3.593376494023864,1.0,11.200873026508075,40.248953846000056,1160.3362564968074,0.0
XAUUSD,trail_start_1R_distance_1R,buy,2025-10-17T20:00:00+00:00,2025-10-20T20:00:00+00:00,2025-10-21T16:00:00+00:00,4348.06,4186.03,4186.03,stop,5,-1.0,1.0,11.603362564968075,-11.603362564968075,1148.7328939318393,1.0000000000000078
XAUUSD,trail_start_1R_distance_1R,buy,2025-10-22T00:00:00+00:00,2025-10-23T00:00:00+00:00,2025-10-27T16:00:00+00:00,4095.83,4003.74,4003.74,stop,16,-1.0,1.0,11.487328939318393,-11.487328939318393,1137.245564992521,1.9900000000000024
XAUUSD,trail_start_1R_distance_1R,buy,2025-10-30T04:00:00+00:00,2025-10-31T04:00:00+00:00,2025-11-14T12:00:00+00:00,4025.48,3915.41,4122.93,stop,62,0.8853456891069331,1.0,11.37245564992521,10.068554584221069,1147.314119576742,1.1222726901062907
XAUUSD,trail_start_1R_distance_1R,buy,2025-11-14T16:00:00+00:00,2025-11-17T16:00:00+00:00,2025-11-17T20:00:00+00:00,4065.52,4032.21,4032.21,stop,1,-1.0,1.0,11.47314119576742,-11.47314119576742,1135.8409783809748,2.111049963205218
XAUUSD,trail_start_1R_distance_1R,buy,2025-11-18T08:00:00+00:00,2025-11-19T08:00:00+00:00,2025-12-29T12:00:00+00:00,4095.7,3997.96,4433.38,stop,161,3.454880294659311,1.0,11.358409783809748,39.241946140749825,1175.0829245217246,0.0
XAUUSD,trail_start_1R_distance_1R,buy,2025-12-29T16:00:00+00:00,2025-12-30T16:00:00+00:00,2025-12-31T04:00:00+00:00,4388.68,4303.01,4303.01,stop,3,-1.0,1.0,11.750829245217247,-11.750829245217247,1163.3320952765073,1.0000000000000084
XAUUSD,trail_start_1R_distance_1R,buy,2025-12-31T08:00:00+00:00,2026-01-02T08:00:00+00:00,2026-01-21T20:00:00+00:00,4380.97,4274.66,4773.129999999999,stop,81,3.6888345404947556,1.0,11.633320952765073,42.913396151221164,1206.2454914277284,0.0
XAUUSD,trail_start_1R_distance_1R,buy,2026-01-21T20:00:00+00:00,2026-01-22T20:00:00+00:00,2026-01-29T16:00:00+00:00,4904.59,4755.95,5413.8099999999995,stop,29,3.4258611410118287,1.0,12.062454914277284,41.32429555602972,1247.5697869837581,0.0
XAUUSD,trail_start_1R_distance_1R,buy,2026-02-02T08:00:00+00:00,2026-02-03T08:00:00+00:00,2026-03-16T00:00:00+00:00,4825.48,4402.4,4970.84,stop,172,0.3435756830859426,1.0,12.475697869837582,4.286346417603286,1251.8561334013614,0.0
XAUUSD,trail_start_1R_distance_1R,sell,2026-03-17T08:00:00+00:00,2026-03-18T08:00:00+00:00,2026-03-19T16:00:00+00:00,4986.98,5044.68,4632.260000000001,stop,8,6.147660311958301,1.0,12.518561334013613,76.95986267593126,1328.8159960772925,0.0
XAUUSD,trail_start_1R_distance_1R,sell,2026-03-25T04:00:00+00:00,2026-03-26T04:00:00+00:00,2026-03-27T04:00:00+00:00,4535.67,4602.85,4445.41,stop,6,1.3435546293539717,1.0,13.288159960772925,17.853368830892553,1346.6693649081851,0.0
XAUUSD,trail_start_1R_distance_1R,sell,2026-04-02T00:00:00+00:00,2026-04-06T00:00:00+00:00,2026-04-08T00:00:00+00:00,4667.81,4800.61,4800.61,stop,12,-1.0,1.0,13.46669364908185,-13.46669364908185,1333.2026712591032,1.0000000000000029
XAUUSD,trail_start_1R_distance_1R,sell,2026-04-08T00:00:00+00:00,2026-04-09T00:00:00+00:00,2026-04-15T04:00:00+00:00,4720.31,4857.64,4857.64,stop,25,-1.0,1.0,13.332026712591032,-13.332026712591032,1319.8706445465123,1.9899999999999973
XAUUSD,trail_start_1R_distance_1R,buy,2026-04-20T00:00:00+00:00,2026-04-21T00:00:00+00:00,2026-04-21T16:00:00+00:00,4821.5,4737.07,4737.07,stop,4,-1.0,1.0,13.198706445465122,-13.198706445465122,1306.671938101047,2.9701000000000017
XAUUSD,trail_start_1R_distance_1R,sell,2026-04-21T00:00:00+00:00,2026-04-22T00:00:00+00:00,2026-05-01T16:00:00+00:00,4720.85,4833.23,4654.679999999999,stop,46,0.5888058373376175,1.0,13.06671938101047,7.693760646391545,1314.3656987474387,2.3987822848371416
XAUUSD,trail_start_1R_distance_1R,sell,2026-05-01T16:00:00+00:00,2026-05-04T16:00:00+00:00,2026-05-06T08:00:00+00:00,4568.32,4660.46,4660.46,stop,10,-1.0,1.0,13.143656987474387,-13.143656987474387,1301.2220417599644,3.374794461988763
XAUUSD,trail_start_1R_distance_1R,sell,2026-05-07T16:00:00+00:00,2026-05-08T16:00:00+00:00,2026-05-11T00:00:00+00:00,4724.4,4764.96,4683.16,opposite_signal,2,1.0167652859960399,1.0,13.012220417599645,13.230374014344212,1314.4524157743087,2.3923429145559347
