time,balance,drawdown_pct
2025-08-01T12:28:55.579747+00:00,1000.0,0.0
2025-08-11T08:00:00+00:00,990.0,1.0
2025-08-22T16:00:00+00:00,980.1,1.9899999999999978
2025-09-04T04:00:00+00:00,1018.0611029480583,0.0
2025-09-17T20:00:00+00:00,1042.8530728927005,0.0
2025-09-23T20:00:00+00:00,1098.26043737386,0.0
2025-09-29T00:00:00+00:00,1113.041636706962,0.0
2025-10-09T20:00:00+00:00,1120.0873026508075,0.0
2025-10-14T08:00:00+00:00,1160.3362564968074,0.0
2025-10-21T16:00:00+00:00,1148.7328939318393,1.0000000000000078
2025-10-27T16:00:00+00:00,1137.245564992521,1.9900000000000024
2025-11-14T12:00:00+00:00,1147.314119576742,1.1222726901062907
2025-11-17T20:00:00+00:00,1135.8409783809748,2.111049963205218
2025-12-29T12:00:00+00:00,1175.0829245217246,0.0
2025-12-31T04:00:00+00:00,1163.3320952765073,1.0000000000000084
2026-01-21T20:00:00+00:00,1206.2454914277284,0.0
2026-01-29T16:00:00+00:00,1247.5697869837581,0.0
2026-03-16T00:00:00+00:00,1251.8561334013614,0.0
2026-03-19T16:00:00+00:00,1328.8159960772925,0.0
2026-03-27T04:00:00+00:00,1346.6693649081851,0.0
2026-04-08T00:00:00+00:00,1333.2026712591032,1.0000000000000029
2026-04-15T04:00:00+00:00,1319.8706445465123,1.9899999999999973
2026-04-21T16:00:00+00:00,1306.671938101047,2.9701000000000017
2026-05-01T16:00:00+00:00,1314.3656987474387,2.3987822848371416
2026-05-06T08:00:00+00:00,1301.2220417599644,3.374794461988763
2026-05-11T00:00:00+00:00,1314.4524157743087,2.3923429145559347
2026-05-11T00:00:00+00:00,1301.3078916165657,3.3684194854103713
2026-05-12T00:00:00+00:00,1288.2948127004001,4.334735290556261
2026-05-12T16:00:00+00:00,1275.411864573396,5.291387937650702
2026-05-18T16:00:00+00:00,1302.8514222016393,3.253801107262386
2026-05-28T16:00:00+00:00,1303.3276859587659,3.218435057544674
2026-06-11T20:00:00+00:00,1350.852303109768,0.0
2026-06-17T04:00:00+00:00,1357.518503849366,0.0
2026-07-02T12:00:00+00:00,1364.4335020993267,0.0
2026-07-09T08:00:00+00:00,1372.0584880631484,0.0
2026-07-14T08:00:00+00:00,1397.8461325977685,0.0
2026-07-22T00:00:00+00:00,1383.8676712717909,0.9999999999999943
2026-07-31T20:00:00+00:00,1385.871353488322,0.8566593153705995
